日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	绍虞平原区	虞北平原上河区	虞北平原中河区	蜀山平原区	余姚平原马渚中河区
2025/07/15	2672.53	2123.85	2129.09	5265.93	3171.01	13182.16	52282.21	47069.85	40983.56	1613.17	21020.52	26189.43	615.16	3140.91	530.97
2025/07/16	2633.86	2097.82	2105.00	5237.05	3146.34	13090.13	52263.27	47040.52	40946.31	1582.39	20942.96	26148.09	612.11	3136.67	526.10
2025/07/17	2633.62	2097.81	2104.81	5236.97	3146.24	13090.13	52263.27	47040.51	40946.29	1582.25	20942.96	26147.91	612.08	3136.67	526.05
2025/07/18	2633.62	2097.81	2104.81	5236.97	3146.24	13090.13	52263.27	47040.51	40946.29	1582.25	20942.96	26147.91	612.08	3136.67	526.05
2025/07/19	2633.62	2097.81	2104.81	5236.97	3146.24	13117.78	52263.27	47040.51	40946.29	1582.25	20974.69	26147.91	612.08	3137.94	526.05
2025/07/20	2633.62	2097.81	2104.81	5236.97	3146.24	13117.73	52263.27	47040.51	40946.29	1582.25	20974.00	26147.91	612.08	3137.94	526.05
2025/07/21	2633.62	2097.81	2104.81	5236.97	3146.24	13093.43	52263.27	47040.51	40946.29	1582.25	20953.69	26147.91	612.08	3136.82	526.05
2025/07/22	2633.86	2097.82	2105.00	5237.05	3146.34	13093.43	52263.27	47040.52	40946.31	1582.39	20953.69	26148.09	612.11	3136.82	526.10
2025/07/23	2633.68	2097.86	2104.85	5237.02	3146.28	13093.48	52263.30	47040.56	40946.36	1582.30	20954.38	26147.98	612.08	3136.82	526.06
2025/07/24	2628.05	2097.60	2100.48	5235.17	3144.03	13117.41	52263.25	47040.37	40945.94	1578.90	20955.40	26143.75	611.22	3137.93	524.88
2025/07/25	2628.05	2097.60	2100.48	5235.17	3144.03	13117.41	52263.25	47040.37	40945.94	1578.90	20955.40	26143.75	611.22	3137.93	524.88
2025/07/26	2628.05	2097.60	2100.48	5235.17	3144.03	13117.41	52263.25	47040.37	40945.94	1578.90	20955.40	26143.75	611.22	3137.93	524.88
2025/07/27	2628.05	2097.60	2100.48	5235.17	3144.03	13118.06	52263.25	47040.37	40945.94	1578.90	20964.97	26143.75	611.22	3137.96	524.88
2025/07/28	2628.05	2097.60	2100.48	5235.17	3144.03	13118.06	52263.25	47040.37	40945.94	1578.90	20964.97	26143.75	611.22	3137.96	524.88
2025/07/29	2636.17	2104.01	2105.31	5241.87	3149.58	13117.25	52267.95	47047.62	40955.10	1585.65	20956.32	26152.91	611.75	3137.92	525.77
2025/07/30	2641.89	2104.27	2109.74	5243.74	3151.86	13117.25	52268.00	47047.82	40955.53	1589.10	20956.32	26157.20	612.62	3137.92	526.97
