# 双季稻灌溉制度表

开始日期        结束日期        生长天数  蒸发系数  水位下限(mm)  设计蓄水位(mm)  水位上限(mm)
----------  ----------  ------  ----  --------  ---------  --------
2025/01/01  2025/04/14  104     0.5   -45.0     -25.0      0.0     
2025/04/15  2025/04/20  6       1.0   20.0      40.0       50.0    
2025/04/21  2025/04/28  8       1.0   10.0      30.0       40.0    
2025/04/29  2025/05/13  15      1.2   10.0      30.0       40.0    
2025/05/14  2025/05/25  12      1.3   5.0       25.0       45.0    
2025/05/26  2025/06/18  24      1.45  10.0      30.0       60.0    
2025/06/19  2025/06/29  11      1.5   10.0      30.0       60.0    
2025/06/30  2025/07/15  16      1.4   10.0      30.0       60.0    
2025/07/16  2025/07/22  7       0.8   -20.0     0.0        10.0    
2025/07/15  2025/07/20  6       1.0   20.0      40.0       50.0    
2025/07/21  2025/07/27  7       1.0   10.0      30.0       40.0    
2025/07/28  2025/08/05  9       1.2   10.0      30.0       40.0    
2025/08/06  2025/08/14  9       1.3   5.0       25.0       45.0    
2025/08/15  2025/09/06  23      1.45  10.0      30.0       60.0    
2025/09/07  2025/09/16  10      1.5   10.0      30.0       60.0    
2025/09/17  2025/10/01  15      1.4   10.0      30.0       60.0    
2025/10/02  2025/10/20  19      0.8   -20.0     0.0        10.0    
2025/10/21  2025/12/31  72      0.5   -45.0     -25.0      0.0     
