序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
148,台州市,椒江区,瓯江温溪以下,灵江及椒江左岸,4,100.9,9.33,4.97,14.3,5.2,61.58,64.46,131.24,31.65,12.88,4.03,48.56,136,0,5.12,4.661,2.737,1.362,0,4.099,0.76,0.51,0.9,0,0.01,0.09,5.93,6.02,0.2254,0,0.0859,0,0,0,0.3113,0.0056,0,0,0.0056,0,0,0,0,0.3169,0.0314,0.1132,0.0086,0,0.1218,0,0.0085,0.0012,0,0.0011,0.0002,0.0037,0.0147,0,0.0564,0,0.0351,0.0098,0.1013,0,0.0037,0.0036,0.0073,0,0.043,0.0207,0.0637,0.0056,0.0042,0.0039,0.0081,0,0.3169,0.0056,0.0314,0.3483,0.3169,0.3169,0,,,
149,台州市,椒江区,瓯江温溪以下,温黄平原,4,174.1,42.61,11.79,54.4,17.16,235.72,290.14,543.02,2.46,127.05,60.29,189.8,0,2.7,8.57,8.209,6.431,1.418,0,7.849,2.03,0.1,0.31,0,0.1,0.01,2.33,2.34,0.8416,0,0.4079,0,0,0,1.2495,0.0199,0,0,0.0199,0.036,0.008,0,0.044,1.3134,0.3126,0.2271,0.0092,0,0.2363,0,0.0018,0.0004,0,0.0095,0,0.0016,0.0133,0,0,0.0128,0.4638,0.0876,0.5642,0,0.0468,0.0964,0.1432,0,0.1887,0.046,0.2347,0.0199,0.0689,0.0528,0.1217,0,1.3134,0.0199,0.3126,1.626,1.3134,1.3134000000000001,0,,,
150,台州市,黄岩区,瓯江温溪以下,永安溪,4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
151,台州市,黄岩区,瓯江温溪以下,温黄平原,4,933.5,46.87,18.34,65.21,18.43,269.06,257.91,545.4,0.35,106.52,135.06,241.93,0,3.6,19.24,13.51,10.445,2.485,0,12.93,2.63,2.84,0,0,0,0,4.4,4.4,1.0564,0,0.372,0,0,0,1.4284,0.0141,0,0,0.0141,0.0746,0.003,0,0.0776,1.5201,0.4153,0.446,0.0221,0,0.4681,0,0.0264,0,0,0,0,0.00365,0.0301,0,0,0.0049,0.2793,0.1913,0.4755,0,0.014,0.1327,0.1467,0,0.2187,0.0613,0.28,0.0141,0.0728,0.0469,0.1197,0,1.5201,0.0141,0.4153,1.9354,1.5201,1.5200999999999998,0,,,
152,台州市,黄岩区,瓯江温溪以下,楠溪江,4,50.2,0,1.09,1.09,0.5,0,0,0.5,0,0,0,0,0,0,0.59,0.59,0.411,0.133,0,0.544,0.14,0.03,0,0,0,0,0,0,0.0132,0,0,0,0,0,0.0132,0,0,0,0,0,0.005,0,0.005,0.0182,0,0.0121,0.0009,0,0.013,0,0.0003,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0.0031,0,0.0018,0,0.0018,0,0.0182,0,0,0.0182,0.018199999999999997,0.0182,0,,,
153,台州市,路桥区,瓯江温溪以下,温黄平原,4,273,43.65,19.15,62.8,12.89,285.43,375.61,673.93,0.71,113.53,121.11,235.35,0,3.9,15.8,15.495,13.749,0.987,0,14.736,3.04,0.73,0.61,0,0.58,0,2.44,2.44,0.8769,0,0.6108,0,0,0,1.4877,0.0255,0,0,0.0255,0.0335,0.0065,0,0.04,1.5532,0.45,0.4688,0.0086,0,0.4774,0,0.0081,0.0099,0,0.0666,0,0.0008,0.0854,0,0,0.015,0.2222,0.2256,0.4628,0,0.0145,0.1446,0.1591,0,0.223,0.0755,0.2985,0.0255,0.049,0.021,0.07,0,1.5532,0.0255,0.45,2.0032,1.5532,1.5532000000000001,0,,,
154,台州市,临海市,浙东沿海诸河,象山港及三门湾,4,113.7,4.39,3.58,7.97,3.62,24.46,25.67,53.75,0,15.98,4.27,20.25,0,0,4.34,2.77,2.243,0.508,0.316,3.068,0.9,0.02,0.13,0,0.06,0.04,8.43,8.47,0.1472,0.0282,0.0179,0,0,0,0.1933,0.0023,0,0,0.0023,0,0.0009,0,0.0009,0.1965,0,0.0835,0.0047,0.0016,0.0898,0,0.0011,0.0014,0,0.004,0.0001,0.0015,0.0081,0,0,0,0.0291,0.0046,0.0337,0,0.0076,0.0074,0.015,0,0.0218,0.0154,0.0372,0.0023,0.0069,0.0058,0.0127,0,0.1965,0.0023,0,0.1965,0.1965,0.1965,0,,,
155,台州市,临海市,瓯江温溪以下,永安溪,4,397.1,5.4,4.39,9.79,4.46,30.06,31.55,66.07,0,19.64,5.24,24.88,0,0,6.05,3.73,2.991,0.738,0.393,4.123,1.12,0.02,0.16,0,0.04,0.06,10.36,10.42,0.1253,0.0988,0.0341,0,0,0,0.2582,0.0023,0,0,0.0023,0,0.0013,0,0.0013,0.2618,0,0.1114,0.0066,0.002,0.12,0,0.0007,0.0009,0,0.0025,0.0002,0.002,0.0063,0,0,0,0.0356,0.0064,0.042,0,0.0125,0.0131,0.0256,0,0.0278,0.0189,0.0467,0.0023,0.0136,0.0076,0.0212,0,0.2618,0.0023,0,0.2618,0.26180000000000003,0.26180000000000003,0,,,
156,台州市,临海市,瓯江温溪以下,始丰溪,4,247,7.39,6.01,13.4,6.11,41.14,43.17,90.42,0,26.87,7.17,34.04,0,0,9.07,5.21,3.912,1.63,0.24,5.781,1.54,0.04,0.22,0,0.04,0.08,14.18,14.26,0.1808,0.1107,0.0448,0,0,0,0.3363,0.0029,0,0,0.0029,0,0.0011,0,0.0011,0.3403,0,0.1458,0.0149,0.0012,0.1619,0,0.0013,0.0016,0,0.0028,0.0004,0.0025,0.0086,0,0,0,0.049,0.0087,0.0577,0,0.0148,0.0168,0.0316,0,0.0379,0.0257,0.0636,0.0029,0.0101,0.0068,0.0169,0,0.3403,0.0029,0,0.3403,0.34029999999999994,0.3403,0,,,
157,台州市,临海市,瓯江温溪以下,灵江及椒江左岸,4,1381.2,40.25,32.68,72.93,33.19,223.99,235.04,492.22,0.3,146,39.05,185.35,0,3,41.15,24.556,15.8,3.375,3.442,22.617,8.31,0.075,0.915,0,1.37,0.41,77.2,77.61,1.5085,0.2404,0.1157,0,0,0,1.8646,0.0227,0,0,0.0227,0,0.0119,0,0.0119,1.8992,0.0592,0.8497,0.029,0.017,0.8957,0,0.0042,0.0062,0,0.0848,0.0018,0.0137,0.1107,0,0,0.0214,0.244,0.0472,0.3126,0,0.0596,0.0746,0.1342,0,0.2108,0.1456,0.3564,0.0227,0.0538,0.0358,0.0896,0,1.8992,0.0227,0.0592,1.9584,1.8992,1.8992,0,,,
158,台州市,临海市,瓯江温溪以下,温黄平原,4,32,0.78,0.63,1.41,0.64,4.31,4.51,9.46,0,2.81,0.75,3.56,0,0,0.96,0.69,0.518,0.221,0.029,0.767,0.16,0.01,0.12,0,0.01,0.01,1.49,1.5,0.0348,0.0101,0.0017,0,0,0,0.0466,0.0011,0,0,0.0011,0,0.0002,0,0.0002,0.0479,0.0097,0.0194,0.0017,0.0001,0.0212,0,0.0002,0.0009,0,0.0006,0.0001,0.0003,0.0021,0,0,0,0.0049,0.001,0.0059,0,0.0062,0.0013,0.0075,0,0.004,0.0027,0.0067,0.0011,0.003,0.0015,0.0045,0,0.0479,0.0011,0.0097,0.0576,0.04789999999999999,0.0479,0,,,
159,台州市,温岭市,瓯江温溪以下,温黄平原,4,638.2,83.26,45.94,129.2,73.37,489.65,517.65,1080.67,0,168.56,217.91,386.47,0,0,48.16,33.77,30.598,2.01,1.18,33.788,11.5,0.05,7.15,0,0.15,0.15,13.64,13.79,1.0872,0.2202,1.6239,0,0,0,2.9313,0.0348,0,0,0.0348,0.0611,0.0131,0,0.0742,3.0403,0.008,1.2095,0.0245,0.0092,1.2432,0.0003,0.0119,0.0428,0,0.01,0.0008,0.0034,0.0689,0.0004,0,0,0.1667,0.3541,0.5208,0,0.0599,0.3118,0.3717,0,0.4187,0.1861,0.6048,0.0341,0.1379,0.093,0.2309,0,3.0403,0.0348,0.008,3.0483,3.0403000000000002,3.0403,0,,,
160,台州市,温岭市,瓯江温溪以下,玉环岛,4,197.8,0.71,7.29,8,4.33,13.91,6.22,24.46,0,3.39,3.6,6.99,0,0,3.11,2.63,1.43,0.07,0.09,1.59,0.7,0,0.95,0,0.02,0.01,2.02,2.03,0.0417,0.0694,0.0542,0,0,0,0.1653,0.0022,0,0,0.0022,0.0039,0.0053,0,0.0092,0.1767,0.0002,0.0426,0.0007,0.0005,0.0438,0.0001,0,0.0067,0,0.0014,0.0001,0.0005,0.0087,0.0001,0,0,0.0048,0.0047,0.0095,0,0.0019,0.0018,0.0037,0,0.0033,0.0294,0.0327,0.002,0.0643,0.014,0.0783,0,0.1767,0.0022,0.0002,0.1769,0.17669999999999997,0.17670000000000002,0,,,
161,台州市,玉环市,瓯江温溪以下,玉环岛,4,378,43.1,20,63.1,35.6379,334.4868,247.3752,617.5,23.0055,196.25,96.6445,315.9,400,0,15.78,8.37,6.5,0,1.774,8.274,1.23,0.3,2.385,0,0,0.0993,13.5,13.5993,0.3541,0.1989,0.4411,0,0,0,0.9941,0.0021,0,0,0.0021,0.005,0.027,0.0452,0.0772,1.0734,0.067,0.2679,0,0.0043,0.2722,0,0.009,0.017,0,0,0.0005,0.0084,0.0349,0,0.0415,0,0.1264,0.0938,0.2617,0.0001,0.0054,0.1842,0.1896,0,0.1858,0.0678,0.2536,0.002,0.0444,0.017,0.0614,0,1.0734,0.0021,0.067,1.1404,1.0734,1.0734,0,,,
162,台州市,天台县,富春江坝址以下,曹娥江百官以上,4,114.3,0,0.51,0.51,0.53,0.06,0.01,0.6,0,0,0,0,0,0,5,0.59,0.45,0.02,0,0.47,0.32,0.02,0.02,0,0,0.02,0.59,0.61,0.0074,0.005,0.0024,0,0,0,0.0148,0.0002,0,0,0.0002,0,0,0,0,0.015,0,0.0131,0.0002,0,0.0133,0,0.0002,0.0002,0,0,0.0001,0.0001,0.0006,0,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0009,0.0009,0.0002,0,0,0,0,0.015,0.0002,0,0.015,0.015,0.015000000000000001,0,,,
163,台州市,天台县,浙东沿海诸河,象山港及三门湾,4,224.7,0.13,1.19,1.32,1.4,5.38,1.72,8.5,0,0,1.3,1.3,0,0,8,1.37,1.04,0.07,0,1.11,0.56,0.02,0.02,0,0,0.09,0.93,1.02,0.0247,0.0084,0.0051,0,0,0,0.0382,0.0005,0,0,0.0005,0,0,0,0,0.0387,0,0.0287,0.0005,0,0.0292,0,0.0002,0.0002,0,0,0.0003,0.0002,0.0009,0,0,0,0.0013,0.0019,0.0032,0,0,0.0004,0.0004,0,0.0008,0.0042,0.005,0.0005,0,0,0,0,0.0387,0.0005,0,0.0387,0.0387,0.0387,0,,,
164,台州市,天台县,瓯江温溪以下,始丰溪,4,1087,23.66,15.11,38.77,12.99,113.45,155.46,281.9,0.3,64.6,31.2,96.1,0,2.25,27.66,18.71,12.433,0.35,3.05,15.833,4.85,0.13,0.13,0,0.58,0.56,14.54,15.1,0.8231,0.0628,0.045,0,0,0,0.9309,0.0359,0,0,0.0359,0.0057,0.003,0,0.0087,0.9755,0.208,0.4813,0.0029,0.0152,0.4994,0.004,0.001,0.001,0,0.0165,0.0016,0.0031,0.0232,0,0,0.0058,0.0606,0.0892,0.1556,0,0.013,0.0445,0.0575,0.0043,0.1299,0.0624,0.1923,0.0276,0.0291,0.0184,0.0475,0,0.9755,0.0359,0.208,1.1835,0.9754999999999999,0.9755,0,,,
165,台州市,仙居县,瓯江温溪以下,永安溪,4,1955.3,21.21,14.49,35.7,16.48,104.74,127.98,249.2,0.6,50.35,34.55,85.5,0,1.05,38.28,20.402,16.298,3.62,0,19.918,7.72,0.87,1.35,0,0.39,0.4776,15.06,15.54,0.8078,0.1031,0.0086,0,0,0,0.9195,0.0198,0,0,0.0198,0.01,0.0032,0,0.0132,0.9525,0.2294,0.5356,0.0349,0,0.5705,0.0029,0.0061,0.0093,0,0.0092,0.0007,0.0043,0.0296,0,0,0.0058,0.0528,0.0584,0.117,0.0009,0.0097,0.044,0.0537,0,0.0824,0.0376,0.12,0.016,0.0447,0.017,0.0617,0,0.9525,0.0198,0.2294,1.1819,0.9524999999999999,0.9525,0,,,
