序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计,col_37,col_38,zjszyreport,12.0
152,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,10.11,5.2,15.31,5.32,57.29,71.34,133.95,30.93,12.59,3.94,47.46,136,0,5.12,4.661,2.737,1.362,0,4.099,0.65,0.56,0.99,0,0.01,0.1223,4.58,4.7023,,,,
153,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,52.55,14.75,67.3,17.55,219.29,321.11,557.95,2.4,124.17,58.92,185.49,0,2.7,8.57,8.209,6.431,1.418,0,7.849,2,0.11,0.34,0,0.1,0.01,2.02,2.03,,,,
154,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
155,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,44.57,25.09,69.66,18.7551,253.6984,284.4246,556.8781,0.33,100.87,127.9,229.1,0,3.6,19.24,13.51,10.445,2.485,0,12.93,3.1,3.15,0.8,0,0,0.15,3.8,3.95,,,,
156,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0,1.09,1.09,0.5,0,0,0.5,0,0,0,0,0,0,0.59,0.59,0.411,0.133,0,0.544,0.34,0.03,0,0,0,0,0,0,,,,
157,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,41.32,21.57,62.89,14.201,266.9181,388.2675,669.3866,0.64,102.27,109.09,212,0,3.9,15.8,15.495,13.749,0.987,,14.736,3.16,0.825,0.69,0,0.58,0,1.64,1.64,,,,
158,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,20.29,17.66,37.95,34.91,114.23,124.25,273.39,25.21,53.26,17.23,95.7,950,0,32.47,19.7,11.049,3.297,0,14.346,4.43,0.039,0.304,0,0.029,0.1691,9.7,9.8691,,,,
159,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,0,0,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0,,,,
160,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0,0.55,0.55,0.5907,0.0607,0.0105,0.6619,0,0,0,0,0,0,5,0.59,0.45,0.02,,0.47,0.38,0.02,0.02,,0,0.02,0.8,0.82,,,,
161,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.15,1.35,1.5,1.5605,5.4384,1.8041,8.803,0,0,1.2955,1.2955,0,0,8,1.37,1.04,0.07,,1.11,0.64,0.02,0.02,,0,0.08,1.25,1.33,,,,
162,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331023,天台县,台州市,1087,24.99,20.43,45.42,14.4788,114.681,163.0654,292.2252,0.299,64.3745,31.0911,95.7646,0,2.25,27.66,18.71,12.433,0.35,3.05,15.833,5.7,0.13,0.13,,0.58,0.52,19.61,20.13,,,,
163,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331024,仙居县,台州市,1955.3,22.4,20.79,43.19,16.72,108.83,134.96,260.51,0,50.57,32.74,83.31,0,0,38.28,20.402,16.298,3.62,0,19.918,7.27,0.87,1.35,0,0.4,0.4632,15.32,15.7832,,,,
164,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331024,仙居县,台州市,36.7,0,0,0,,,,0,,,,0,,,,,,,,0,0,,,,,,,0,,,,
165,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331081,温岭市,台州市,638.2,91.37,42.8,134.17,76.85,488.57,546.46,1111.88,0,162.71,210.34,373.05,0,4.5,48.16,33.77,30.598,2.01,1.18,33.788,11.5,0.055,8.2561,0,0.15,0.12,13.65,13.77,,,,
166,东南诸河,浙南诸河,瓯江温溪以下,玉环岛,G030250,331081,温岭市,台州市,197.8,0.72,6.73,7.45,4.54,13.88,6.57,24.99,0,3.27,3.48,6.75,0,1.5,3.11,2.63,1.43,0.07,0.09,1.59,0.7,0,1.3439,0,0.02,0.01,2.03,2.04,,,,
167,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331082,临海市,台州市,113.7,4.16,4.24,8.4,3.73,24.43,27.46,55.62,0,16.01,3.92,19.93,,,4.34,2.77,2.243,0.508,0.316,3.067,0.84,0.02,0.14,,0.06,0.04,4.65,4.69,,,,
168,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331082,临海市,台州市,397.1,5.12,5.22,10.34,4.61,29.95,33.75,68.31,0,19.68,4.81,24.49,,,6.05,3.73,2.991,0.738,0.393,4.122,1.04,0.02,0.18,,0.04,0.06,9.52,9.58,,,,
169,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331082,临海市,台州市,247,7.01,7.15,14.16,6.31,41.07,46.19,93.57,0,26.93,6.59,33.52,,,9.07,5.21,3.912,1.63,0.24,5.782,1.42,0.04,0.24,,0.04,0.08,13.05,13.13,,,,
170,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331082,临海市,台州市,1381.2,38.13,38.9,77.03,34.4,223.65,253.18,511.23,0.32,146.31,35.88,182.51,0,3,41.15,24.556,15.8,3.375,3.442,22.617,7.59,0.08,1.01,,1.36,0.41,69.52,69.93,,,,
171,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331082,临海市,台州市,32,0.73,0.75,1.48,0.65,4.28,4.82,9.75,0,2.82,0.69,3.51,,,0.96,0.69,0.518,0.221,0.029,0.768,0.15,0.01,0.13,,0.01,0.01,1.39,1.4,,,,
172,东南诸河,浙南诸河,瓯江温溪以下,玉环岛,G030250,331083,玉环市,台州市,378,46.85,17.55,64.4,38.6,334.84,259.13,632.57,22.3537,190.6899,93.9064,306.95,400,1.2,15.85,8.37,6.5031,0,1.7709,8.274,0.984,0.33,2.6235,0,0,0.1787,26.6786,26.8573,,,,
