序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46,温州市,鹿城区,瓯江温溪以下,瓯江下游干流,5,289.9,105.5712,11.1452,116.7164,2.0365,279.8929,890.3928,1172.3222,1.5,60,138.9,200.4,0,3.6,7.19,4.657,3.95,0,0.7,4.65,1.9016,0,0.23,0,0,0.0305,0.784,0.8145,1.3236,0.3125,0.2617,0,,0,1.8978,0,0,0,0,0,0,0,0,1.8978,1.0566,0.203,0,0.0112,0.2142,0,0,0.0018,0,0,0.0001,0.0004,0.0023,0,0,0.0025,0.1196,0.15,0.2721,0,0.184,0.275,0.459,0,0.6202,0.052,0.6722,0,0.278,0,0.278,0,1.8978,0,1.0566,2.9544,1.8978000000000002,1.8978,0,,,,,,,,,,,,,,,,,,,,,,,
47,温州市,龙湾区,瓯江温溪以下,瓯江下游干流,5,332.8,72.3945,0.1104,72.5049,2.9596,383.0912,331.3511,717.4019,1.05,151.15,183.91,336.11,34.2,0,5.36,4.005,3.21,0,0.06,3.27,0.7475,0,0,0,0,0.0841,2.241,2.3251,0.966,0.2896,0.196,0,,0,1.4516,0,0,0,0,0,0,0,0,1.4516,0.5448,0.1857,0,0.001,0.1867,0,0,0,0,0,0.0003,0.0013,0.0016,0,0.0012,0,0.113,0.256,0.3702,0,0.15,0.1715,0.3215,0,0.3681,0.0005,0.3686,0,0.203,0,0.203,0,1.4516,0,0.5448,1.9964,1.4516,1.4516,0,,,,,,,,,,,,,,,,,,,,,,,
48,温州市,瓯海区,瓯江温溪以下,瓯江下游干流,5,461.4,80.2427,16.0811,96.3238,6.6607,286.2586,408.3224,701.2417,0,108.0368,98.0632,206.1,0,0,12.51,7.56,6.2881,0,1.15,7.4381,2.1965,0.06,0.09,0,0.0039,0.0618,2.021,2.0828,1.3563,0.126,0.2153,0,,0,1.6976,0,0,0,0,0,0,0,0,1.6976,1.31,0.3144,0,0.0234,0.3378,0,0.0005,0.0007,0,0.0015,0.0002,0.0009,0.0038,0,0,0,0.12,0.175,0.295,0,0.15,0.205,0.355,0,0.43,0.072,0.502,0,0.204,0,0.204,0,1.6976,0,1.31,3.0076,1.6976,1.6976,0,,,,,,,,,,,,,,,,,,,,,,,
49,温州市,瓯海区,瓯江温溪以下,飞云江,5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
50,温州市,洞头区,瓯江温溪以下,瓯江下游干流,5,231,7.8574,7.0233,14.8807,6.5213,47.4811,60.5937,114.5961,0,19.1,8.1,27.2,0,0,3.74,0.135,0.09,0,0.03,0.12,0,0,0.02,0,0,0,0.699,0.699,0.029,0.0965,0.0176,0,,0,0.1431,0,0,0,0,0,0,0,0,0.1431,0,0.0039,0,0.0007,0.0046,0,0,0.0001,0,0,0,0.0002,0.0003,0,0,0,0.0122,0.011,0.0232,0,0.0128,0.0297,0.0425,0,0.0301,0.0214,0.0515,0,0.014,0.007,0.021,0,0.1431,0,0,0.1431,0.1459,0.1431,-0.002799999999999997,,,,,,,,,,,,,,,,,,,,,,,
51,温州市,乐清市,瓯江温溪以下,楠溪江,5,30.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
52,温州市,乐清市,瓯江温溪以下,瓯江下游干流,5,1354.1,94.9823,50.3267,145.309,21.2268,591.8466,649.9325,1263.0059,58.6,299.88,188.52,547,315,2.4,39.84,26.61,23.1309,0,2.965,26.0959,14.4535,6,3,0,0,0.4959,6.861,7.3569,2.2153,0.3206,0.0454,0,,0,2.5813,0.005,0,0,0.005,0,0,0.0297,0.0297,2.616,0,0.8332,0,0.0348,0.868,0,0.0216,0.0108,0,0,0.0017,0.0041,0.0382,0,0.0786,0.0089,0.2843,0.158,0.5298,0.005,0.096,0.165,0.261,0,0.435,0.182,0.617,0,0.302,0,0.302,0,2.616,0.005,0,2.616,2.616,2.616,0,,,,,,,,,,,,,,,,,,,,,,,
53,温州市,瑞安市,瓯江温溪以下,飞云江,5,1340.9,101.2484,50.7562,152.0046,25.8173,464.5871,546.6868,1037.0912,3.97,196.07,188.18,388.22,0,4.4,57.61,29.2803,15.84,7.76,3.58,27.18,10.7616,3.825,3.765,0,0.2326,0.4412,8.424,8.8652,1.7372,0.0609,0.7043,0,,0,2.5024,0,0,0,0,0,0,0,0,2.5024,1.3832,0.6405,0.1442,0.0205,0.8052,0,0.0161,0.0158,0,0.0412,0.0016,0.0044,0.0791,0,0,0.008,0.2438,0.2531,0.5049,0,0.0354,0.1157,0.1511,0,0.4431,0.19,0.6331,0,0.329,0,0.329,0,2.5024,0,1.3832,3.8856,2.5024,2.5024,0,,,,,,,,,,,,,,,,,,,,,,,
54,温州市,瑞安市,瓯江温溪以下,鳌江,5,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
55,温州市,永嘉县,瓯江温溪以下,永安溪,5,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
