序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计,col_37,col_38,zjszyreport,12.0
90,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,86.087,15.9167,102.0037,13.087,360.9062,634.5274,1008.5206,4.9415,217.1506,49.4285,271.5206,1.8,4.8,18.27,15,11.85,0,2.45,14.3,7.1,3.15,1.61,,1.1,,62.15,62.15,,,,
91,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.6211,0.2688,0.8899,0.3584,1.257,2.543,4.1584,0,1.2159,0.7814,1.9973,,,0.33,0.25,0.22,,0.03,0.25,0.02,0,0,0,0.01,0,0.15,0.15,,,,
92,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,76.8245,15.0877,91.9122,30.0109,717.2549,731.5351,1478.8009,22.3742,535.7844,53.1173,611.2759,0,130.5,18.78,15.37,13.27,,2.1,15.37,10.5,0,1.2,0,1.08,0.03,5.23,5.26,,,,
93,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,12.8605,4.2233,17.0838,8.3215,15.4238,10.0258,33.7711,0,6.0578,1.1246,7.1824,,,7.97,5.95,3.59,,2.36,5.95,1.1,0.27,0,0,0.01,0,1.32,1.32,,,,
94,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,10.9009,4.6005,15.5014,6.5227,70.0538,105.3895,181.966,2.8878,107.2751,17.1554,127.3183,4.5,0,11.85,7.95,6.69,0.78,0.48,7.95,3.5,0.02,0.02,,0.4,0.03,4.98,5.01,,,,
95,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,5.5412,9.8866,15.4278,17.5675,117.3427,40.4387,175.3489,0,27.5097,17.1371,44.6468,,,14.04,10.38,8.91,1.07,0.4,10.38,5.7,0.05,0.04,,0.8,0.29,8.45,8.74,,,,
96,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,736.7,40.4728,12.5727,53.0455,28.0508,327.1825,331.2706,686.5039,8.1943,157.3489,88.8154,254.3586,3.6,7.8,38.74,31.5,14.65,15.49,1.36,31.5,13.6,0.08,0.04,,1.9,0.06,26.45,26.51,,,,
97,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,26.1282,15.7754,41.9036,22.4075,221.2042,217.8518,461.4635,1.2553,103.5267,89.2494,194.0314,3.6,0,42.44,20.09,15.26,1.37,3.46,20.09,4.4,1.11,0.3,,0.19,0.28,7.9,8.18,,,,
98,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,,,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0,,,,
99,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330624,新昌县,绍兴市,4.4,,,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0,,,,
100,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330681,诸暨市,绍兴市,11.5,,,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0,,,,
101,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330681,诸暨市,绍兴市,114.4,1.5309,0.7806,2.3115,1.2159,2.2875,3.4243,6.9277,,,,0,,,1.59,1.59,1.17,,0.42,1.59,0.7,,,,,,,0,,,,
102,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330681,诸暨市,绍兴市,2185.1,74.7608,44.7349,119.4957,49.6982,615.3293,690.4031,1355.4306,1.0441,424.43,80.5981,506.0722,0,7.4,75.82,64.46,56.94,,7.52,64.46,21.9,0.56,0.61,,3.4,0.3,60.52,60.82,,,,
103,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330683,嵊州市,绍兴市,1779.2,38.6087,28.9139,67.5226,42.0226,259.3689,299.8823,601.2738,2.8574,94.7431,124.6766,222.2771,0,7.05,67.29,59.84,55.39,,1.51,56.9,15.1,1.275,2.49,,0.23,0.11,68.54,68.65,,,,
104,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330683,嵊州市,绍兴市,9.8,,,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0,,,,
