序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
1,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,123.3,133.5,0,133.5,0,604.66,1812.85,2417.51,0,466.65,21.16,487.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,119,114.5,0,114.5,0,193.79,1774.77,1968.56,10.52,100.3,16.22,127.04,0,241.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330106,西湖区,杭州市,115.9,91.15,0.9,92.05,3.27,100.18,1256.28,1359.73,0,59.65,7.43,67.08,0,0,0.92,0.92,0.56,0.02,0.34,0.92,0.04,0,0,0,0.12,0,0,0
4,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330106,西湖区,杭州市,147.1,19.81,2.34,22.15,1.49,43.84,549.91,595.24,0,32.1,5.74,37.84,0,0,3.6,3.6,2.22,0.24,0.58,3.04,0.16,1.81,0,0,0.36,0,0,0
5,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,52.5,0,52.5,0.48,859.05,1163.07,2022.6,0,771.06,69.93,840.99,0,0,0.3,0.3,0,0,0.3,0.3,0.1,0,0,0,0.08,0,0,0
6,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,22.79,14.15,36.94,13.32,243.19,56.44,312.95,12.76,174.18,14.65,201.59,0,125,7.7149,7.7149,7.4313,0,0.2836,7.7149,2.5,0,1.54,0,2.96,0,28.88,28.88
8,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,143.54,25.12,168.66,45.09,532.08,1121.5,1698.67,17.02,350.13,117.4,484.55,0,17.2,28.0851,28.0851,26.6393,0,0.9758,27.6151,4.75,0,0.9,0,3.25,0.32,50.34,50.66
9,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,49.44,13.35,62.79,14.28,217.46,656.45,888.19,0,57.44,13.16,70.6,0,0,11.62,11.62,8.49,1.31,1.82,11.62,2.44,0,0.68,0,1.7,0.025,27.56,27.585
11,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330110,余杭区,杭州市,367.2,46.01,22.1,68.11,25.46,119.52,1469.03,1614.01,0,191,37.79,228.79,0,0,17.94,17.94,15.39,1.31,1.24,17.94,6.03,7.67,0.34,0,3.68,0,13.79,13.79
12,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330111,富阳区,杭州市,1760.1,59.95,22.55,82.5,49.22,389.34,430.05,868.61,0,269.85,62.85,332.7,0,10.85,33.7,33.7,31.94,1.04,0.72,33.7,9.96,0.18,0.45,0,3.43,0.2209,48.7462,48.9671
13,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330111,富阳区,杭州市,47.9,0.15,1.25,1.4,0.3,2.1,2.29,4.69,0,0,2.88,2.88,0,0,0.29,0.29,0.14,0.13,0.02,0.29,0.13,0,0,0,0,0,0,0
14,长江,太湖水系,湖西及湖区,东苕溪,F120120,330112,临安区,杭州市,845,29.51,11,40.51,25.41,185.29,156.73,367.43,0.55,199.45,21.17,221.17,0,1.35,10.42,10.42,7.88,0.47,0.64,8.99,1.33,0.29,0.3,0,0.07,0.1498,4.7371,4.8869
15,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330112,临安区,杭州市,2279,8.88,14.81,23.69,20.16,146.7,124.06,290.92,0,31.37,37.06,68.43,0,0,19.46,19.46,15.64,1.04,1.21,17.89,2.66,0.25,0.27,0,0.1,0.1605,15.0816,15.2421
16,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330113,临平区,杭州市,286,106.61,12.49,119.1,15.42,505.89,418.78,940.09,0.11,409.99,68.62,478.72,0,11.2,10.78,10.78,9.25,0.79,0.74,10.78,3.09,0.87,0.62,0,1.8,0,9.85,9.85
17,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330122,桐庐县,杭州市,146.5,0,0.29,0.29,0.31,2.01,2.07,4.39,0,0,0.29,0.29,0,0,0.4499,0.4499,0.29,0.09,0.0601,0.4401,0.09,0.04,0,0,0.016,0.03,1.16,1.19
18,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330122,桐庐县,杭州市,1633.5,32.26,12.95,45.21,25.8,186.03,197.66,409.49,0.38,107.33,42.13,149.84,0,1.8,21.7651,21.7651,18.9699,1.39,1.13,21.4899,4.7,0.82,0,0,0.994,0.14,17,17.14
19,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330127,淳安县,杭州市,16.4,0,0.17,0.17,0.11,0.24,0.55,0.9,0,0,0,0,0,0,0.08,0.08,0.06,0,0.02,0.08,0.03,0,0.04,0,0,0,0.32,0.32
20,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330127,淳安县,杭州市,4369.3,15.94,16.17,32.11,39.57,62.31,147.78,249.66,0.17,28.79,10.7,39.66,0,0.75,13.83,13.83,8.62,1.12,1.68,11.42,4.36,0.03,1.75,0,0.25,0.1,22.19,22.29
21,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330127,淳安县,杭州市,66.3,0,0.52,0.52,0.75,1.14,2.72,4.61,0,0,0,0,0,0,0.61,0.61,0.43,0.02,0.01,0.46,0.17,0,0.02,0,0,0,0.36,0.36
22,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330155,钱塘区,杭州市,104.7,49.17,0,49.17,0.36,526.71,290.37,817.44,4.49,438.37,74.24,517.1,0,5.7,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0
23,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330155,钱塘区,杭州市,427,20.93,9.2,30.13,13.6,301.92,85.28,400.8,30.29,208.51,27.11,265.91,0,111.9,30.26,30.26,26.355,0,0.555,26.91,3.35,0,0.4,0,1.95,0.18,16.1,16.28
24,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330182,建德市,杭州市,78.3,0.7,0.62,1.32,1.6,9.29,7.54,18.43,0,6.69,0.33,7.02,0,0,1.1002,1.1002,1.01,0.06,0.03,1.1,0.38,0.04,0.26,0,0.0266,0,2.28,2.28
