序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
173,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,44.1317,11.9223,56.054,22.51,162.2,294.8,479.51,0.73,124.01,,124.74,0,2.55,19.37,16.64,14.57,2.04,0,16.61,3.87,0,4.12,0,0.42,0.2,27.95,28.15
174,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.0183,0.8277,0.846,1.17,2.49,0.01,3.67,1.09,1.65,,2.74,0,7,1.06,0.94,0.85,0.08,0,0.93,0.22,0,0.2,0,0.02,0.04,1.04,1.08
175,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,7.0005,12.2292,19.2297,4.7539,41.6493,65.25,111.6532,0.3917,32.7003,,33.092,0,1.2,19.3,6.21,4.21,1.2,0,5.41,2.7681,0,0.54,0,0.01,0.26,11.42,11.68
176,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,14.8041,11.2662,26.0703,5.7369,54.1316,73.136,133.0045,,37.4124,,37.4124,,,20.87,6.78,4.63,1.33,0,5.96,2.4441,0,0.44,0,0.02,0.21,11.19,11.4
177,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,0,0,0,0,0,0,0,,0,,0,,,0,,,,,0,0,,,,,,,0
178,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,6,0,6,1.1238,10.0491,23.5594,34.7323,,17.5856,,17.5856,,,0.84,0.63,0.47,0.14,0,0.61,0.1178,0,0.28,0,0,0.03,0.47,0.5
179,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,0,0,0,0,0,0,0,,0,,0,,,0,,,,,0,0,,,,,,,0
180,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,8.16,5.4596,13.6196,3.44,47.21,21.91,72.56,0,40.71,,40.71,,,8.09,4.39,3.26,1.094,0,4.354,1.18,0.07,0.278,0,0.12,0.03,5.36,5.39
181,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,15.78,7.5237,23.3037,8.35,89.93,110.2,208.48,0.03,78.69,,78.72,0,1.2,15.5,9.73,7.23,2.42,0,9.65,2.98,0.08,0.307,0,0.2,0.03,7.33,7.36
182,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0,2.8103,2.8103,1.27,8.74,5.9,15.91,0,1.43,,1.43,,,1.9,0.89,0.83,0,0,0.83,0.5,0,0,0,0,0.03,2.59,2.62
