序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
69,嘉兴市,南湖区,杭嘉湖平原,杭嘉湖平原,1,0.0,439,76.65,10.55,87.2,15.94,463.92,477.12,956.98,22.43,284.59,100.76,407.78,0,7,24.19,23.88,18.57,1.4,0,19.97,10.0144,0,2.8,0,0.4257,0,136.1519,136.1519,0,0,1.5384,0.329,,0,1.8674,0,0,0,0,0.12,0,0,0.12,1.9874,0,0.8176,0.014,0,0.8316,0,0,0.024,0,0.0213,0,0.004,0.0493,0,0,0.038,0.2377,0,0.2757,0,0.0403,0.2071,0.2474,0,0.3589,0.043,0.4019,0,0.1815,0,0.1815,0,1.9874,0,0,1.9874,0,0,0
70,嘉兴市,秀洲区,杭嘉湖平原,杭嘉湖平原,1,0.0,548,48.08,22.42,70.5,19.24,456.3,383.76,859.3,6.8266,408.0834,0,414.91,0,20.3,31.21,27.92,22.28,1.92,0,24.2,14.92,0,0.85,0,1.93,0.165,120.1908,120.3558,0,0,2.0335,0.3449,,0,2.3784,0,0,0,0,0.1286,0,0,0.1289,2.5073,0,1.1253,0.0192,0,1.1445,0,0,0.005,0,0.058,0.0004,0.0035,0.0669,0,0,0.0926,0.5789,0,0.6715,0,0.0189,0.1796,0.1985,0,0.2774,0.1189,0.3963,0,0.0296,0,0.0296,0,2.5073,0,0,2.5073,0,0,0
71,嘉兴市,嘉善县,杭嘉湖平原,杭嘉湖平原,1,0.0,507,49.32,16.88,66.2,23.81,503.68,336.65,864.14,2.81,413.7,52.6,469.11,0,10.8,29.62,28.97,27.7772,0.69,0,28.4672,14.3725,0,0.68,0,2.87,0,56.5143,56.5143,0,0,2.5342,0,,0,2.5342,0,0,0,0,0,0,0,0,2.5342,0,1.3034,0.0067,0,1.3101,0,0,0.0053,0,0.1205,0,0.0019,0.1277,0,0,0.0435,0.4041,0,0.4476,0,0.0567,0.1916,0.2483,0,0.2606,0.0879,0.3485,0,0.0434,0.0086,0.052,0,2.5342,0,0,2.5342,0,0,0
72,嘉兴市,海盐县,杭嘉湖平原,杭嘉湖平原,1,0.0,530.8,30.95,15.95,46.9,20.38,373.23,246.73,640.34,133.43,178.82,37.39,349.64,0,109.45,32.47,31.67,23.52,3.93,0,27.45,14.1225,0.1,3.87,0,1.4602,0,846.81,846.81,0,0,2.0871,0.1118,,0,2.1989,0,0,0,0,0,0,0,0,2.1989,0,1.1845,0.0234,0,1.2079,0,0.0005,0.0329,0,0.0657,0,0.0126,0.1117,0,0,0.1455,0.3905,0,0.536,0,0.0273,0.0732,0.1005,0,0.1464,0.0691,0.2155,0,0.0273,0,0.0273,0,2.1989,0,0,2.1989,0,0,0
73,嘉兴市,海盐县,富春江坝址以下,钱塘江河口水域,1,0.0,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,嘉兴市,海宁市,杭嘉湖平原,杭嘉湖平原,1,0.0,730.4,77.69,32.51,110.2,21.48,725.41,501,1247.89,5.7,468.41,173.9,648.01,0,134,32.36,26.19,22.84,3.35,0,26.19,12.57,0,8.5,0,1.86,0,539.9591,539.9591,0,0,2.9107,0.1429,,0,3.0536,0,0,0,0,0.0042,0,0,0.0042,3.0578,0,1.1695,0.0309,0,1.2004,0,0,0.0706,0,0.1115,0,0.0109,0.193,0,0,0.0863,0.7615,0,0.8478,0,0.0427,0.2009,0.2436,0,0.3665,0.1356,0.5021,0,0.0709,0,0.0709,0,3.0578,0,0,3.0578,0,0,0
75,嘉兴市,海宁市,富春江坝址以下,钱塘江河口水域,1,0.0,132.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,嘉兴市,平湖市,杭嘉湖平原,杭嘉湖平原,1,0.0,554,46.92,21.88,68.8,16.49,586.5,357.31,960.3,2.88,513.18,34.53,550.59,0,542,36.68,34.69,25.93,1.67,0,27.6,18.94,0,0.25,0,1.32,0,94.8896,94.8896,0,0,2.8275,0.2148,,0,3.0423,0,0,0,0,0,0,0,0,3.0423,0,1.2809,0.0185,0,1.2994,0,0,0.0016,0,0.0477,0,0.0026,0.0519,0,0,0.1424,1.0721,0,1.2145,0,0.0223,0.1031,0.1254,0,0.2234,0.0885,0.3119,0,0.0392,0,0.0392,0,3.0423,0,0,3.0423,0,0,0
77,嘉兴市,桐乡市,杭嘉湖平原,杭嘉湖平原,1,0.0,727,72.2,33.2,105.4,26.67,610.57,573.26,1210.5,7.4674,462.3726,68.72,538.56,0,59.75,37.31,36.0671,26.64,4.75,0,31.39,13.2276,0.57,6.5,0,2.5184,0,307.4769,307.4769,0,0,3.047,0.174,,0,3.221,0,0,0,0,0,0,0,0,3.221,0,1.3022,0.0346,0,1.3368,0,0.005,0.0536,0,0.1133,0,0.0095,0.1814,0,0,0.0894,0.6375,0,0.7269,0,0.0739,0.2408,0.3147,0,0.413,0.1758,0.5888,0,0.0724,0,0.0724,0,3.221,0,0,3.221,0,0,0
,嘉兴,嘉兴西片供水区,嘉兴市区,,,,987,124.73,32.97,157.7,35.18,920.22,860.88,1816.28,29.2566,692.6733999999999,100.76,822.69,0,27.3,55.400000000000006,51.8,40.85,3.32,0,44.17,24.9344,0,3.65,0,2.3557,0.165,256.34270000000004,256.5077,0,0,3.5719000000000003,0.6738999999999999,,0,4.2458,0,0,0,0,0.2486,0,0,0.24889999999999998,4.4947,0,1.9428999999999998,0.0332,0,1.9761000000000002,0,0,0.029,0,0.07930000000000001,0.0004,0.0075,0.1162,0,0,0.1306,0.8166,0,0.9472,0,0.0592,0.38670000000000004,0.4459,0,0.6363,0.1619,0.7982,0,0.2111,0,0.2111,0,4.4947,0,0,4.4947,0,0,0
