序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
28,宁波市,海曙区,浙东沿海诸河,姚江,2,0.0,47,0,0.3,0.3,0.1254,0,0,0.1254,0,0,0,0,0,0,0.87,0.303,0.1808,0.0169,0,0.1977,0.01,0.015,0,0,0,0,0,0,0.0013,0.0077,0,0,,0,0.009,0,0,0,0,0,0,0,0,0.009,0,0.0075,0.0002,0,0.0077,0,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0,0,0,0,0,0.009,0,0,0.009,0,0,0
29,宁波市,海曙区,浙东沿海诸河,奉化江及甬江干流,2,0.0,547.7,93.2,12.3,105.5,17.0539,425.8353,1058.2602,1501.1494,0,337.88,0,337.88,0,10.1,19.15,15.037,13.1314,1.4764,0,14.6078,6.33,0.939,0.9165,0,0.2625,0.0692,3.4986,3.5678,1.0747,0.2061,0.434,0,,0,1.7148,0.0048,0,0,0.0048,0,0,0,0,1.7196,0.468,0.5476,0.0146,0,0.5622,0,0.0066,0.0044,0,0.0183,0.0002,0.0012,0.0307,0,0,0,0.1971,0.0729,0.27,0.0048,0.0276,0.2002,0.2278,0,0.5042,0.0626,0.5668,0,0.0601,0.002,0.0621,0,1.7196,0.0048,0.468,2.1876,0,0,0
30,宁波市,江北区,浙东沿海诸河,奉化江及甬江干流,2,0.0,207.6,42.6,7.7,50.3,8.94,271.07,580.31,860.32,0,169.1,56.37,225.47,0,0,6.665,6.665,6.04,0.318,0,6.358,1.9,0.636,0.996,0,0.096,0.4427,1.9086,2.3513,0.6159,0.05,0.0901,0,,0,0.756,0,0,0,0,0,0,0,0,0.756,0.323,0.1691,0.0019,0,0.171,0,0.0045,0.0063,0,0.0067,0.0017,0.0009,0.0201,0,0,0,0.0983,0.0212,0.1195,0,0.0257,0.1103,0.136,0,0.2338,0.0381,0.2719,0,0.0235,0.014,0.0375,0,0.756,0,0.323,1.079,0,0,0
31,宁波市,北仑区,浙东沿海诸河,奉化江及甬江干流,2,0.0,399.9,53.83,10.74,64.57,5.36,988.29,859.75,1853.4,35.39,821.03,27.81,884.23,500,90,6.289,6.289,3.321,2.312,0,5.633,0.27,0.18,0.6213,0,0.0268,0.033,3.6024,3.6354,1.2126,0.03,0.9616,0,,0,2.2042,0,0,0,0,0.1556,0,0,0.1556,2.3598,0.366,0.1328,0.0206,0,0.1534,0,0.0013,0.0047,0,0.0019,0.0001,0.0012,0.0092,0,0.0828,0.2218,1.0441,0.0395,1.3882,0,0.0311,0.3032,0.3343,0,0.336,0.064,0.4,0,0.0586,0.0161,0.0747,0,2.3598,0,0.366,2.7258,0,0,0
32,宁波市,北仑区,浙东沿海诸河,象山港及三门湾,2,0.0,199.1,14.57,8.76,23.33,3.56,311.84,462.04,777.44,12.13,324.11,13.08,349.32,0,75,4.281,4.281,2.123,1.714,0,3.837,0.19,0.12,0.4167,0,0.0112,0.0289,0.7803,0.8092,0.5089,0.0017,0.3957,0,,0,0.9063,0,0,0,0,0,0,0,0,0.9063,0,0.0881,0.0139,0,0.102,0,0.0008,0.0032,0,0.0008,0.0001,0.0003,0.0052,0,0,0.105,0.3719,0.037,0.5139,0,0.0133,0.0768,0.0901,0,0.0931,0.0523,0.1454,0,0.023,0.0267,0.0497,0,0.9063,0,0,0.9063,0,0,0
33,宁波市,镇海区,浙东沿海诸河,奉化江及甬江干流,2,0.0,245.7,47,4.6,51.6,7.32,954.92,412.05,1374.29,21.02,879.17,0,900.19,0,268.2,9,5.67,2.62,2.62,0,5.24,1.81,0.066,0.5835,0,0.0543,0.0961,3.905,4.0011,0.8525,0,1.1123,0.1416,,0,2.1064,0,0,0,0,0.2388,0,0,0.2388,2.3452,0.283,0.1127,0.0392,0,0.1519,0,0.0005,0.0033,0,0.0038,0.0003,0.0009,0.0088,0,0,0.1188,1.3588,0.0562,1.5338,0,0.0133,0.2307,0.244,0,0.3033,0.0264,0.3297,0,0.05,0.027,0.077,0,2.3452,0,0.283,2.6282,0,0,0
34,宁波市,鄞州区,浙东沿海诸河,奉化江及甬江干流,2,0.0,560.3,119.77,21.63,141.4,20.48,654.02,1775.47,2449.97,1.81,535.28,0,537.09,0,0,14.85,14.45,13.3415,0.38,0,13.7215,6.6,0.724,1.405,0,0.183,0.0471,1.01,1.0571,1.2948,0.082,0.3625,0.6403,,0,2.3796,0.0003,0,0,0.0003,0,0.0002,0,0.0002,2.3801,1.5606,0.487,0.0037,0,0.4907,0,0.0051,0.0071,0,0.0131,0.0002,0.0007,0.0262,0,0,0.0224,0.2468,0.1465,0.4157,0.0003,0.0446,0.4652,0.5098,0,0.7254,0.1237,0.8491,0,0.0838,0.0048,0.0886,0,2.3801,0.0003,1.5606,3.9407,0,0,0
35,宁波市,鄞州区,浙东沿海诸河,象山港及三门湾,2,0.0,253.7,18.13,6.67,24.8,10.25,97.14,177.42,284.81,0,69.25,0,69.25,0,0,4.55,4.55,3.264,0.31,0,3.574,2.1,0.361,1.201,0,0.141,0.0307,0.6372,0.6679,0.2538,0.0235,0.1034,0,,0,0.3807,0,0,0,0,0,0,0,0,0.3807,0.0414,0.0881,0.0016,0,0.0897,0,0.0025,0.0061,0,0.0082,0.0001,0.0006,0.0175,0,0,0,0.0406,0.029,0.0696,0,0.0034,0.0399,0.0433,0,0.1115,0.0372,0.1487,0,0.0103,0.0016,0.0119,0,0.3807,0,0.0414,0.4221,0,0,0
36,宁波市,奉化区,浙东沿海诸河,奉化江及甬江干流,2,0.0,999.6,30.3,17.2,47.5,19.79,410.53,259.15,689.47,0,394.28,0,394.28,0,0,14.7,14.7,13.3,1.4,0,14.7,4.1,6.093,2.8535,0,0.108,0.067,10.554,10.621,0.9621,0.156,0.2306,0,,0,1.3487,0.0012,0,0,0.0012,0,0,0,0,1.3499,0.325,0.5546,0.0134,0,0.568,0,0.0427,0.0109,0,0.0076,0.0003,0.0058,0.0673,0,0,0,0.1662,0.0602,0.2264,0.0008,0.0267,0.1388,0.1655,0.0004,0.198,0.1067,0.3047,0,0.009,0.009,0.018,0,1.3499,0.0012,0.325,1.6749,0,0,0
37,宁波市,奉化区,浙东沿海诸河,象山港及三门湾,2,0.0,268.4,5.4,5.7,11.1,16.19,136.84,64.78,217.81,0,98.57,0,98.57,0,0,3.81,3.81,3.36,0.45,0,3.81,2.22,2.6115,1.537,0,0,0.028,7.0361,7.0641,0.1599,0.0423,0.0989,0,,0,0.3011,0,0,0,0,0,0,0,0,0.3011,0,0.1378,0.0043,0,0.1421,0,0.0183,0.0059,0,0,0.0001,0.0039,0.0282,0,0,0,0.0118,0.0239,0.0357,0,0.002,0.0272,0.0292,0,0.0335,0.0264,0.0599,0,0.004,0.002,0.006,0,0.3011,0,0,0.3011,0,0,0
