序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
78,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,16.3699,5.7489,22.1188,3.24,119.47,153.81,276.52,1.01,70,56.24,127.25,0,2.7,2.23,2.23,1.74,0.39,0,2.13,0.86,0.78,0,0,0.57,0.0024,9.3331,9.3355
79,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,10.9098,2.7483,13.6581,7.05,57.28,73.72,138.05,0.15,19.24,15.49,34.88,0,0,4.83,4.83,3.86,0.79,0,4.65,1.88,0.36,0,0,1.17,0.0011,4.7098,4.7109
80,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,53.1915,14.7316,67.9231,17.56,375.57,387.47,780.6,1.38,162.42,145.13,308.93,0,6.4,12.85,12.85,9.23,3.11,0,12.34,5.19,0.28,0.64,0,3.51,0,6.9308,6.9308
82,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,31.07,23.53,54.6,31.2391,324.8504,203.1471,559.2366,5.7671,178.8328,116.9844,301.5843,0,32.65,20.33,20.26,18.4313,1.8287,0,20.26,12.34,0.28,0.55,0,6.18,0,44.305,44.305
83,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,12.0436,7.0343,19.0779,9.051,128.591,107.662,245.304,3.52,96.922,22.192,122.634,0,17.73,8.82,8.82,8.45,0.29,0,8.74,1.57,0.4,1.62,0,2.07,0,7.8359,7.8359
84,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,22.6922,13.6299,36.3221,18.849,252.023,142.031,412.903,7.56,160.198,57.822,225.58,0,12.34,17.39,17.39,16.16,0.79,0,16.95,4.45,0.15,0.61,0,4.25,0.1547,17.591,17.7457
85,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,43.72,24.28,68,44.0236,436.2134,373.1285,853.3655,24.7564,296.8435,79.9249,401.5248,0,445.5,35.54,35.54,28.0503,3.8797,0,31.93,18.48,1.88,4.29,0,3.87,0.0766,32.9225,32.9991
86,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,35.05,22.28,57.33,29.2,265.39,272.63,567.22,1.2197,242.3474,5.3653,248.9324,0,21.8,22.91,22.79,20.56,2.23,0,22.79,7.72,0.5,1.12,0,2.51,0.0349,12.2459,12.2808
88,长江,太湖水系,湖西及湖区,东苕溪,F120120,330523,安吉县,湖州市,70.6,1.37,0.9,2.27,0.84,7.08,7.23,15.15,0,0.7328,0.1205,0.8533,0,0,0.98,0.97,0.88,0.09,0,0.97,0.43,0.02,0.04,0,0.55,0,0.0509,0.0509
