序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
89,绍兴市,越城区,富春江坝址以下,萧绍平原,2,0.0,493,91.3,14.9,106.2,13.2595,492.146,674.7108,1180.1163,5.5534,384.5386,2.0199,392.1119,0,7.2,14.74,14.74,12.51,1.07,0,13.58,7.1,3.5,9.7,0,0.7,0,7.6,7.6,1.1658,0.5875,0.4172,0,,0,2.1705,0.0011,0,0,0.0011,0.1417,0,0,0.1417,2.3133,1.5779,0.5266,0.0158,0,0.5424,0.0008,0.035,0.1361,0,0.1246,0,0.0055,0.3012,0,0,0.0269,0.495,0.0943,0.6162,0,0.1176,0.066,0.1836,0,0.418,0.068,0.486,0.0003,0.1551,0.0288,0.1839,0,2.3133,0.0011,1.5779,3.8912,0,0,0
90,绍兴市,越城区,浙东沿海诸河,姚江,2,0.0,150,2.61,3.39,6,4.2172,55.2336,31.4713,90.9221,0,21.1043,0.3166,21.4209,0,0,14.06,14.06,7.36,2.59,0,9.95,0,0,0,0,2.4,0.6,7,7.6,0.0856,0.5231,0.2336,0,,0,0.8423,0.0001,0,0,0.0001,0,0,0,0,0.8424,0,0.3651,0.045,0,0.4101,0.0001,0,0,0,0.34,0,0.0041,0.3461,0,0,0,0.0241,0.0156,0.0397,0,0.003,0.0172,0.0202,0,0.0117,0.014,0.0257,0,0.0006,0,0.0006,0,0.8424,0.0001,0,0.8424,0,0,
91,绍兴市,柯桥区,富春江坝址以下,浦阳江,2,0.0,19.7,0.6,0.3,0.9,0.3922,1.6623,3.0363,5.0908,0,1.2951,1.412,2.7071,0,0,0.25,0.25,0.16,0.09,0,0.25,0.02,0,0,0,0.01,0,0.5,0.5,0.0127,0.0025,0.0064,0,,0,0.0216,0.0005,0,0,0.0005,0,0,0,0,0.0221,0,0.0069,0.0014,0,0.0083,0,0,0,0,0.0007,0,0.0003,0.001,0,0,0,0.0017,0.0001,0.0018,0,0.0009,0.0054,0.0063,0,0.003,0.0013,0.0043,0.0005,0.0003,0.0001,0.0004,0,0.0221,0.0005,0,0.0221,0,0,0
92,绍兴市,柯桥区,富春江坝址以下,萧绍平原,2,0.0,758.3,78.93,14.47,93.4,32.8476,948.508,873.4383,1854.7939,30.3255,570.6733,227.5089,828.5077,0,106.5,10.43,10.43,9.57,0.86,0,10.43,10.5,0,2.4,0,1.08,0.0011,12,12.0011,1.2306,0.9269,1.6117,0,,0,3.7692,0.0015,0,0,0.0015,0.1157,0,0,0.1157,3.8864,0,0.3867,0.0123,0,0.399,0.0005,0,0.024,0,0.1697,0,0.0083,0.2021,0,0,0.4159,1.7073,0.193,2.3162,0,0.0621,0.2816,0.3437,0,0.4416,0.0793,0.5209,0.001,0.0904,0.0141,0.1045,0,3.8864,0.0015,0,3.8864,0,0,0
93,绍兴市,柯桥区,富春江坝址以下,曹娥江百官以上,2,0.0,288,13.21,4.09,17.3,9.108,20.3967,11.9706,41.4753,0,6.4523,3.2825,9.7348,0,0,3.64,3.64,2.35,1.29,0,3.64,1.1,1.1,10.2,0,0.01,0,3,3,0.1564,0.0736,0.1019,0,,0,0.3319,0.0085,0,0,0.0085,0.0568,0,0,0.0568,0.3972,0,0.1005,0.0153,0,0.1158,0,0.0115,0.102,0,0.0012,0,0.0018,0.1165,0,0,0,0.0163,0.0022,0.0185,0,0.0148,0.0383,0.0531,0,0.0667,0.0181,0.0848,0.0085,0.0078,0.0007,0.0085,0,0.3972,0.0085,0,0.3972,0,0,0
94,绍兴市,上虞区,富春江坝址以下,萧绍平原,2,0.0,135.9,10.78,4.72,15.5,7.4291,93.0241,128.9969,229.4501,3.7235,188.4389,6.2788,198.4412,0,4.5,6.23,6.23,3.48,0.93,0,4.41,3.5,0.14,0.2,0,0.2,0,5,5,0.183,0.1657,0.1708,0,,0,0.5195,0.0004,0,0,0.0004,0.0127,0,0,0.0127,0.5326,0,0.174,0.0159,0,0.1899,0.0004,0.0014,0.0012,0,0.0269,0,0.003,0.0325,0,0,0.0391,0.0655,0.0465,0.1511,0,0.0158,0.0588,0.0746,0,0.0546,0.0227,0.0773,0,0.0065,0.0007,0.0072,0,0.5326,0.0004,0,0.5326,0,0,0
95,绍兴市,上虞区,富春江坝址以下,曹娥江百官以上,2,0.0,533.4,6.4,10,16.4,20.0085,155.8187,49.497,225.3242,0,48.3234,9.2432,57.5666,0,0,10.21,10.21,4.87,2.35,0,7.22,5.7,0.16,0.58,0,0.5,0,11,11,0.2478,0.0327,0.2051,0,,0,0.4856,0.004,0,0,0.004,0.0382,0,0,0.0382,0.5278,0,0.2487,0.0491,0,0.2978,0.0038,0.0016,0.0034,0,0.0697,0,0.0077,0.0824,0,0,0,0.0237,0.0303,0.054,0,0.0018,0.0168,0.0186,0,0.0297,0.0444,0.0741,0.0002,0.0008,0.0001,0.0009,0,0.5278,0.004,0,0.5278,0,0,0
96,绍兴市,上虞区,浙东沿海诸河,姚江,2,0.0,586.7,37.88,10.02,47.9,28.8952,398.8636,359.2282,786.987,10.5656,276.3985,6.7209,293.685,0,17.6,13.16,13.16,7.14,2.17,0,9.31,13.6,0.18,1.82,0,0.2,0.0424,5.7,5.7424,0.6025,0.4351,0.1381,0,,0,1.1757,0.0022,0,0,0.0022,0.07,0,0,0.07,1.2479,0,0.3736,0.0475,0,0.4211,0.0007,0.0018,0.0109,0,0.0264,0.0001,0.0035,0.0427,0,0,0.0449,0.2479,0.0437,0.3365,0,0.0218,0.0894,0.1112,0,0.2022,0.0526,0.2548,0.0015,0.0698,0.0118,0.0816,0,1.2479,0.0022,0,1.2479,0,0,0
97,绍兴市,新昌县,富春江坝址以下,曹娥江百官以上,2,0.0,1207.6,26.05,14.75,40.8,25.2298,290.628,248.8962,564.754,1.6755,175.4851,81.819,258.9796,0,4.2,25.47,25.47,12.53,8.07,0,20.6,4.4,1.11,1.3,0,0.19,0.1037,12.5,12.6037,0.7432,0.3328,0.2949,0,,0,1.3709,0.0061,0,0,0.0061,0.0462,0,0,0.0462,1.4232,0,0.6156,0.1647,0,0.7803,0.001,0.01,0.0079,0,0.0238,0.0003,0.0083,0.0503,0,0,0.0143,0.1302,0.0309,0.1754,0.0001,0.0315,0.0887,0.1202,0,0.1522,0.0854,0.2376,0.005,0.0516,0.0078,0.0594,0,1.4232,0.0061,0,1.4232,0,0,0
98,绍兴市,新昌县,浙东沿海诸河,奉化江及甬江干流,2,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
