序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
89,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,0.5266,0.0158,,0.5424,0.0008,0.035,0.1361,,0.1246,,0.0055,0.3012,,0,0.0269,0.495,0.0943,0.6162,,0.1176,0.066,0.1836,,0.418,0.068,0.486,0.0003,0.1551,0.0288,0.1839,,2.3133,0.0011,1.5779,3.8912,0,0
90,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330602,越城区,绍兴市,150,0.3651,0.045,,0.4101,0.0001,,,,0.34,0.002,0.0041,0.3461,,,,0.0241,0.0156,0.0397,,0.003,0.0172,0.0202,,0.0117,0.014,0.0257,,0.0006,,0.0006,,0.8424,0.0001,,0.8424,0,0
91,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.0069,0.0014,,0.0083,,,,,0.0007,,0.0003,0.001,,,,0.0017,0.0001,0.0018,,0.0009,0.0054,0.0063,,0.003,0.0013,0.0043,0.0005,0.0003,0.0001,0.0004,,0.0221,0.0005,,0.0221,0,0
92,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,0.3867,0.0123,,0.399,0.0005,,0.024,,0.1697,0.0001,0.0083,0.2021,,0,0.4159,1.7073,0.193,2.3162,,0.0621,0.2816,0.3437,,0.4416,0.0793,0.5209,0.001,0.0904,0.0141,0.1045,,3.8864,0.0015,,3.8864,0,0
93,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,0.1005,0.0153,,0.1158,,0.0115,0.102,,0.0012,,0.0018,0.1165,,,,0.0163,0.0022,0.0185,,0.0148,0.0383,0.0531,,0.0667,0.0181,0.0848,0.0085,0.0078,0.0007,0.0085,,0.3972,0.0085,,0.3972,0,0
94,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,0.174,0.0159,,0.1899,0.0004,0.0014,0.0012,,0.0269,,0.003,0.0325,,0,0.0391,0.0655,0.0465,0.1511,,0.0158,0.0588,0.0746,,0.0546,0.0227,0.0773,0,0.0065,0.0007,0.0072,,0.5326,0.0004,,0.5326,0,0
95,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,0.2487,0.0491,,0.2978,0.0038,0.0016,0.0034,,0.0697,,0.0077,0.0824,,,,0.0237,0.0303,0.054,,0.0018,0.0168,0.0186,,0.0297,0.0444,0.0741,0.0002,0.0008,0.0001,0.0009,,0.5278,0.004,,0.5278,0,0
96,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,586.7,0.3736,0.0475,,0.4211,0.0007,0.0018,0.0109,,0.0264,0.0001,0.0035,0.0427,,0,0.0449,0.2479,0.0437,0.3365,,0.0218,0.0894,0.1112,,0.2022,0.0526,0.2548,0.0015,0.0698,0.0118,0.0816,,1.2479,0.0022,,1.2479,0,0
97,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,0.6156,0.1647,,0.7803,0.001,0.01,0.0079,,0.0238,0.0003,0.0083,0.0503,,0,0.0143,0.1302,0.0309,0.1754,0.0001,0.0315,0.0887,0.1202,,0.1522,0.0854,0.2376,0.005,0.0516,0.0078,0.0594,,1.4232,0.0061,,1.4232,0,0
98,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,,,,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0
