序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
89,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,91.3,14.9,106.2,13.2595,492.146,674.7108,1180.1163,5.5534,384.5386,2.0199,392.1119,0,7.2,14.74,14.74,12.51,1.07,,13.58,7.1,3.5,9.7,,0.7,0,7.6,7.6
90,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330602,越城区,绍兴市,150,2.61,3.39,6,4.2172,55.2336,31.4713,90.9221,,21.1043,0.3166,21.4209,,,14.06,14.06,7.36,2.59,,9.95,,0,,,2.4,0.6,7,7.6
91,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.6,0.3,0.9,0.3922,1.6623,3.0363,5.0908,,1.2951,1.412,2.7071,,,0.25,0.25,0.16,0.09,,0.25,0.02,0,,,0.01,0,0.5,0.5
92,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,78.93,14.47,93.4,32.8476,948.508,873.4383,1854.7939,30.3255,570.6733,227.5089,828.5077,0,106.5,10.43,10.43,9.57,0.86,,10.43,10.5,0,2.4,,1.08,0.0011,12,12.0011
93,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,13.21,4.09,17.3,9.108,20.3967,11.9706,41.4753,,6.4523,3.2825,9.7348,,,3.64,3.64,2.35,1.29,,3.64,1.1,1.1,10.2,,0.01,,3,3
94,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,10.78,4.72,15.5,7.4291,93.0241,128.9969,229.4501,3.7235,188.4389,6.2788,198.4412,0,4.5,6.23,6.23,3.48,0.93,,4.41,3.5,0.14,0.2,,0.2,,5,5
95,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,6.4,10,16.4,20.0085,155.8187,49.497,225.3242,,48.3234,9.2432,57.5666,,,10.21,10.21,4.87,2.35,,7.22,5.7,0.16,0.58,,0.5,,11,11
96,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,586.7,37.88,10.02,47.9,28.8952,398.8636,359.2282,786.987,10.5656,276.3985,6.7209,293.685,0,17.6,13.16,13.16,7.14,2.17,,9.31,13.6,0.18,1.82,,0.2,0.0424,5.7,5.7424
97,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,26.05,14.75,40.8,25.2298,290.628,248.8962,564.754,1.6755,175.4851,81.819,258.9796,0,4.2,25.47,25.47,12.53,8.07,,20.6,4.4,1.11,1.3,,0.19,0.1037,12.5,12.6037
98,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,,,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0
99,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330624,新昌县,绍兴市,4.4,,,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0
100,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330681,诸暨市,绍兴市,11.5,,,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0
101,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330681,诸暨市,绍兴市,114.4,1.53,0.74,2.27,1.3742,2.9975,3.9089,8.2806,,,,0,,,1.31,1.31,0.79,0.22,,1.01,0.7,,,,,,,0
102,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330681,诸暨市,绍兴市,2185.1,76,43.63,119.63,56.1675,806.2845,788.1093,1650.5613,1.3941,350.3453,323.9339,675.6733,0,8.4,47.31,47.31,32.69,6.72,,39.41,21.9,1.3,22.1,,3.4,0.3614,42.7,43.0614
103,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330683,嵊州市,绍兴市,1779.2,40.64,28.36,69,44.5183,330.5243,336.0331,711.0757,3.7156,147.7606,137.5611,289.0373,0,11.95,35.73,35.73,26.73,9,,35.73,15.1,1.28,7.6,,0.23,0.1323,77.9,78.0323
104,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330683,嵊州市,绍兴市,9.8,,,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0
