序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
173,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,0.8164,0.6497,0.0865,0,0,0,1.5526,0.0002,0,0,0.0002,0.025,0,0,0.025,1.5778,0,1.5778,0,,,,,,0
174,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.0537,0.0092,0.0047,0,0,0,0.0676,0,0,0,0,0,0,0,0,0.0676,0,0.0676,0,,,,,,0
175,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,0.1511,0.252,0.009,0,0,0,0.4121,0,0,0,0,0,0,0,0,0.4121,0,0.4121,0,,,,,,0
176,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,0.1876,0.3018,0.0038,0,0,0,0.4932,0,0,0,0,0.0298,0,0,0.0298,0.523,0,0.523,0,,,,,,0
177,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
178,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,0.0894,0.0289,0.0003,0,0,0,0.1186,0,0,0,0,0,0,0,0,0.1186,0,0.1186,0,,,,,,0
179,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
180,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,0.1439,0.12,0.0407,0,0,0,0.3046,0,0,0,0,0,0,0,0,0.3046,0,0.3046,0,,,,,,0
181,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,0.335,0.1795,0.1095,0,0,0,0.624,0,0,0,0,0.0095,0,0,0.0095,0.6335,0,0.6335,0,,,,,,0
182,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0.0388,0.0157,0.005,0,0,0,0.0595,0,0,0,0,0,0,0,0,0.0595,0,0.0595,0,,,,,,0
183,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331122,缙云县,丽水市,82.5,0.0098,0.0062,0.0031,0,0,0,0.0191,0,0,0,0,0,0,0,0,0.0191,0,0.0191,0,,,,,,0
184,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331123,遂昌县,丽水市,1822,0.1911,0.1956,0.0058,0,0,0,0.3925,0,0,0,0,0,0,0,0,0.3925,0,0.3925,0,,,,,,0
185,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331123,遂昌县,丽水市,27.5,0.0006,0.0002,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0.0008,0,0.0008,0,,,,,,0
186,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331123,遂昌县,丽水市,689.5,0.2381,0.0893,0.0276,0,0,0,0.355,0,0,0,0,0.0153,0,0,0.0153,0.3703,0,0.3703,0,,,,,,0
187,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331124,松阳县,丽水市,1406,0.2488,0.3135,0.0344,0,0,0,0.5967,0.0003,0,0,0.0003,0.0092,0,0,0.0092,0.6062,0,0.6062,0,,,,,,0
188,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331125,云和县,丽水市,819.7,0.3533,0.0295,0.0005,0,0,0,0.3833,0,0,0,0,0.0123,0,0,0.0123,0.3956,0,0.3956,0,,,,,,0
189,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331125,云和县,丽水市,164.3,0.0462,0.0037,0,0,0,0,0.0499,0,0,0,0,0,0,0,0,0.0499,0,0.0499,0,,,,,,0
190,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331126,庆元县,丽水市,64,0.0093,0.0471,0,0,0,0,0.0564,0,0,0,0,0,0,0,0,0.0564,0,0.0564,0,,,,,,0
191,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331126,庆元县,丽水市,546.7,0.0454,0.0846,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0.13,0,0.13,0,,,,,,0
192,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,331126,庆元县,丽水市,247.3,0.0216,0.0481,0,0,0,0,0.0697,0,0,0,0,0,0,0,0,0.0697,0,0.0697,0,,,,,,0
193,东南诸河,闽江,闽江上游,闽江上游,G050100,331126,庆元县,丽水市,1040,0.0666,0.1923,0.0043,0,0,0,0.2632,0.0031,0,0,0.0031,0.015,0,0,0.015,0.2813,0,0.2813,0,,,,,,0
194,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331127,景宁畲族自治县,丽水市,1682.6,0.1435,0.2029,0,0,0,0,0.3464,0,0,0,0,0.0122,0,0,0.0122,0.3586,0,0.3586,0,,,,,,0
195,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331127,景宁畲族自治县,丽水市,266.4,0.0082,0.022,0,0,0,0,0.0302,0,0,0,0,0,0,0,0,0.0302,0,0.0302,0,,,,,,0
196,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331181,龙泉市,丽水市,316.1,0.0386,0.0305,0.0049,0,0,0,0.074,0,0,0,0,0,0,0,0,0.074,0,0.074,0,,,,,,0
197,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331181,龙泉市,丽水市,2438.8,0.3392,0.2572,0.0451,0,0,0,0.6415,0.0004,0,0,0.0004,0.0189,0,0,0.0189,0.6608,0,0.6608,0,,,,,,0
198,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331181,龙泉市,丽水市,216.3,0.0475,0.0386,0.0065,0,0,0,0.0926,0,0,0,0,0,0,0,0,0.0926,0,0.0926,0,,,,,,0
199,东南诸河,闽江,闽江上游,闽江上游,G050100,331181,龙泉市,丽水市,87.8,0.0445,0.0298,0.0056,0,0,0,0.0799,0,0,0,0,0,0,0,0,0.0799,0,0.0799,0,,,,,,0
,,,,,,,,丽水市,,68.79750000000004,26.4401,55.322800000000036,13.122699999999998,0,0,163.6831000000002,0.13289999999999996,0.0001,0,0.13299999999999998,3.9181999999999992,0.08020000000000001,1.7878,5.7862,169.60229999999999,43.74779999999999,213.35010000000005,315.4368,2.9856999999999996,6.591400000000001,14.903400000000003,15.472600000000002,3.794700000000001,43.74779999999999
,,,,,,,,丽水市,1392,1.9976,0.3066,0.0278,0,0,0,2.332,0.0056,0,0,0.0056,0.0047,0.0006,0,0.0053,2.3429,0,2.3429,,,,,,,
,,,,,,,,丽水市,,1.0366,0.08789999999999999,0.061,0,0,0,1.1855,0.001,0,0,0.001,0.0101,0,0,0.0101,1.1966,0.2446,1.4412,0,0,0,0,0,0.2446,0.2446
