序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
173,丽水市,莲都区,瓯江温溪以上,大溪,6,1374.8,45.18,11.68,56.86,21.0533,167.7774,325.9509,514.7816,0.7,126.7407,0,127.4407,0,2.5,18.76,17.58,14.54,2.07,0,16.61,4.26,0,4.12,0,0.42,0.14,39.69,39.83,0.8164,0.6497,0.0865,0,,0,1.5526,0.0002,0,0,0.0002,0.025,0,0,0.025,1.5778,0,0.5846,0.0275,0,0.6121,0,0,0.0221,0,0.0176,0.0005,0.0174,0.0576,0,0,0.007,0.1947,0,0.2017,0.0002,0.063,0.23,0.293,0,0.2821,0.0716,0.3537,0,0.0457,0.014,0.0597,0,1.5778,0.0002,0,1.5778
174,丽水市,莲都区,瓯江温溪以上,小溪及瓯江青田段,6,127.2,0.02,0.92,0.94,1.0902,2.58,0.01,3.6802,1.04,1.7593,0,2.7993,0,7,1.03,0.98,0.85,0.08,0,0.93,0.24,0,0.2,0,0.02,0.03,1.48,1.51,0.0537,0.0092,0.0047,0,,0,0.0676,0,0,0,0,0,0,0,0,0.0676,0,0.0301,0.0012,0,0.0313,0,0,0.0008,0,0.0009,0.0001,0.0006,0.0024,0,0,0.0251,0.0031,0,0.0282,0,0,0,0,0,0.0001,0.0044,0.0045,0,0,0.0012,0.0012,0,0.0676,0,0,0.0676
175,丽水市,青田县,瓯江温溪以上,大溪,6,1138.1,7.21,12,19.21,4.6609,45.038,70.2498,119.9487,0.39,35.2715,0,35.6615,0,1.2,11.19,10.55,4.57,1.3,0,5.87,2.8,0,0.54,0,0.01,0.18,10.88,11.06,0.1511,0.252,0.009,0,,0,0.4121,0,0,0,0,0,0,0,0,0.4121,0,0.216,0.0253,0,0.2413,0,0,0.0029,0,0.0005,0.0006,0.0052,0.0092,0,0,0.0023,0.0667,0,0.069,0,0.0057,0.0221,0.0278,0,0.0264,0.0384,0.0648,0,0,0,0,0,0.4121,0,0,0.4121
176,丽水市,青田县,瓯江温溪以上,小溪及瓯江青田段,6,1314.6,15.25,11.06,26.31,5.621,58.5375,78.7398,142.8983,0,40.3174,0,40.3174,0,0,12.89,11.51,5.03,1.44,0,6.47,2.48,0,0.44,0,0.02,0.15,10.66,10.81,0.1876,0.3018,0.0038,0,,0,0.4932,0,0,0,0,0.0298,0,0,0.0298,0.523,0,0.2547,0.0249,0,0.2796,0,0,0.0024,0,0.001,0.0005,0.0042,0.0081,0,0,0.0023,0.0685,0,0.0685,0,0.0088,0.0512,0.06,0,0.0574,0.0369,0.0943,0,0.0125,0,0.0125,0,0.523,0,0,0.523
177,丽水市,青田县,瓯江温溪以下,楠溪江,6,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,丽水市,青田县,瓯江温溪以下,瓯江下游干流,6,22.6,6.18,0,6.18,1.1002,10.8695,25.3699,37.3396,0,18.9511,0,18.9511,0,0,1.83,1.07,0.51,0.15,0,0.66,0.12,0,0.28,0,0,0.02,0.45,0.47,0.0894,0.0289,0.0003,0,,0,0.1186,0,0,0,0,0,0,0,0,0.1186,0,0.025,0.0024,0,0.0274,0,0,0.0015,0,0,0.0001,0.0002,0.0018,0,0,0.0023,0.0359,0,0.0359,0,0.0038,0.0232,0.027,0,0.0265,0,0.0265,0,0,0,0,0,0.1186,0,0,0.1186
179,丽水市,青田县,瓯江温溪以下,飞云江,6,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,丽水市,缙云县,富春江坝址以上,金华江下游,6,298.7,8.3986,5.3277,13.7263,3.294,47.504,24.69,75.488,0,39.723,0,39.723,0,0,7.9294,6.4866,3.26,1.094,0,4.354,1.21,0.07,0.278,0,0.12,0.0411,5.7041,5.7452,0.1439,0.12,0.0407,0,,0,0.3046,0,0,0,0,0,0,0,0,0.3046,0,0.1528,0.016,0,0.1688,0,0.0003,0.0017,0,0.0051,0.0001,0.0023,0.0095,0,0,0.0023,0.0369,0,0.0369,0,0.0022,0.0195,0.0217,0,0.0397,0.0211,0.0608,0,0.0063,0.0006,0.0069,0,0.3046,0,0,0.3046
181,丽水市,缙云县,瓯江温溪以上,大溪,6,981.9,16.2414,7.342,23.5834,7.997,90.491,124.181,222.669,0.0417,76.7813,0,76.823,0,1.2,15.1924,14.3769,7.23,2.42,0,9.65,3.05,0.08,0.307,0,0.2,0.0411,7.8006,7.8417,0.335,0.1795,0.1095,0,,0,0.624,0,0,0,0,0.0095,0,0,0.0095,0.6335,0,0.3628,0.0375,0,0.4003,0,0.0003,0.0017,0,0.009,0.0001,0.003,0.0141,0,0,0.0023,0.073,0,0.0752,0,0.0043,0.0229,0.0272,0,0.0769,0.0296,0.1065,0,0.0093,0.0009,0.0102,0,0.6335,0,0,0.6335
182,丽水市,缙云县,瓯江温溪以下,永安溪,6,130.9,0,2.7424,2.7424,1.216,8.794,6.649,16.659,0,1.395,0,1.395,0,0,1.8623,1.315,0.83,0,0,0.83,0.51,0,0,0,0,0.0411,2.7563,2.7974,0.0388,0.0157,0.005,0,,0,0.0595,0,0,0,0,0,0,0,0,0.0595,0,0.0448,0,0,0.0448,0,0,0,0,0,0.0001,0.0013,0.0014,0,0,0.0023,0.0013,0,0.0013,0,0,0,0,0,0,0.011,0.011,0,0,0.001,0.001,0,0.0595,0,0,0.0595
183,丽水市,缙云县,瓯江温溪以下,楠溪江,6,82.5,0,0.7479,0.7479,0.546,1.036,3.336,4.918,0,0.078,0,0.078,0,0,0.6959,0.5615,0.28,0,0,0.28,0.15,0,0,0,0,0,0.9684,0.9684,0.0098,0.0062,0.0031,0,,0,0.0191,0,0,0,0,0,0,0,0,0.0191,0,0.0147,0,0,0.0147,0,0,0,0,0,0,0.0003,0.0003,0,0,0.0023,0.0001,0,0.0001,0,0,0,0,0,0,0.0031,0.0031,0,0,0.0009,0.0009,0,0.0191,0,0,0.0191
