序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
1,杭州市,上城区,杭嘉湖平原,杭嘉湖平原,1,123.3,139,0,139,0,621.95,2046.53,2668.48,0,443.62,51.19,494.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749,1.5584,钱塘江,0,1.6333,0,0.0001,0,0.0001,0,0.0073,0,0.0073,1.6407,8.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459,0.0459,0.0001,0.087,0.6153,0.7023,0,0.7915,0,0.7915,0,0.101,0,0.101,0,1.6407,0.0001,8.0073,9.648
2,杭州市,拱墅区,杭嘉湖平原,杭嘉湖平原,1,119,118.8,0,118.8,0,193.4,1898.08,2091.48,7.68,102.41,14.9,124.99,0,241.5,0.08,0.04,0.04,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.1139,1.2757,钱塘江,0,1.3896,0,0,0,0,0,0.006,0,0.006,1.3956,0,0.0019,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0.0438,0,0.0539,0.0977,0,0.0905,0.4335,0.524,0,0.6992,0,0.6992,0,0.0728,0,0.0728,0,1.3956,0,0,1.3956
3,杭州市,西湖区,杭嘉湖平原,杭嘉湖平原,1,115.9,95.7,0.8,96.5,3.51,100.61,1381.07,1485.19,0,66.13,1.66,67.79,0,0,0.7,0.7,0.7,0,0,0.7,0.06,0,0,0,0.06,0,0,0,0,0,0.0026,1.2245,钱塘江,0,1.2271,0,0,0,0,0,0,0,0,1.2271,0,0.0275,0,0,0.0275,0,0,0,0,0.0165,0,0,0.0165,0,0,0,0.0338,0,0.0338,0,0.0377,0.48,0.5177,0,0.5583,0.0044,0.5627,0,0.0689,0,0.0689,0,1.2271,0,0,1.2271
4,杭州市,西湖区,富春江坝址以下,富春江下游段,1,147.1,20.8,2.2,23,1.61,44.02,604.54,650.17,0,35.59,1.27,36.86,0,0,2.49,2.49,2.49,0,0,2.49,0.26,1.83,0.52,0,0.21,0,0,0,0,0.1723,0.3517,0,,0,0.524,0,0,0,0,0,0,0,0,0.524,3.1999,0.0921,0,0,0.0921,0,0.0128,0.0016,0,0.0659,0,0,0.0803,0,0,0,0.0174,0,0.0174,0,0.052,0.0717,0.1237,0,0.1226,0.0119,0.1345,0,0.076,0,0.076,0,0.524,0,3.1999,3.7239
5,杭州市,滨江区,富春江坝址以下,萧绍平原,2,73,54.3,0,54.3,0.55,923.95,1543.42,2467.92,0,825.98,80.93,906.91,0,0,0.36,0.36,0.2,0,0,0.2,0,0.02,0,0,0,0,0,0,0,0.0108,0.7522,0,,0,0.763,0,0,0,0,0,0.0028,0,0.0068,0.7698,1.884,0.0108,0,0,0.0108,0,0.0001,0,0,0,0,0,0.0001,0,0,0,0.0855,0,0.0855,0,0.1099,0.2138,0.3237,0,0.298,0,0.298,0,0.0517,0,0.0517,0,0.7698,0,1.884,2.6538
6,杭州市,萧山区,富春江坝址以下,富春江下游段,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.32,0,0,0.32,0,0,0,0,0.06,0,0,0,0,0,0.0223,0,,0,0.0223,0,0,0,0,0,0,0,0,0.0223,0,0.0152,0,0,0.0152,0,0,0,0,0.0054,0,0,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.0004,0.0017,0,0.0223,0,0,0.0223
7,杭州市,萧山区,富春江坝址以下,浦阳江,2,363.4,23.9,14.4,38.3,13.01,258.46,64.66,336.13,2.36,197.15,15.4,214.91,0,144.6,12.5,12.5,12.5,0,0,12.5,2.4,0.91,3.48,0,2.21,0.17,53.71,53.88,0,0.4423,1.3804,0,,0,1.8227,0,0,0,0,0,0,0,0,1.8227,0.208,0.6096,0,0,0.6096,0,0.0039,0.0193,0,0.2212,0.0005,0.0143,0.2592,0,0,0.0358,0.4773,0.0693,0.5824,0,0.0298,0.0737,0.1035,0,0.1307,0.0775,0.2082,0,0.0466,0.0132,0.0598,0,1.8227,0,0.208,2.0307
8,杭州市,萧山区,富春江坝址以下,萧绍平原,2,363.6,150.1,25.6,175.7,44.05,565.49,1285.02,1894.56,21.44,370.41,123.5,515.35,0,14.2,12.11,12.11,12.11,0,0,12.11,4.65,0.91,3.48,0,2.21,0.25,53.81,54.06,0,1.0321,2.0375,0,,0,3.0696,0,0,0,0,0.0263,0,0,0.0263,3.0959,8.8282,0.6181,0,0,0.6181,0,0.0039,0.0197,0,0.2214,0.0007,0.0146,0.2603,0,0,0.0369,0.4892,0.0736,0.5997,0,0.1572,0.4278,0.585,0,0.8336,0.1384,0.972,0,0.0471,0.0137,0.0608,0,3.0959,0,8.8282,11.9241
9,杭州市,余杭区,湖西及湖区,西苕溪及长兴平原,1,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,杭州市,余杭区,湖西及湖区,东苕溪,1,555.3,54.3,13.4,67.7,10.78,84.62,662.27,757.67,0.25,51.47,12.28,64,0,80,7.75,7.75,7.75,0,0,7.75,2.9,0,2.29,0,0.62,0.03,46.3,46.33,0.1192,0.1743,0.7326,0.6217,钱塘江,0,1.6478,0,0,0,0,0,0,0,0,1.6478,0,0.6145,0,0,0.6145,0,0,0.0109,0,0.0558,0.0001,0.0169,0.0837,0,0,0.0204,0.0423,0,0.0627,0,0.0307,0.4209,0.4516,0,0.3019,0.0726,0.3745,0,0.0198,0.041,0.0608,0,1.6478,0,0,1.6478
