序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
1,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,123.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0.0459,0.0459,0.0001,0.087,0.6153,0.7023,0,0.7915,0,0.7915,0,0.101,0,0.101,0,1.6407,0.0001,8.0073,9.648,0,0
2,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,119,0.0019,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0.0438,0,0.0539,0.0977,0,0.0905,0.4335,0.524,0,0.6992,0,0.6992,0,0.0728,0,0.0728,0,1.3956,0,,1.3956,0,0
3,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330106,西湖区,杭州市,115.9,0.0275,0,0,0.0275,0,0,0,0,0.0165,0,0,0.0165,0,,,0.0338,0,0.0338,0,0.0377,0.48,0.5177,0,0.5583,0.0044,0.5627,0,0.0689,0,0.0689,0,1.2271,0,,1.2271,0,0
4,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330106,西湖区,杭州市,147.1,0.0921,0,0,0.0921,0,0.0128,0.0016,0,0.0659,0,0,0.0803,0,,,0.0174,0,0.0174,0,0.052,0.0717,0.1237,0,0.1226,0.0119,0.1345,0,0.076,0,0.076,0,0.524,0,3.1999,3.7239,0,0
5,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,0.0108,0,0,0.0108,0,0.0001,0,0,0,0,0,0.0001,0,,,0.0855,0,0.0855,0,0.1099,0.2138,0.3237,0,0.298,0,0.298,0,0.0517,0,0.0517,0,0.7698,0,1.884,2.6538,0,0
6,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,0.0152,0,0,0.0152,0,0,0,0,0.0054,0,0,0.0054,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.0004,0.0017,0,0.0223,0,,0.0223,0,0
7,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,0.6096,0,0,0.6096,0,0.0039,0.0193,0,0.2212,0.0005,0.0143,0.2592,0,0,0.0358,0.4773,0.0693,0.5824,0,0.0298,0.0737,0.1035,0,0.1307,0.0775,0.2082,0,0.0466,0.0132,0.0598,0,1.8227,0,0.208,2.0307,0,0
8,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,0.6181,0,0,0.6181,0,0.0039,0.0197,0,0.2214,0.0007,0.0146,0.2603,0,0,0.0369,0.4892,0.0736,0.5997,0,0.1572,0.4278,0.585,0,0.8336,0.1384,0.972,0,0.0471,0.0137,0.0608,0,3.0959,0,8.8282,11.9241,0,0
9,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
10,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,0.6145,0,0,0.6145,0,0,0.0109,0,0.0558,0.0001,0.0169,0.0837,0,0,0.0204,0.0423,0,0.0627,0,0.0307,0.4209,0.4516,0,0.3019,0.0726,0.3745,0,0.0198,0.041,0.0608,0,1.6478,0,,1.6478,0,0
11,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330110,余杭区,杭州市,367.2,0.4293,0,0,0.4293,0,0.0615,0.0057,0,0.1406,0,0,0.2078,0,,,0.1276,0,0.1276,0,0.0938,0.3856,0.4794,0,0.2824,0.1236,0.406,0,0.0213,0.035,0.0563,0,1.7064,0,,1.7064,0,0
12,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330111,富阳区,杭州市,1760.1,1.2095,0,0,1.2095,0,0.0068,0.034,0,0.3227,0.0019,0.0165,0.3819,0,,,0.267,0.1213,0.3883,0.0003,0.0753,0.2874,0.3627,0,0.3372,0.1183,0.4555,0,0.067,0.0394,0.1064,0,2.9043,0.0003,1.1024,4.0067,0,0
13,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330111,富阳区,杭州市,47.9,0.013,0,0,0.013,0,0,0,0,0,0,0,0,0,,,0,0.0136,0.0136,0,0,0.002,0.002,0,0.0009,0.0067,0.0076,0,0,0,0,0,0.0362,0,,0.0362,0,0
14,长江,太湖水系,湖西及湖区,东苕溪,F120120,330112,临安区,杭州市,845,0.4316,0,0,0.4316,0,0.0016,0.0102,0,0.007,0,0.0021,0.0209,0,0,0.011,0.086,0.0064,0.1034,0.0006,0.0656,0.2331,0.2987,0,0.1772,0.0626,0.2398,0,0.0455,0.0177,0.0632,0,1.1576,0.0006,,1.1576,0,0
15,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330112,临安区,杭州市,2279,0.5789,0,0,0.5789,0,0.0025,0.0122,0,0.0089,0.0007,0.005,0.0293,0,,,0.0176,0.0046,0.0222,0,0.0143,0.0741,0.0884,0,0.0542,0.08,0.1342,0,0.0271,0.0088,0.0359,0,0.8889,0,,0.8889,0,0
16,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330113,临平区,杭州市,286,0.2477,0,0,0.2477,0,0.0018,0.0055,0,0.1392,0,0.0005,0.147,0,0,0.001,0.2681,0.0385,0.3076,0,0.0607,0.3981,0.4588,0,0.6342,0.0726,0.7068,0,0.1105,0.0215,0.132,0,1.9999,0,3.624,5.6239,0,0
17,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330122,桐庐县,杭州市,146.5,0.0029,0,0,0.0029,0,0.0003,0.0023,0,0.0021,0.0001,0.0002,0.005,0,,,0,0,0,0,0.0015,0.0042,0.0057,0,0,0.0017,0.0017,0,0.0021,0.0003,0.0024,0,0.0177,0,,0.0177,0,0
18,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330122,桐庐县,杭州市,1633.5,0.7169,0,0,0.7169,0,0.0064,0.0463,0,0.1279,0.0004,0.0066,0.1876,0,0,0.0013,0.145,0.0686,0.2149,0.0012,0.0446,0.1419,0.1865,0.0015,0.1966,0.0753,0.2719,0.0036,0.044,0.0027,0.0467,0,1.6245,0.0063,,1.6245,0,0
19,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330127,淳安县,杭州市,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0.0009,0.0009,0,0,0,0,0,0.0009,0,,0.0009,0,0
20,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330127,淳安县,杭州市,4369.3,0.4486,0,0,0.4486,0,0.0001,0.0036,0,0.0365,0.0001,0.0028,0.0431,0,0,0.0023,0.0801,0.0244,0.1068,0,0.0157,0.6489,0.6646,0,0.0967,0.0859,0.1826,0,0.0182,0.003,0.0212,0,1.4669,0,,1.4669,0,0
21,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330127,淳安县,杭州市,66.3,0.018,0,0,0.018,0,0,0.0001,0,0,0,0,0.0001,0,,,0,0,0,0,0,0,0,0,0,0.0027,0.0027,0,0,0,0,0,0.0208,0,,0.0208,0,0
22,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330155,钱塘区,杭州市,104.7,0,0,0,0,0,0,0,0,0.0037,0,0,0.0037,0,0,0.019,0.1424,0.215,0.3764,0,0.0107,0.1678,0.1785,0,0.3009,0,0.3009,0,0.0431,0,0.0431,0,0.9026,0,1.1009,2.0035,0,0
23,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330155,钱塘区,杭州市,427,0.8929,0,0,0.8929,0,0,0.0076,0,0.0989,0.0005,0.0025,0.1095,0,0,0.147,0.4906,0.1749,0.8125,0,0.0434,0.0718,0.1152,0,0.1247,0.0529,0.1776,0,0.0398,0.0131,0.0529,0,2.1606,0,,2.1606,0,0
24,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330182,建德市,杭州市,78.3,0.0521,0,0,0.0521,0,0.0003,0.0006,0,0.002,0,0.001,0.0039,0,,,0.0108,0,0.0108,0,0.0005,0.0078,0.0083,0,0.004,0.0031,0.0071,0,0.0005,0,0.0005,0,0.0827,0,,0.0827,0,0
25,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330182,建德市,杭州市,1326.1,0.7167,0,0,0.7167,0,0.0032,0.0165,0,0.0463,0.0009,0.0177,0.0846,0,0,0.0156,0.2808,0,0.2964,0.0166,0.0262,0.1993,0.2255,0,0.1056,0.0785,0.1841,0,0.0361,0,0.0361,0,1.5434,0.0166,,1.5434,0,0
26,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330182,建德市,杭州市,871.1,0.1893,0,0,0.1893,0,0.0017,0.0053,0,0.0294,0.0001,0.0064,0.0429,0,,,0.0694,0,0.0694,0,0.0132,0.0459,0.0591,0,0.0243,0.018,0.0423,0,0.004,0,0.004,0,0.407,0,,0.407,0,0
27,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330182,建德市,杭州市,88.5,0.0189,0,0,0.0189,0,0.0002,0.0005,0,0.0043,0,0.0009,0.0059,0,,,0.0057,0,0.0057,0,0.0003,0.0037,0.004,0,0.002,0.0015,0.0035,0,0.0003,0,0.0003,0,0.0383,0,,0.0383,0,0
