序号,所属流域_z,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
1,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,123.3,139,0,139,0,621.95,2046.53,2668.48,0,443.62,51.19,494.81,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,119,118.8,0,118.8,0,193.4,1898.08,2091.48,7.68,102.41,14.9,124.99,0,241.5,0.08,0.04,0.04,0,0,0.04,0,0,0,0,0,0,0,0
3,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330106,西湖区,杭州市,115.9,95.7,0.8,96.5,3.51,100.61,1381.07,1485.19,0,66.13,1.66,67.79,0,,0.7,0.7,0.7,0,0,0.7,0.06,0,0,0,0.06,0,0,0
4,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330106,西湖区,杭州市,147.1,20.8,2.2,23,1.61,44.02,604.54,650.17,0,35.59,1.27,36.86,0,,2.49,2.49,2.49,0,0,2.49,0.26,1.83,0.52,0,0.21,0,0,0
5,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,54.3,0,54.3,0.55,923.95,1543.42,2467.92,0,825.98,80.93,906.91,0,,0.36,0.36,0.2,0,0,0.2,0,0.02,0,0,0,0,0,0
6,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,0,0,0,0,0,0,0,0,0,0,0,0,,0.32,0.32,0.32,0,0,0.32,0,0,0,0,0.06,0,0,0
7,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,23.9,14.4,38.3,13.01,258.46,64.66,336.13,2.36,197.15,15.4,214.91,0,144.6,12.5,12.5,12.5,0,0,12.5,2.4,0.91,3.48,0,2.21,0.17,53.71,53.88
8,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,150.1,25.6,175.7,44.05,565.49,1285.02,1894.56,21.44,370.41,123.5,515.35,0,14.2,12.11,12.11,12.11,0,0,12.11,4.65,0.91,3.48,0,2.21,0.25,53.81,54.06
9,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,54.3,13.4,67.7,10.78,84.62,662.27,757.67,0.25,51.47,12.28,64,0,80,7.75,7.75,7.75,0,0,7.75,2.9,0,2.29,0,0.62,0.03,46.3,46.33
11,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330110,余杭区,杭州市,367.2,50.5,22.3,72.8,30.87,243.35,1904.54,2178.76,0,180.19,37.25,217.44,0,,11.62,11.62,11.62,0,0,11.62,7.15,6.12,1.18,0,1.56,0,0,0
12,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330111,富阳区,杭州市,1760.1,61.9,22.4,84.3,53.05,403.12,499.56,955.73,0,278.68,67.37,346.05,0,,24.41,24.27,24.27,0,0,24.27,9.89,1.28,13.45,0,2.48,0.66,24.58,25.24
13,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330111,富阳区,杭州市,47.9,0.15,1.25,1.4,0.32,2.17,2.66,5.15,0,0,0.91,0.91,0,,0.59,0.59,0.59,0,0,0.59,0.12,0,0,0,0,0,0,0
14,长江,太湖水系,湖西及湖区,东苕溪,F120120,330112,临安区,杭州市,845,30.6,10.9,41.5,26.31,189.26,167.55,383.12,1.11,220.14,16.33,237.58,0,3.7,8.21,8.21,8.21,0,0,8.21,1.54,0.48,4.06,0,0.07,0,5.17,5.17
15,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330112,临安区,杭州市,2279,9.1,14.6,23.7,20.87,149.85,132.61,303.33,0,34.8,27.88,62.68,0,0,10.95,10.95,10.95,0,0,10.95,3.09,0.75,4.84,0,0.09,0.29,13.57,13.86
16,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330113,临平区,杭州市,286,100.5,12.2,112.7,16.8,557.27,493.2,1067.27,0.34,434.94,91.39,526.67,0,11.2,6.96,6.68,6.68,0,0,6.68,1.65,0.18,2,0,0.87,0,1.5,1.5
17,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330122,桐庐县,杭州市,146.5,0,0.3,0.3,0.34,2.29,2.34,4.97,0,0,0.27,0.27,0,,0.12,0.1,0.09,0,0,0.09,0.1,0.08,0.28,0,0.02,0.03,0.37,0.4
18,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330122,桐庐县,杭州市,1633.5,32.8,12.8,45.6,28.22,212.4,223.64,464.26,0,132.27,38.03,170.3,0,2.55,17.54,16.77,14.27,0,0,14.27,5.23,1.6,5.79,0,0.98,0.17,10.81,10.98
19,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330127,淳安县,杭州市,16.4,0,0.15,0.15,0.12,0.29,0.59,1,0,0,0,0,0,,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
20,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330127,淳安县,杭州市,4369.3,16.4,15.05,31.45,43.52,74.28,156.62,274.42,0.12,37.3,10.33,47.75,0,0.75,22.07,16.27,11.41,0,0,11.41,4.33,0.03,1.79,0,0,0.04,4.8,4.84
21,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330127,淳安县,杭州市,66.3,0,0.5,0.5,0.82,1.36,2.89,5.07,0,0,0,0,0,0,0.9,0.79,0.55,0,0,0.55,0.16,0,0.03,0,0,0,0,0
22,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330155,钱塘区,杭州市,104.7,49.9,0,49.9,0.33,524,334.89,859.22,1.7,465.1,37.91,504.71,0,5.7,0,0,0,0,0,0,0.64,0,0,0,0.04,0,0,0
23,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330155,钱塘区,杭州市,427,21.2,9.1,30.3,12.45,300.37,98.35,411.17,11.04,243.26,13.06,267.36,0,125.4446,21.75,21.75,17.86,0,0,17.86,3.95,0,0.95,0,0.99,0.17,4.53,4.7
24,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330182,建德市,杭州市,78.3,0.7,0.6,1.3,1.67,9.15,8.44,19.26,0,6.43,0.34,6.77,0,,1.39,1.31,1.28,0,0,1.28,0.38,0.04,0.23,0,0.02,0,2.31,2.31
25,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330182,建德市,杭州市,1326.1,18.7,15.7,34.4,28.31,152.82,140.68,321.81,7.74,99.51,17.31,124.56,0,1.35,20.77,20.37,16.2,0,0,16.2,5.13,0.4,6.92,0,0.48,0.31,40.5,40.81
26,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330182,建德市,杭州市,871.1,4.3,3.6,7.9,8.59,46.58,42.93,98.1,0,34.96,6.17,41.13,0,,5.9,5.8,4.27,0,0,4.27,1.4,0.22,1.85,0,0.29,0.03,14.65,14.68
27,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330182,建德市,杭州市,88.5,0.4,0.3,0.7,1.01,5.22,4.71,10.94,0,3.94,0.76,4.7,0,,0.84,0.78,0.43,0,0,0.43,0.15,0.03,0.23,0,0.04,0,1.93,1.93
