序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
78,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,0.134,0.0131,0.2035,0,0,0,0.3506,0,0,0,0,0,0,0,0,0.3506,0,0.3506,0,0,0,0,0,0,0
79,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,0.0642,0.0287,0.4016,0,0,0,0.4945,0,0,0,0,0,0,0,0,0.4945,0,0.4945,0,0,0,0,0,0,0
80,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,0.5967,0,1.0854,0,0,0,1.6821,0,0,0,0,0.0304,0,0,0.0304,1.7125,0.0318,1.7443,0,0,0,0.0318,0,0,0.0318
82,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,0,0,2.4529,,,,2.4529,0,0,0,0,0.0292,,,0.0292,2.4821,0,2.4821,0,0,0,0,0,0,0
83,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,0.5541,0.0421,0.1882,0,0,0,0.7844,0,0,0,0,0.0067,0,0,0.0067,0.7911,0,0.7911,0,0,0,0,0,0,0
84,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,0.2634,0,1.4712,0,0,0,1.7346,0,0,0,0,0.014,0,0,0.014,1.7486,0,1.7486,0,0,0,0,0,0,0
85,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,0.7564,0.1411,2.0355,0,0,0,2.933,0.0008,0,0,0.0008,0.231,0,0,0.231,3.1648,0,3.1648,0,0,0,0,0,0,0
86,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,1.1264,0.2647,0.5238,0,0,0,1.9149,0,0,0,0,0.0305,0,0,0.0305,1.9454,0,1.9454,0,0,0,0,0,0,0
88,长江,太湖水系,湖西及湖区,东苕溪,F120120,330523,安吉县,湖州市,70.6,0,0,0.0878,0,0,0,0.0878,0,0,0,0,0,0,0,0,0.0878,0,0.0878,0,0,0,0,0,0,0
