序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
132,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330800,衢州市,衢州市,0,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0
133,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330802,柯城区,衢州市,271.1,0.7235,0.1756,0.0328,,,,0.9319,,0,,0,0,0,0,0,0.9319,0,0.9319,0,,,,,,0
134,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330802,柯城区,衢州市,335.9,1.0433,0.2533,0.0473,,,,1.3439,,0,,0,0.1107,0,0,0.1107,1.4546,0,1.4546,0,,,,,,0
135,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330803,衢江区,衢州市,135.3,0.1598,0.0882,0.0183,,,,0.2663,0.0001,0,,0.0001,0,0,0,0,0.2664,0,0.2664,0,,,,,,0
136,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330803,衢江区,衢州市,1611.2,0.9854,0.5545,0.0896,,,,1.6295,0.0001,0,,0.0001,0.0387,0,0,0.0387,1.6683,0,1.6683,0,,,,,,0
137,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330803,衢江区,衢州市,1.5,0,0.0007,0.0002,,,,0.0009,,0,,0,0,0,0,0,0.0009,0,0.0009,0,,,,,,0
138,长江,鄱阳湖水系,信江,信江,F090600,330822,常山县,衢州市,71.3,0.1808,0.0261,0.0309,,,,0.2378,0,0,0,0,0,0,0,0,0.2378,0,0.2378,0,0,0,0,0,0,0
139,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330822,常山县,衢州市,1025.7,0.4833,0.2171,0.0464,,,,0.7468,0,0,0,0,0.0433,0,0,0.0433,0.7901,0,0.7901,0,0,0,0,0,0,0
140,长江,鄱阳湖水系,饶河,饶河,F090700,330824,开化县,衢州市,272,0.0611,0,0,,,,0.0611,,0,,0,0,0,0,0,0.0611,0,0.0611,0,,,,,,0
141,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330824,开化县,衢州市,1934.4,0.6521,0.2746,0.1754,,,,1.1021,0.0025,0,,0.0025,0.0142,0,0,0.0142,1.1188,0,1.1188,0,,,,,,0
142,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330824,开化县,衢州市,24.6,0.0015,0,0,,,,0.0015,,0,,0,0,0,0,0,0.0015,0,0.0015,0,,,,,,0
143,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330825,龙游县,衢州市,1141,1.1934,0.6944,0.1046,,,,1.9924,0,0,0,0,0.028,0,0,0.028,2.0204,0,2.0204,0,0,0,0,0,0,0
144,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330825,龙游县,衢州市,2,0,0,0,,,,0,,0,,0,0,0,0,0,0,0,0,0,,,,,,0
145,长江,鄱阳湖水系,信江,信江,F090600,330881,江山市,衢州市,214.2,0.0526,0.0024,0.002,,,,0.057,0,0,0,0,0,0,0,0,0.057,0,0.057,0,,,,,,0
146,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330881,江山市,衢州市,1756.9,1.1469,0.6177,0.3531,,,,2.1177,0.0006,0,0,0.0006,0.0312,0,0,0.0312,2.1495,0.0384,2.1879,0,,0.0384,,,,0.0384
147,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330881,江山市,衢州市,47.9,0.027,0.0133,0.0011,,,,0.0414,0,0,,0,0,0,0,0,0.0414,0,0.0414,0,,,,,,0
