水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,123.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0403,0,0.0403,0,0.078,0.6934,0.7714,0,0.7531,0,0.7531,0,0.0907,0,0.0907,0,1.6555,0,7.1495,8.805,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,119,0.0019,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0.0515,0.0615,0,0.113,0,0.0506,0.5484,0.599,0,0.6456,0,0.6456,0,0.0733,0,0.0733,0,1.4328,0,,1.4328,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330106,西湖区,杭州市,115.9,0.0249,0,0,0.0249,0,0,0,0,0.0156,0,0,0.0156,0,,,0.0339,0.0009,0.0348,0,0.0394,0.4927,0.5321,0,0.5566,0.003,0.5596,0,0.0763,0,0.0763,0,1.2433,0,,1.2433,0,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330106,西湖区,杭州市,147.1,0.0949,0,0,0.0949,0,0.0128,0.0005,0,0.0622,0,0,0.0755,0,,,0.0174,0.0006,0.018,0,0.0545,0.0736,0.1281,0,0.1222,0.013,0.1352,0,0.0876,0,0.0876,0,0.5393,0,2.511,3.0503,0,0
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,0.0027,0.0081,0,0.0108,0,0,0,0,0,0,0,0,0,,,0.0831,0,0.0831,0,0.1195,0.2347,0.3542,0,0.2966,0,0.2966,0,0.0528,0,0.0528,0,0.7975,0,1.6734,2.4709,0,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,0.0144,0.0008,0,0.0152,0,0,0,0,0.005,0,0,0.005,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0004,0.0016,0,0.0218,0,,0.0218,0,0
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,0.5796,0.0316,0,0.6112,0,0.0091,0.0103,0,0.2031,0,0.0147,0.2372,0,0,0.0427,0.4733,0.0674,0.5834,0,0.0361,0.092,0.1281,0,0.1378,0.0811,0.2189,0,0.0462,0.0135,0.0597,0,1.8385,0,0.0824,1.9209,0,0
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,0.5898,0.0299,0,0.6197,0,0.0091,0.0105,0,0.2032,0.0001,0.0151,0.238,0,0,0.0389,0.4864,0.076,0.6013,0,0.1896,0.4601,0.6497,0,0.8488,0.1422,0.991,0,0.0468,0.0142,0.061,0,3.1607,0,6.8541,10.0148,0,0
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,0.6161,0,0,0.6161,0,0,0.0108,0,0.0577,0.0001,0.0099,0.0785,0,0,0.023,0.0434,0,0.0664,0,0.0319,0.3826,0.4145,0,0.3006,0.0705,0.3711,0,0.0203,0.0421,0.0624,0,1.609,0,,1.609,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330110,余杭区,杭州市,367.2,0.4304,0,0,0.4304,0,0.0638,0.0056,0,0.1454,0,0,0.2148,0,,,0.1307,0,0.1307,0,0.0976,0.3505,0.4481,0,0.2811,0.12,0.4011,0,0.0219,0.036,0.0579,0,1.683,0,,1.683,0,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330111,富阳区,杭州市,1760.1,1.213,0,0,1.213,0,0.0101,0.029,0,0.3077,0.0016,0.0171,0.3655,0,,,0.2477,0.1109,0.3586,0.0006,0.1432,0.1624,0.3056,0,0.3296,0.1179,0.4475,0,0.0704,0.045,0.1154,0,2.8056,0.0006,0.9294,3.735,0,0
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330111,富阳区,杭州市,47.9,0.013,0,0,0.013,0,0,0,0,0,0,0,0,0,,,0,0.0127,0.0127,0,0,0.0022,0.0022,0,0.0011,0.0046,0.0057,0,0,0,0,0,0.0336,0,,0.0336,0,0
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330112,临安区,杭州市,845,0.3632,0,0,0.3632,0,0.0034,0.008,0,0.0074,0,0.0021,0.0209,0,0,0.0096,0.0928,0.0092,0.1116,0.0004,0.0562,0.1956,0.2518,0,0.1721,0.0573,0.2294,0,0.045,0.0175,0.0625,0,1.0394,0.0004,,1.0394,0,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330112,临安区,杭州市,2279,0.6483,0,0,0.6483,0,0.0052,0.0095,0,0.0095,0.0007,0.005,0.0299,0,,,0.0122,0.0232,0.0354,0,0.0069,0.0617,0.0686,0.0001,0.0571,0.0783,0.1354,0,0.0242,0.0079,0.0321,0,0.9497,0.0001,,0.9497,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330113,临平区,杭州市,286,0.2407,0.0076,0,0.2483,0,0.0017,0.0049,0,0.1305,0,0.0028,0.1399,0,0,0.0022,0.2636,0.0378,0.3036,0,0.0485,0.385,0.4335,0,0.6292,0.0698,0.699,0,0.1074,0.0209,0.1283,0,1.9526,0,4.3374,6.29,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330114,钱塘区,杭州市,104.7,0,0,0,0,0,0,0,0,0.0038,0,0,0.0038,0,,0.0211,0.1437,0.2179,0.3827,0,0.0104,0.1899,0.2003,0,0.2907,0,0.2907,0,0.052,0,0.052,0,0.9295,0,1.0284,1.9579,0,0
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330114,钱塘区,杭州市,427,0.877,0,0.0186,0.8956,,0,0.0007,0,0.101,0.0005,0.0033,0.1055,0,,0.1789,0.5034,0.1807,0.863,0,0.042,0.1463,0.1883,0,0.1205,0.0511,0.1716,0,0.048,0.0158,0.0638,0,2.2878,0,,2.2878,0,0
 ,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330122,桐庐县,杭州市,146.5,0.0016,0.0007,0.0007,0.003,0,0.0006,0.0022,0,0.0017,0.0001,0.0002,0.0048,0,,,0,0,0,0,0.0021,0.0061,0.0082,0,0,0.0017,0.0017,0,0.0026,0.0003,0.0029,0,0.0206,0,,0.0206,0,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330122,桐庐县,杭州市,1633.5,0.7001,0.0109,0.0095,0.7205,0,0.0098,0.04,0,0.1051,0.0004,0.0048,0.1601,0,0,0.0008,0.1502,0.0693,0.2203,0.0017,0.0361,0.2003,0.2364,0.0031,0.1999,0.0771,0.277,0.0037,0.0437,0.0028,0.0465,0.0008,1.6608,0.0093,,1.6608,0,0
 ,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330127,淳安县,杭州市,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0,0,0,0,0,0.0005,0,,0.0005,0,0
 ,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330127,淳安县,杭州市,4369.3,0.4476,0,0,0.4476,0,0.0089,0.0205,0,0.0483,0.0002,0.0084,0.0863,0,0,0.0034,0.0904,0.0276,0.1214,0,0.0118,0.6158,0.6276,0,0.0923,0.0803,0.1726,0,0.0244,0,0.0244,0,1.4799,0,,1.4799,0,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330127,淳安县,杭州市,66.3,0.0179,0,0,0.0179,0,0,0.0001,0,0,0,0,0.0001,0,,,0,0,0,0,0,0,0,0,0,0.0026,0.0026,0,0,0,0,0,0.0206,0,,0.0206,0,0
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330182,建德市,杭州市,78.3,0.0521,0,0,0.0521,0,0.0003,0.0006,0,0.002,0,0.001,0.0039,0,,,0.0106,0,0.0106,0,0.0003,0.0082,0.0085,0,0.004,0.0033,0.0073,0,0.0003,0,0.0003,0,0.0827,0,,0.0827,0,0
 ,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330182,建德市,杭州市,1326.1,0.7171,0,0,0.7171,0,0.003,0.0161,0,0.0473,0.0008,0.0178,0.085,0,0,0.0202,0.2739,0,0.2941,0.015,0.0156,0.2106,0.2262,0,0.1055,0.0836,0.1891,0,0.0235,0,0.0235,0,1.535,0.015,,1.535,0,0
 ,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330182,建德市,杭州市,871.1,0.1895,0,0,0.1895,0,0.0016,0.0052,0,0.03,0.0001,0.0064,0.0433,0,,,0.0676,0,0.0676,0,0.0079,0.0484,0.0563,0,0.0243,0.0193,0.0436,0,0.0026,0,0.0026,0,0.4029,0,,0.4029,0,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330182,建德市,杭州市,88.5,0.0189,0,0,0.0189,0,0.0002,0.0005,0,0.0044,0,0.0008,0.0059,0,,,0,0,0,0,0.0002,0.0039,0.0041,0,0.002,0.0015,0.0035,0,0.0002,0,0.0002,0,0.0326,0,,0.0326,0,0
,,,,,,,,杭州市,16596,7.8547,0.08960000000000001,0.0288,7.973100000000001,0,0.13959999999999997,0.175,0,1.4909,0.004600000000000001,0.1094,1.9194999999999995,0,0,0.39230000000000004,3.2261,0.8341999999999999,4.4526,0.0177,1.0784,5.564400000000001,6.642800000000001,0.0031999999999999997,5.9707,1.0787000000000002,7.049399999999998,0.0037,0.9614,0.2164,1.1778,0.0008,29.2152,0.0254,24.5656,53.780800000000006,0,0
,长江,太湖水系,湖西及湖区,,,,,杭州市,1413.8,0.9793000000000001,0,0,0.9793000000000001,0,0.0034,0.0188,0,0.0651,0.0001,0.012,0.0994,0,0,0.0326,0.1362,0.0092,0.178,0.0004,0.0881,0.5782,0.6663,0,0.4727,0.1278,0.6005,0,0.0653,0.0596,0.1249,0,2.6484,0.0004,0,2.6484,0,0
,长江,太湖水系,杭嘉湖平原,,,,,杭州市,1116.1000000000001,0.6979,0.0076,0,0.7055,0,0.06549999999999999,0.010499999999999999,0,0.2953,0,0.0028,0.3741,0,0,0.0748,0.6737,0.2566,1.0050999999999999,0,0.3245,2.6599,2.9844,0,3.1563,0.1928,3.3491,0,0.4216,0.05689999999999999,0.4785,0,8.8967,0,12.515299999999998,21.412,0,0
,东南诸河,钱塘江,富春江坝址以下,,,,,杭州市,7258.400000000001,4.7696000000000005,0.08130000000000001,0.0281,4.8790000000000004,0,0.05630000000000001,0.10110000000000001,0,1.0011999999999999,0.0033000000000000004,0.06079999999999999,1.2227,0,0,0.26130000000000003,1.9737,0.5408000000000001,2.7758000000000003,0.0023,0.6281,1.4372000000000003,2.0653,0.0031999999999999997,2.1155999999999997,0.5693999999999999,2.6850000000000005,0.0037,0.4211,0.0996,0.5206999999999999,0.0008,14.1485,0.009999999999999998,12.050299999999998,26.198800000000002,0,0
,东南诸河,钱塘江,富春江坝址以上,,,,,杭州市,6807.700000000001,1.4079,0.0007,0.0007,1.4093,0,0.0144,0.0446,0,0.1293,0.0012000000000000001,0.033800000000000004,0.2233,0,0,0.0236,0.44249999999999995,0.0276,0.49369999999999997,0.015,0.0377,0.8891,0.9268000000000001,0,0.22609999999999997,0.1887,0.41479999999999995,0,0.0534,0.0003,0.053700000000000005,0,3.5215999999999994,0.015,0,3.5215999999999994,0,0
,,,,,,,上城区,杭州市,123.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403,0,0.0403,0,0.078,0.6934,0.7714,0,0.7531,0,0.7531,0,0.0907,0,0.0907,0,1.6555,0,7.1495,8.805,0,0
,,,,,,,拱墅区,杭州市,119,0.0019,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0.0515,0.0615,0,0.113,0,0.0506,0.5484,0.599,0,0.6456,0,0.6456,0,0.0733,0,0.0733,0,1.4328,0,0,1.4328,0,0
,,,,,,,西湖区,杭州市,263,0.11979999999999999,0,0,0.11979999999999999,0,0.0128,0.0005,0,0.0778,0,0,0.0911,0,0,0,0.0513,0.0015,0.0528,0,0.0939,0.5663,0.6602,0,0.6788,0.016,0.6948,0,0.1639,0,0.1639,0,1.7826,0,2.511,4.2936,0,0
