水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,123.3,139.8,0,139.8,0,599.73,2203.77,2803.5,0,481.68,0.53,482.21,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,119,119.8,0,119.8,0,192.21,2014.08,2206.29,9.05,100.55,1.85,111.45,0,241.5,0.08,0.04,0.04,0,0,0.04,0,0,0,0,0,0,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330106,西湖区,杭州市,115.9,96.3,0.8,97.1,2.44,91.49,1923.55,2017.48,0,67.48,1.81,69.29,0,0,0.8,0.73,0.59,0,0.14,0.73,0.3,0,0,0,0.09,0,0,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330106,西湖区,杭州市,147.1,20.9,2.1,23,3.03,89.33,279.09,371.45,0,34.7,1.2,35.9,0,0,2.66,2.46,1.97,0,0.49,2.46,0.08,1.6,0.07,0,0.37,0,0,0
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,55.2,0,55.2,0.65,958.67,1928.47,2887.79,0,913.2,0.24,913.44,0,0,0.2,0.2,0.05,0.15,0,0.2,0,0,0,0,0,0,0,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.3,0.26,0,0.04,0.3,0.09,0,0,0,0.05,0,0,0
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,24.3,14.1,38.4,13.51,261.02,73.78,348.31,2.5,214.64,6.09,223.23,0,151.6,13.23,12.47,11.1,0,1.37,12.47,3.61,0.91,1.04,0,2.03,0.01,55.21,55.22
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,152.9,25.1,178,45.71,571.06,1466.56,2083.33,22.7,403.22,48.85,474.77,0,7.2,12.91,12.16,10.83,0,1.33,12.16,3.52,0.91,1.04,0,2.03,0.02,55.31,55.33
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,55.6,13.1,68.7,11.19,84.21,770.42,865.82,0.19,62.7,0.51,63.4,0,8,7.77,7.75,7.75,0,0,7.75,2.95,0,2.33,0,0.64,0.02,27.13,27.15
