水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,0.4914,0.0154,0.019,0.5258,0.0008,0.0325,0.0842,,0.0947,,0.0049,0.2163,,0,0.0201,0.4754,0.0854,0.5809,,0.1056,0.1087,0.2143,,0.4023,0.0593,0.4616,0,0.1888,0.0151,0.2039,,2.2028,0.0008,2.13,4.3328,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330602,越城区,绍兴市,150,0.6646,,,0.6646,0.0001,,,,0.1602,0.002,0.004,0.1662,,,,0.0204,0.0148,0.0352,,0.0028,0.0244,0.0272,,0.0115,0.0132,0.0247,0.0003,0.0009,,0.0009,,0.9188,0.0004,,0.9188,0,0
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.0067,,0.0015,0.0082,,,,,,,0.0003,0.0003,,,,0.0022,0.0002,0.0024,,0.0008,0.0032,0.004,,0.0025,0.0011,0.0036,0.0005,0.0003,0.0001,0.0004,,0.0189,0.0005,,0.0189,0,0
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,0.3732,,0.0127,0.3859,,,0.0249,,0.1766,0.0001,0.0107,0.2123,,0,0.4939,2.166,0.2654,2.9253,,0.065,0.1375,0.2025,,0.4214,0.0755,0.4969,0.001,0.1061,0.0035,0.1096,,4.3325,0.001,,4.3325,0,0
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,0.1019,,0.0165,0.1184,,0.0088,0.1021,,0.0009,,0.0021,0.1139,,,,0.0183,0.0025,0.0208,,0.0151,0.0206,0.0357,,0.0648,0.0182,0.083,,0.0088,0.0002,0.009,,0.3808,0,,0.3808,0,0
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,0.1756,0.0064,0.0045,0.1865,0.0004,0.0011,0.0012,,0.0201,,0.0021,0.0245,,0,0.0367,0.0805,0.0592,0.1764,,0.0187,0.0624,0.0811,,0.053,0.0185,0.0715,,0.0076,0.0002,0.0078,,0.5478,0.0004,,0.5478,0,0
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,0.2677,0.0127,0.0053,0.2857,0.0038,0.0015,0.0035,,0.0429,,0.0072,0.0551,,,,0.0337,0.0411,0.0748,,0.0025,0.0207,0.0232,,0.0309,0.0399,0.0708,0.0002,0.0012,,0.0012,,0.5108,0.004,,0.5108,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,586.7,0.663,0.0078,0.0091,0.6799,0.0007,0.0016,0.0067,,0.0232,0.0001,0.0025,0.0341,,0,0.0097,0.2883,0.0545,0.3525,,0.0221,0.0991,0.1212,,0.1777,0.0377,0.2154,0.0015,0.0736,0.0036,0.0772,,1.4803,0.0022,,1.4803,0,0
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,0.7196,0.0209,0.0325,0.773,,0.0098,0.0103,,0.024,0.0002,0.0087,0.053,,0,0.0244,0.1372,0.0337,0.1953,0.0001,0.029,0.1095,0.1385,,0.1651,0.0829,0.248,,0.0635,0.0034,0.0669,,1.4747,0.0001,,1.4747,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,,,,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330624,新昌县,绍兴市,4.4,,,,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330681,诸暨市,绍兴市,11.5,,,,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330681,诸暨市,绍兴市,114.4,0.028,,0.0031,0.0311,,,,,,,,0,,,,,,0,,,,0,,0.0081,0.0035,0.0116,,,,0,,0.0427,0,,0.0427,0,0
