水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330702,婺城区,金华市,332.6,0.3201,0.0051,0,0.3252,0,0.0092,0.0086,0,0.0284,0.001,0.004,0.0512,0.001,0,0.0116,0.0254,0.0164,0.0534,0,0.0016,0.0283,0.0299,0.001,0.0251,0.0232,0.0483,0,0.0329,0,0.0329,0,0.5409,0.002,,0.5409,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330702,婺城区,金华市,1059.4,0.6006,0.0077,0,0.6083,0,0.0295,0.0276,0,0.0903,0.0033,0.0125,0.1632,0.0029,0,0.0177,0.203,0.0503,0.271,0.0003,0.0148,0.2628,0.2776,0,0.4042,0.0721,0.4763,0,0.1049,0,0.1049,0,1.9013,0.0032,,1.9013,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330703,金东区,金华市,658,0.2906,0.0074,,0.298,,0.0014,0.0163,,0.0608,0.0019,0.0131,0.0935,0.0043,0,0.0069,0.1069,0.0307,0.1445,,0.0114,0.1318,0.1432,,0.158,0.0846,0.2426,,0.0855,,0.0855,,1.0073,0.0043,,1.0073,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330723,武义县,金华市,929.4,0.538,0.0183,0,0.5563,0,0.0038,0.0182,0,0.0285,0.0005,0.0065,0.0575,0,0,0.0067,0.1948,0.0019,0.2034,0,0.0047,0.0515,0.0562,0.0015,0.1674,0.0741,0.2415,0,0.0227,0.0087,0.0314,0,1.1463,0.0015,,1.1463,0,0
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330723,武义县,金华市,638.6,0.2221,0.0091,0,0.2312,0,0.0029,0.0106,0,0.0039,0.0003,0.004,0.0217,0,,,0.0017,0.0001,0.0018,0,0.0006,0.0091,0.0097,0,0.0136,0.0205,0.0341,0,0.0037,0.0053,0.009,0,0.3075,0,,0.3075,0,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330726,浦江县,金华市,400.6,0.0257,0.0031,0,0.0288,0,0.0005,0.018,0,0.0059,0.0003,0.002,0.0267,0,,,0.0137,0.0054,0.0191,0,0.0007,0.0076,0.0083,0,0.0129,0.0064,0.0193,0,0.0044,0.0059,0.0103,0,0.1125,0,,0.1125,0,0
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330726,浦江县,金华市,517.4,0.2647,0.0199,0,0.2846,0,0.0014,0.0152,0,0.0091,0,0.005,0.0307,0,0,0.0294,0.1562,0.0752,0.2608,0,0.0062,0.0847,0.0909,0,0.1392,0.0707,0.2099,0,0.0237,0.0068,0.0305,0,0.9074,0,,0.9074,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330727,磐安县,金华市,418.5,0.09,0.0347,0,0.1247,0,0.0002,0.0029,0,0.0023,0,0.0007,0.0061,0,0,0.0015,0.0052,0.0068,0.0135,0,0.0023,0.0273,0.0296,0,0.0338,0.0093,0.0431,0,0.0028,0,0.0028,0,0.2198,0,,0.2198,0,0
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330727,磐安县,金华市,207.4,0.0236,0.0088,0,0.0324,0,0.0001,0.0017,0,0.0014,0,0.0004,0.0036,0,,,0.0056,0.0083,0.0139,0,0.0007,0.0108,0.0115,0,0.01,0.0109,0.0209,0,0.0017,0,0.0017,0,0.084,0,,0.084,0,0
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330727,磐安县,金华市,224,0.0144,0.0054,0,0.0198,0,0.0001,0.0013,0,0.0011,0,0.0004,0.0029,0,,,0.0011,0.0015,0.0026,0,0.0004,0.0041,0.0045,0,0.0055,0.0095,0.015,0,0.0013,0,0.0013,0,0.0461,0,,0.0461,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330727,磐安县,金华市,140.2,0.0119,0.0046,0,0.0165,0,0.0002,0.0016,0,0.0014,0,0.0004,0.0036,0,,,0.0016,0.0025,0.0041,0,0,0.0002,0.0002,0,0.0004,0.0042,0.0046,0,0.0018,0,0.0018,0,0.0308,0,,0.0308,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330727,磐安县,金华市,204.9,0.0468,0.0176,0,0.0644,0,0.0002,0.0016,0,0.0014,0,0.0004,0.0036,0,,,0.0003,0.0005,0.0008,0,0,0.0002,0.0002,0,0.0005,0.005,0.0055,0,0.0015,0,0.0015,0,0.076,0,,0.076,0,0
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330781,兰溪市,金华市,330.1,0.436,0.0084,0,0.4444,0,0.0024,0.0201,0,0.1163,0.0009,0.0083,0.148,0,,,0.0509,0.0127,0.0636,0,0.0033,0.0165,0.0198,0,0.0398,0.0284,0.0682,0,0.0116,0.0031,0.0147,0,0.7587,0,,0.7587,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330781,兰溪市,金华市,126.1,0.1275,0.0056,0,0.1331,0,0.0007,0.0109,0,0.0105,0.0004,0.0033,0.0258,0.001,0,0.2825,0.0428,0.0113,0.3366,0.0014,0.0009,0.0139,0.0148,0,0.0182,0.0131,0.0313,0,0.0044,0.0008,0.0052,0,0.5468,0.0024,,0.5468,0,0
 ,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330781,兰溪市,金华市,851.3,0.5367,0.0082,0,0.5449,0,0.0027,0.0108,0,0.0554,0.0009,0.0082,0.078,0.0038,,,0.1774,0.044,0.2214,0.0024,0.0016,0.0439,0.0455,0.001,0.1232,0.0794,0.2026,0,0.03,0.0077,0.0377,0,1.1301,0.0072,,1.1301,0,0
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330781,兰溪市,金华市,4.5,0.0032,0.0001,0,0.0033,0,0.0011,0.0071,0,0.0003,0.0002,0.0017,0.0104,0,,,0.0005,0.0002,0.0007,0,0.0001,0.0002,0.0003,0,0.0001,0.0003,0.0004,0,0.0001,0.0001,0.0002,0,0.0153,0,,0.0153,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330782,义乌市,金华市,349.1,0.1416,0.0072,0,0.1488,,0.001,0.0083,,0.0251,,0.0054,0.0398,,,,0.1409,0.1328,0.2737,,0.0251,0.2325,0.2576,,0.5283,0.1138,0.6421,,0.0474,0.0064,0.0538,,1.4158,0,,1.4158,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330782,义乌市,金华市,491.7,0.2672,0.0133,0,0.2805,,0.0014,0.0117,,0.0354,0.0001,0.0077,0.0563,,0,0.0097,0.1386,0.1328,0.2811,,0.0083,0.0771,0.0854,,0.1754,0.0378,0.2132,,0.0668,0.0091,0.0759,,0.9924,0,,0.9924,0,0
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330782,义乌市,金华市,264.2,0.1252,0.0063,0,0.1315,,0.0007,0.0064,,0.019,,0.0042,0.0303,,,,0.0712,0.0674,0.1386,,0.0086,0.0797,0.0883,,0.1813,0.0391,0.2204,,0.0358,0.005,0.0408,,0.6499,0,,0.6499,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330783,东阳市,金华市,1528.8,1.2227,0.0543,0,1.277,0,0.0056,0.0213,0,0.1334,0.0003,0.0038,0.1644,0,0,0.0268,0.2217,0.112,0.3605,0,0.0105,0.1715,0.182,0.0001,0.3636,0.1344,0.498,0,0.0534,0.037,0.0904,0,2.5723,0.0001,,2.5723,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330783,东阳市,金华市,30,0.0244,0.0011,0,0.0255,0,0.0001,0.0005,0,0.0024,0,0.0001,0.0031,0,,,0.0007,0.0004,0.0011,0,0.0001,0.0017,0.0018,0,0,0.003,0.003,0,0,0.0008,0.0008,0,0.0353,0,,0.0353,0,0
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330783,东阳市,金华市,18.6,0.0163,0.0008,0,0.0171,0,0,0.0003,0,0.0013,0,0.0001,0.0017,0,,,0.001,0.0005,0.0015,0,0.0001,0.0012,0.0013,0,0,0.0019,0.0019,0,0,0.0005,0.0005,0,0.024,0,,0.024,0,0
