水文年,月,SK-01,SK-02
1992,1,46341380.37451614,46058460.284193546
1992,2,46710849.68642857,47056097.66535715
1992,3,47883094.727419354,46374457.40935484
1992,4,48543633.32,45908266.757
1992,5,48792659.563225806,48614839.63903226
1992,6,47584783.266333334,47008837.47133333
1992,7,47021960.94258065,47513499.76032258
1992,8,47139307.269999996,47709370.91741936
1992,9,47445331.110999994,46998476.458333336
1992,10,47507331.03967742,47204420.84322581
1992,11,47257836.035,48164612.840333335
1992,12,47417964.97322581,48216886.950967744
1993,1,48470408.883548394,48000802.895806454
1993,2,46895975.33392857,47808967.017142855
1993,3,47308925.008064516,46096684.90967742
1993,4,46720806.72933333,48262255.97066667
1993,5,48306113.312580645,48232374.8
1993,6,47514494.007,46546682.758666664
1993,7,47707851.059354834,47338840.08677419
1993,8,48120151.64161291,46506806.7483871
1993,9,48154847.14566667,47945532.202999994
1993,10,48417094.326774195,47052536.907741934
1993,11,47280708.830000006,47191229.292
1993,12,45649046.01,47562697.73451613
