年,月,QT-153,QT-154,QT-155,QT-156
1992,1,366.42831640967745,431.3622486580645,413.19722619032257,413.0077854870967
1992,2,395.5430995724138,402.30238231034485,404.5647138724138,394.7826857034483
1992,3,382.27820579032254,444.19248140645163,383.2778045806451,414.3763608161291
1992,4,408.5245994,376.9895467233334,390.40784098333336,339.5790407266667
1992,5,371.35963646451614,339.36835501935485,373.55974396129034,373.3775023354839
1992,6,367.08717661,357.52835988333334,437.2990984666667,394.42273893000004
1992,7,421.1239418129032,402.10209207096773,431.9614543870968,393.0243904451613
1992,8,417.8430168451613,370.11326752580646,376.9844545258064,389.8999330129032
1992,9,467.2510359266667,401.98936752000003,377.35201918666667,388.60126944
1992,10,375.56395418064517,436.40447992258066,367.58449957419356,433.0800135516129
1992,11,378.55690616333334,446.80184528999996,420.27397486999996,439.0664450466667
1992,12,386.9229069032258,374.0072646548387,360.8260123,397.2806796451613
1993,1,408.53737878064516,426.7787489483871,448.8079694516129,400.3544672419355
1993,2,422.04848772500003,450.60725463571424,423.058479525,336.5144882392857
1993,3,399.6788400903226,429.72154481935485,409.7490196064516,440.16255218064515
1993,4,417.5846129733333,381.06188818333334,387.5553683233333,376.8463434033334
1993,5,429.8032727580645,427.1205819387097,392.0544642967742,358.1407523064516
1993,6,459.14409343,367.62517942666665,376.14939426,419.7609848533333
1993,7,420.51973191290324,357.8949220096774,375.2116620064516,368.3195280419355
1993,8,303.0099083064516,403.8078295709677,391.63803185161294,436.23886239354835
1993,9,378.24133530333336,433.4853966366666,442.6887502033333,401.08662717333334
1993,10,342.45100038064516,389.48818545806455,417.42143640322575,390.1780701290322
1993,11,387.02537913333333,394.52159948,414.37359054999996,424.65361766666666
1993,12,393.2976517129032,427.37663676774196,424.40932065806453,367.6501020548387
