日期	平原产水	其他外供	河网供水	水库供水	合计来水
2026/03/03	4.62	0.0	2.526	4.407	6.933
2026/03/04	0.0	0.0	1.463	4.407	5.87
2026/03/05	15.1	0.0	1.254	4.407	5.661
2026/03/06	0.41	0.0	1.09	4.407	5.497
2026/03/07	0.27	0.0	0.959	4.407	5.366
2026/03/08	2.58	0.0	0.866	4.407	5.273
2026/03/09	1.22	0.0	0.791	4.407	5.198
2026/03/10	2.58	0.0	0.738	4.407	5.145
2026/03/11	28.81	0.0	0.778	4.407	5.1850000000000005
2026/03/12	16.75	0.0	0.823	4.407	5.23
2026/03/13	0.68	0.0	0.83	4.407	5.237
2026/03/14	0.82	0.0	0.816	4.407	5.223
2026/03/15	15.13	0.0	0.827	4.407	5.234
2026/03/16	0.0	0.0	0.809	4.407	5.216
2026/03/17	0.0	0.0	0.775	4.407	5.182
2026/03/18	0.0	0.0	0.731	4.407	5.138
2026/03/19	0.0	0.0	0.684	4.407	5.091
2026/03/20	77.18	0.0	1.159	4.407	5.566
2026/03/21	69.62	0.0	3.359	4.407	7.766
2026/03/22	0.14	0.0	1.727	4.407	6.134
2026/03/23	1.9	0.0	1.213	4.407	5.62
2026/03/24	60.99	0.0	3.487	4.407	7.894
2026/03/25	0.14	0.0	1.823	4.407	6.23
2026/03/26	57.75	0.0	3.981	4.407	8.388
2026/03/27	66.93	0.0	5.858	4.407	10.265
2026/03/28	2.72	0.0	3.588	4.407	7.995
2026/03/29	35.63	0.0	4.368	4.407	8.775
2026/03/30	40.49	0.0	5.227	4.407	9.634
2026/03/31	0.0	0.0	2.718	4.407	7.125
2026/04/01	0.0	0.0	1.484	4.407	5.891
2026/04/02	0.0	0.0	1.21	4.407	5.617
2026/04/03	0.0	0.0	1.097	4.407	5.504
