日期	平原产水	其他外供	河网供水	水库供水	合计来水
2026/03/03	14.01	0.0	2.526	0.0	2.526
2026/03/04	0.0	0.0	1.463	0.0	1.463
2026/03/05	45.73	0.0	1.254	0.0	1.254
2026/03/06	1.24	0.0	1.09	0.0	1.09
2026/03/07	0.82	0.0	0.959	0.0	0.959
2026/03/08	7.83	0.0	0.866	0.0	0.866
2026/03/09	3.71	0.0	0.791	0.0	0.791
2026/03/10	7.83	0.0	0.738	0.0	0.738
2026/03/11	60.23	0.0	0.778	0.0	0.778
2026/03/12	30.64	0.0	0.823	0.0	0.823
2026/03/13	2.06	0.0	0.83	0.0	0.83
2026/03/14	2.47	0.0	0.816	0.0	0.816
2026/03/15	28.06	0.0	0.827	0.0	0.827
2026/03/16	0.0	0.0	0.809	0.0	0.809
2026/03/17	0.0	0.0	0.775	0.0	0.775
2026/03/18	0.0	0.0	0.731	0.0	0.731
2026/03/19	0.0	0.0	0.684	0.0	0.684
2026/03/20	127.14	0.0	1.159	0.0	1.159
2026/03/21	115.07	0.0	3.359	0.0	3.359
2026/03/22	0.41	0.0	1.727	0.0	1.727
2026/03/23	5.77	0.0	1.213	0.0	1.213
2026/03/24	101.29	0.0	3.487	0.0	3.487
2026/03/25	0.41	0.0	1.823	0.0	1.823
2026/03/26	96.12	0.0	3.981	0.0	3.981
2026/03/27	110.77	0.0	5.858	0.0	5.858
2026/03/28	8.24	0.0	3.588	0.0	3.588
2026/03/29	60.8	0.0	4.368	0.0	4.368
2026/03/30	68.55	0.0	5.227	0.0	5.227
2026/03/31	0.0	0.0	2.718	0.0	2.718
2026/04/01	0.0	0.0	1.484	0.0	1.484
2026/04/02	0.0	0.0	1.21	0.0	1.21
2026/04/03	0.0	0.0	1.097	0.0	1.097
