日期	农业需水	其他生态需水	非农需水	需水量
2026/03/03	29.82	1.97	20.9032	50.7232
2026/03/04	29.82	1.97	20.9032	50.7232
2026/03/05	29.82	1.97	20.9032	50.7232
2026/03/06	29.82	1.97	20.9032	50.7232
2026/03/07	29.82	1.97	20.9032	50.7232
2026/03/08	29.82	1.97	20.9032	50.7232
2026/03/09	29.82	1.97	20.9032	50.7232
2026/03/10	29.82	1.97	20.9032	50.7232
2026/03/11	29.82	1.97	20.9032	50.7232
2026/03/12	29.82	1.97	20.9032	50.7232
2026/03/13	29.82	1.97	20.9032	50.7232
2026/03/14	29.82	1.97	20.9032	50.7232
2026/03/15	29.82	1.97	20.9032	50.7232
2026/03/16	29.82	1.97	20.9032	50.7232
2026/03/17	29.82	1.97	20.9032	50.7232
2026/03/18	29.82	1.97	20.9032	50.7232
2026/03/19	29.82	1.97	20.9032	50.7232
2026/03/20	29.82	1.97	20.9032	50.7232
2026/03/21	29.82	1.97	20.9032	50.7232
2026/03/22	29.82	1.97	20.9032	50.7232
2026/03/23	29.82	1.97	20.9032	50.7232
2026/03/24	29.82	1.97	20.9032	50.7232
2026/03/25	29.82	1.97	20.9032	50.7232
2026/03/26	29.82	1.97	20.9032	50.7232
2026/03/27	29.82	1.97	20.9032	50.7232
2026/03/28	29.82	1.97	20.9032	50.7232
2026/03/29	29.82	1.97	20.9032	50.7232
2026/03/30	29.82	1.97	20.9032	50.7232
2026/03/31	29.82	1.97	20.9032	50.7232
2026/04/01	29.82	2.63	20.9032	50.7232
2026/04/02	29.82	2.63	20.9032	50.7232
2026/04/03	0.0	2.63	20.9032	20.9032
