日期	农业需水	其他生态需水	非农需水	需水量
2026/03/03	21.83	3.5	0.4583	22.2883
2026/03/04	21.83	3.5	0.4583	22.2883
2026/03/05	21.83	3.5	0.4583	22.2883
2026/03/06	21.83	3.5	0.4583	22.2883
2026/03/07	21.83	3.5	0.4583	22.2883
2026/03/08	21.83	3.5	0.4583	22.2883
2026/03/09	21.83	3.5	0.4583	22.2883
2026/03/10	21.83	3.5	0.4583	22.2883
2026/03/11	21.83	3.5	0.4583	22.2883
2026/03/12	21.83	3.5	0.4583	22.2883
2026/03/13	21.83	3.5	0.4583	22.2883
2026/03/14	21.83	3.5	0.4583	22.2883
2026/03/15	21.83	3.5	0.4583	22.2883
2026/03/16	21.83	3.5	0.4583	22.2883
2026/03/17	21.83	3.5	0.4583	22.2883
2026/03/18	21.83	3.5	0.4583	22.2883
2026/03/19	21.83	3.5	0.4583	22.2883
2026/03/20	21.83	3.5	0.4583	22.2883
2026/03/21	21.83	3.5	0.4583	22.2883
2026/03/22	21.83	3.5	0.4583	22.2883
2026/03/23	21.83	3.5	0.4583	22.2883
2026/03/24	21.83	3.5	0.4583	22.2883
2026/03/25	21.83	3.5	0.4583	22.2883
2026/03/26	21.83	3.5	0.4583	22.2883
2026/03/27	21.83	3.5	0.4583	22.2883
2026/03/28	21.83	3.5	0.4583	22.2883
2026/03/29	21.83	3.5	0.4583	22.2883
2026/03/30	21.83	3.5	0.4583	22.2883
2026/03/31	21.83	3.5	0.4583	22.2883
2026/04/01	21.83	4.48	0.4583	22.2883
2026/04/02	21.83	4.48	0.4583	22.2883
2026/04/03	0.0	4.48	0.4583	0.4583
