日期	农业需水	其他生态需水	非农需水	需水量
2026/03/03	18.98	4.54	0.2993	19.2793
2026/03/04	18.98	4.54	0.2993	19.2793
2026/03/05	18.98	4.54	0.2993	19.2793
2026/03/06	18.98	4.54	0.2993	19.2793
2026/03/07	18.98	4.54	0.2993	19.2793
2026/03/08	18.98	4.54	0.2993	19.2793
2026/03/09	18.98	4.54	0.2993	19.2793
2026/03/10	18.98	4.54	0.2993	19.2793
2026/03/11	18.98	4.54	0.2993	19.2793
2026/03/12	18.98	4.54	0.2993	19.2793
2026/03/13	18.98	4.54	0.2993	19.2793
2026/03/14	18.98	4.54	0.2993	19.2793
2026/03/15	18.98	4.54	0.2993	19.2793
2026/03/16	18.98	4.54	0.2993	19.2793
2026/03/17	18.98	4.54	0.2993	19.2793
2026/03/18	18.98	4.54	0.2993	19.2793
2026/03/19	18.98	4.54	0.2993	19.2793
2026/03/20	18.98	4.54	0.2993	19.2793
2026/03/21	18.98	4.54	0.2993	19.2793
2026/03/22	18.98	4.54	0.2993	19.2793
2026/03/23	18.98	4.54	0.2993	19.2793
2026/03/24	18.98	4.54	0.2993	19.2793
2026/03/25	18.98	4.54	0.2993	19.2793
2026/03/26	18.98	4.54	0.2993	19.2793
2026/03/27	18.98	4.54	0.2993	19.2793
2026/03/28	18.98	4.54	0.2993	19.2793
2026/03/29	18.98	4.54	0.2993	19.2793
2026/03/30	18.98	4.54	0.2993	19.2793
2026/03/31	18.98	4.54	0.2993	19.2793
2026/04/01	18.98	5.81	0.2993	19.2793
2026/04/02	18.98	5.81	0.2993	19.2793
2026/04/03	0.0	5.81	0.2993	0.2993
