日期	农业需水	其他生态需水	非农需水	需水量
2026/03/03	12.64	6.82	0.1153	12.7553
2026/03/04	12.64	6.82	0.1153	12.7553
2026/03/05	12.64	6.82	0.1153	12.7553
2026/03/06	12.64	6.82	0.1153	12.7553
2026/03/07	12.64	6.82	0.1153	12.7553
2026/03/08	12.64	6.82	0.1153	12.7553
2026/03/09	12.64	6.82	0.1153	12.7553
2026/03/10	12.64	6.82	0.1153	12.7553
2026/03/11	12.64	6.82	0.1153	12.7553
2026/03/12	12.64	6.82	0.1153	12.7553
2026/03/13	12.64	6.82	0.1153	12.7553
2026/03/14	12.64	6.82	0.1153	12.7553
2026/03/15	12.64	6.82	0.1153	12.7553
2026/03/16	12.64	6.82	0.1153	12.7553
2026/03/17	12.64	6.82	0.1153	12.7553
2026/03/18	12.64	6.82	0.1153	12.7553
2026/03/19	12.64	6.82	0.1153	12.7553
2026/03/20	12.64	6.82	0.1153	12.7553
2026/03/21	12.64	6.82	0.1153	12.7553
2026/03/22	12.64	6.82	0.1153	12.7553
2026/03/23	12.64	6.82	0.1153	12.7553
2026/03/24	12.64	6.82	0.1153	12.7553
2026/03/25	12.64	6.82	0.1153	12.7553
2026/03/26	12.64	6.82	0.1153	12.7553
2026/03/27	12.64	6.82	0.1153	12.7553
2026/03/28	12.64	6.82	0.1153	12.7553
2026/03/29	12.64	6.82	0.1153	12.7553
2026/03/30	12.64	6.82	0.1153	12.7553
2026/03/31	12.64	6.82	0.1153	12.7553
2026/04/01	12.64	8.73	0.1153	12.7553
2026/04/02	12.64	8.73	0.1153	12.7553
2026/04/03	0.0	8.73	0.1153	0.1153
