日期	农业需水	其他生态需水	非农需水	需水量
2026/03/03	0.62	0.57	0.011	0.631
2026/03/04	0.62	0.57	0.011	0.631
2026/03/05	0.62	0.57	0.011	0.631
2026/03/06	0.62	0.57	0.011	0.631
2026/03/07	0.62	0.57	0.011	0.631
2026/03/08	0.62	0.57	0.011	0.631
2026/03/09	0.62	0.57	0.011	0.631
2026/03/10	0.62	0.57	0.011	0.631
2026/03/11	0.62	0.57	0.011	0.631
2026/03/12	0.62	0.57	0.011	0.631
2026/03/13	0.62	0.57	0.011	0.631
2026/03/14	0.62	0.57	0.011	0.631
2026/03/15	0.62	0.57	0.011	0.631
2026/03/16	0.62	0.57	0.011	0.631
2026/03/17	0.62	0.57	0.011	0.631
2026/03/18	0.62	0.57	0.011	0.631
2026/03/19	0.62	0.57	0.011	0.631
2026/03/20	0.62	0.57	0.011	0.631
2026/03/21	0.62	0.57	0.011	0.631
2026/03/22	0.62	0.57	0.011	0.631
2026/03/23	0.62	0.57	0.011	0.631
2026/03/24	0.62	0.57	0.011	0.631
2026/03/25	0.62	0.57	0.011	0.631
2026/03/26	0.62	0.57	0.011	0.631
2026/03/27	0.62	0.57	0.011	0.631
2026/03/28	0.62	0.57	0.011	0.631
2026/03/29	0.62	0.57	0.011	0.631
2026/03/30	0.62	0.57	0.011	0.631
2026/03/31	0.62	0.57	0.011	0.631
2026/04/01	0.62	0.72	0.011	0.631
2026/04/02	0.62	0.72	0.011	0.631
2026/04/03	0.0	0.72	0.011	0.011
