日期	农业需水	其他生态需水	非农需水	需水量
2026/03/03	2.71	1.28	2.1336	4.8436
2026/03/04	2.71	1.28	2.1336	4.8436
2026/03/05	2.71	1.28	2.1336	4.8436
2026/03/06	2.71	1.28	2.1336	4.8436
2026/03/07	2.71	1.28	2.1336	4.8436
2026/03/08	2.71	1.28	2.1336	4.8436
2026/03/09	2.71	1.28	2.1336	4.8436
2026/03/10	2.71	1.28	2.1336	4.8436
2026/03/11	2.71	1.28	2.1336	4.8436
2026/03/12	2.71	1.28	2.1336	4.8436
2026/03/13	2.71	1.28	2.1336	4.8436
2026/03/14	2.71	1.28	2.1336	4.8436
2026/03/15	2.71	1.28	2.1336	4.8436
2026/03/16	2.71	1.28	2.1336	4.8436
2026/03/17	2.71	1.28	2.1336	4.8436
2026/03/18	2.71	1.28	2.1336	4.8436
2026/03/19	2.71	1.28	2.1336	4.8436
2026/03/20	2.71	1.28	2.1336	4.8436
2026/03/21	2.71	1.28	2.1336	4.8436
2026/03/22	2.71	1.28	2.1336	4.8436
2026/03/23	2.71	1.28	2.1336	4.8436
2026/03/24	2.71	1.28	2.1336	4.8436
2026/03/25	2.71	1.28	2.1336	4.8436
2026/03/26	2.71	1.28	2.1336	4.8436
2026/03/27	2.71	1.28	2.1336	4.8436
2026/03/28	2.71	1.28	2.1336	4.8436
2026/03/29	2.71	1.28	2.1336	4.8436
2026/03/30	2.71	1.28	2.1336	4.8436
2026/03/31	2.71	1.28	2.1336	4.8436
2026/04/01	2.71	1.71	2.1336	4.8436
2026/04/02	2.71	1.71	2.1336	4.8436
2026/04/03	0.0	1.71	2.1336	2.1336
