日期	合计来水	需水量	其他生态需水	水位生态需水	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量
2026/03/03	2.526	7.8275	2.23	0.0	2.23	10.0575	-7.531499999999999	3006.0	0.0	-7.531499999999999	0.0	0.0	0.0	0.0	7.531499999999999	0.0	0.0	3333.333333333333	0.0	-7.531499999999999	-7.531499999999999	3006.0	0.0	0.0
2026/03/04	1.463	7.8275	2.23	0.0	2.23	10.0575	-8.5945	3006.0	0.0	-8.5945	0.0	0.0	0.0	0.0	8.5945	0.0	0.0	3333.333333333333	0.0	-8.5945	-8.5945	3006.0	0.0	0.0
2026/03/05	1.254	7.8275	2.23	0.0	2.23	10.0575	-8.8035	3006.0	0.0	-8.8035	0.0	0.0	0.0	0.0	8.8035	0.0	0.0	3333.333333333333	0.0	-8.8035	-8.8035	3006.0	0.0	0.0
2026/03/06	1.09	7.8275	2.23	0.0	2.23	10.0575	-8.9675	3006.0	0.0	-8.9675	0.0	0.0	0.0	0.0	8.9675	0.0	0.0	3333.333333333333	0.0	-8.9675	-8.9675	3006.0	0.0	0.0
2026/03/07	0.959	7.8275	2.23	0.0	2.23	10.0575	-9.0985	3006.0	0.0	-9.0985	0.0	0.0	0.0	0.0	9.0985	0.0	0.0	3333.333333333333	0.0	-9.0985	-9.0985	3006.0	0.0	0.0
2026/03/08	0.866	7.8275	2.23	0.0	2.23	10.0575	-9.1915	3006.0	0.0	-9.1915	0.0	0.0	0.0	0.0	9.1915	0.0	0.0	3333.333333333333	0.0	-9.1915	-9.1915	3006.0	0.0	0.0
2026/03/09	0.791	7.8275	2.23	0.0	2.23	10.0575	-9.266499999999999	3006.0	0.0	-9.266499999999999	0.0	0.0	0.0	0.0	9.266499999999999	0.0	0.0	3333.333333333333	0.0	-9.266499999999999	-9.266499999999999	3006.0	0.0	0.0
2026/03/10	0.738	7.8275	2.23	0.0	2.23	10.0575	-9.3195	3006.0	0.0	-9.3195	0.0	0.0	0.0	0.0	9.3195	0.0	0.0	3333.333333333333	0.0	-9.3195	-9.3195	3006.0	0.0	0.0
2026/03/11	0.778	7.8275	2.23	0.0	2.23	10.0575	-9.279499999999999	3006.0	0.0	-9.279499999999999	0.0	0.0	0.0	0.0	9.279499999999999	0.0	0.0	3333.333333333333	0.0	-9.279499999999999	-9.279499999999999	3006.0	0.0	0.0
2026/03/12	0.823	7.8275	2.23	0.0	2.23	10.0575	-9.234499999999999	3006.0	0.0	-9.234499999999999	0.0	0.0	0.0	0.0	9.234499999999999	0.0	0.0	3333.333333333333	0.0	-9.234499999999999	-9.234499999999999	3006.0	0.0	0.0
2026/03/13	0.83	7.8275	2.23	0.0	2.23	10.0575	-9.2275	3006.0	0.0	-9.2275	0.0	0.0	0.0	0.0	9.2275	0.0	0.0	3333.333333333333	0.0	-9.2275	-9.2275	3006.0	0.0	0.0
2026/03/14	0.816	7.8275	2.23	0.0	2.23	10.0575	-9.241499999999998	3006.0	0.0	-9.241499999999998	0.0	0.0	0.0	0.0	9.241499999999998	0.0	0.0	3333.333333333333	0.0	-9.241499999999998	-9.241499999999998	3006.0	0.0	0.0
2026/03/15	0.827	7.8275	2.23	0.0	2.23	10.0575	-9.2305	3006.0	0.0	-9.2305	0.0	0.0	0.0	0.0	9.2305	0.0	0.0	3333.333333333333	0.0	-9.2305	-9.2305	3006.0	0.0	0.0
2026/03/16	0.809	7.8275	2.23	0.0	2.23	10.0575	-9.2485	3006.0	0.0	-9.2485	0.0	0.0	0.0	0.0	9.2485	0.0	0.0	3333.333333333333	0.0	-9.2485	-9.2485	3006.0	0.0	0.0
2026/03/17	0.775	7.8275	2.23	0.0	2.23	10.0575	-9.282499999999999	3006.0	0.0	-9.282499999999999	0.0	0.0	0.0	0.0	9.282499999999999	0.0	0.0	3333.333333333333	0.0	-9.282499999999999	-9.282499999999999	3006.0	0.0	0.0
2026/03/18	0.731	7.8275	2.23	0.0	2.23	10.0575	-9.3265	3006.0	0.0	-9.3265	0.0	0.0	0.0	0.0	9.3265	0.0	0.0	3333.333333333333	0.0	-9.3265	-9.3265	3006.0	0.0	0.0
