日期	合计来水	需水量	其他生态需水	水位生态需水	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量
2026/03/03	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/04	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/05	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/06	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/07	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/08	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/09	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/10	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/11	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/12	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/13	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/14	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/15	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/16	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/17	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
2026/03/18	52.6932	50.7232	1.97	0.0	1.97	52.6932	0.0	5420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6140.0	0.0	0.0	0.0	5420.0	0.0	0.0
