日期	合计来水	需水量	其他生态需水	水位生态需水	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量
2026/03/03	2.526	19.2793	4.54	0.0	4.54	23.8193	-21.2933	3182.0	399.5305164319249	378.23721643192494	399.5305164319249	399.5305164319249	0.0	0.0	21.2933	0.0	0.0	3854.0	0.0	-21.2933	-21.2933	2782.4694835680752	0.0	399.5305164319249
2026/03/04	1.463	19.2793	4.54	0.0	4.54	23.8193	-22.356299999999997	3182.0	399.5305164319249	377.17421643192495	399.5305164319249	399.5305164319249	0.0	0.0	22.356299999999997	0.0	0.0	3854.0	0.0	-22.356299999999997	-22.356299999999997	2782.4694835680752	0.0	399.5305164319249
2026/03/05	1.254	19.2793	4.54	0.0	4.54	23.8193	-22.565299999999997	3182.0	399.5305164319249	376.96521643192494	399.5305164319249	399.5305164319249	0.0	0.0	22.565299999999997	0.0	0.0	3854.0	0.0	-22.565299999999997	-22.565299999999997	2782.4694835680752	0.0	399.5305164319249
2026/03/06	1.09	19.2793	4.54	0.0	4.54	23.8193	-22.7293	3182.0	399.5305164319249	376.8012164319249	399.5305164319249	399.5305164319249	0.0	0.0	22.7293	0.0	0.0	3854.0	0.0	-22.7293	-22.7293	2782.4694835680752	0.0	399.5305164319249
2026/03/07	0.959	19.2793	4.54	0.0	4.54	23.8193	-22.8603	3182.0	399.5305164319249	376.6702164319249	399.5305164319249	399.5305164319249	0.0	0.0	22.8603	0.0	0.0	3854.0	0.0	-22.8603	-22.8603	2782.4694835680752	0.0	399.5305164319249
2026/03/08	0.866	19.2793	4.54	0.0	4.54	23.8193	-22.9533	3182.0	399.5305164319249	376.5772164319249	399.5305164319249	399.5305164319249	0.0	0.0	22.9533	0.0	0.0	3854.0	0.0	-22.9533	-22.9533	2782.4694835680752	0.0	399.5305164319249
2026/03/09	0.791	19.2793	4.54	0.0	4.54	23.8193	-23.028299999999998	3182.0	399.5305164319249	376.5022164319249	399.5305164319249	399.5305164319249	0.0	0.0	23.028299999999998	0.0	0.0	3854.0	0.0	-23.028299999999998	-23.028299999999998	2782.4694835680752	0.0	399.5305164319249
2026/03/10	0.738	19.2793	4.54	0.0	4.54	23.8193	-23.0813	3182.0	399.5305164319249	376.4492164319249	399.5305164319249	399.5305164319249	0.0	0.0	23.0813	0.0	0.0	3854.0	0.0	-23.0813	-23.0813	2782.4694835680752	0.0	399.5305164319249
2026/03/11	0.778	19.2793	4.54	0.0	4.54	23.8193	-23.0413	3182.0	399.5305164319249	376.48921643192494	399.5305164319249	399.5305164319249	0.0	0.0	23.0413	0.0	0.0	3854.0	0.0	-23.0413	-23.0413	2782.4694835680752	0.0	399.5305164319249
2026/03/12	0.823	19.2793	4.54	0.0	4.54	23.8193	-22.996299999999998	3182.0	399.5305164319249	376.5342164319249	399.5305164319249	399.5305164319249	0.0	0.0	22.996299999999998	0.0	0.0	3854.0	0.0	-22.996299999999998	-22.996299999999998	2782.4694835680752	0.0	399.5305164319249
