日期	合计来水	需水量	其他生态需水	水位生态需水	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量
2026/03/03	2.526	12.7553	6.82	0.0	6.82	19.5753	-17.0493	2870.0	0.0	-17.0493	0.0	0.0	0.0	0.0	17.0493	0.0	0.0	4728.499999999999	0.0	-17.0493	-17.0493	4109.0	0.0	0.0
2026/03/04	1.463	12.7553	6.82	0.0	6.82	19.5753	-18.112299999999998	2870.0	0.0	-18.112299999999998	0.0	0.0	0.0	0.0	18.112299999999998	0.0	0.0	4728.499999999999	0.0	-18.112299999999998	-18.112299999999998	4109.0	0.0	0.0
2026/03/05	1.254	12.7553	6.82	0.0	6.82	19.5753	-18.321299999999997	2870.0	0.0	-18.321299999999997	0.0	0.0	0.0	0.0	18.321299999999997	0.0	0.0	4728.499999999999	0.0	-18.321299999999997	-18.321299999999997	4109.0	0.0	0.0
2026/03/06	1.09	12.7553	6.82	0.0	6.82	19.5753	-18.4853	2870.0	0.0	-18.4853	0.0	0.0	0.0	0.0	18.4853	0.0	0.0	4728.499999999999	0.0	-18.4853	-18.4853	4109.0	0.0	0.0
2026/03/07	0.959	12.7553	6.82	0.0	6.82	19.5753	-18.6163	2870.0	0.0	-18.6163	0.0	0.0	0.0	0.0	18.6163	0.0	0.0	4728.499999999999	0.0	-18.6163	-18.6163	4109.0	0.0	0.0
2026/03/08	0.866	12.7553	6.82	0.0	6.82	19.5753	-18.7093	2870.0	0.0	-18.7093	0.0	0.0	0.0	0.0	18.7093	0.0	0.0	4728.499999999999	0.0	-18.7093	-18.7093	4109.0	0.0	0.0
2026/03/09	0.791	12.7553	6.82	0.0	6.82	19.5753	-18.784299999999998	2870.0	0.0	-18.784299999999998	0.0	0.0	0.0	0.0	18.784299999999998	0.0	0.0	4728.499999999999	0.0	-18.784299999999998	-18.784299999999998	4109.0	0.0	0.0
2026/03/10	0.738	12.7553	6.82	0.0	6.82	19.5753	-18.8373	2870.0	0.0	-18.8373	0.0	0.0	0.0	0.0	18.8373	0.0	0.0	4728.499999999999	0.0	-18.8373	-18.8373	4109.0	0.0	0.0
2026/03/11	0.778	12.7553	6.82	0.0	6.82	19.5753	-18.7973	2870.0	0.0	-18.7973	0.0	0.0	0.0	0.0	18.7973	0.0	0.0	4728.499999999999	0.0	-18.7973	-18.7973	4109.0	0.0	0.0
2026/03/12	0.823	12.7553	6.82	0.0	6.82	19.5753	-18.752299999999998	2870.0	0.0	-18.752299999999998	0.0	0.0	0.0	0.0	18.752299999999998	0.0	0.0	4728.499999999999	0.0	-18.752299999999998	-18.752299999999998	4109.0	0.0	0.0
2026/03/13	0.83	12.7553	6.82	0.0	6.82	19.5753	-18.7453	2870.0	0.0	-18.7453	0.0	0.0	0.0	0.0	18.7453	0.0	0.0	4728.499999999999	0.0	-18.7453	-18.7453	4109.0	0.0	0.0
2026/03/14	0.816	12.7553	6.82	0.0	6.82	19.5753	-18.7593	2870.0	0.0	-18.7593	0.0	0.0	0.0	0.0	18.7593	0.0	0.0	4728.499999999999	0.0	-18.7593	-18.7593	4109.0	0.0	0.0
2026/03/15	0.827	12.7553	6.82	0.0	6.82	19.5753	-18.7483	2870.0	0.0	-18.7483	0.0	0.0	0.0	0.0	18.7483	0.0	0.0	4728.499999999999	0.0	-18.7483	-18.7483	4109.0	0.0	0.0
2026/03/16	0.809	12.7553	6.82	0.0	6.82	19.5753	-18.766299999999998	2870.0	0.0	-18.766299999999998	0.0	0.0	0.0	0.0	18.766299999999998	0.0	0.0	4728.499999999999	0.0	-18.766299999999998	-18.766299999999998	4109.0	0.0	0.0
2026/03/17	0.775	12.7553	6.82	0.0	6.82	19.5753	-18.8003	2870.0	0.0	-18.8003	0.0	0.0	0.0	0.0	18.8003	0.0	0.0	4728.499999999999	0.0	-18.8003	-18.8003	4109.0	0.0	0.0
2026/03/18	0.731	12.7553	6.82	0.0	6.82	19.5753	-18.844299999999997	2870.0	0.0	-18.844299999999997	0.0	0.0	0.0	0.0	18.844299999999997	0.0	0.0	4728.499999999999	0.0	-18.844299999999997	-18.844299999999997	4109.0	0.0	0.0
2026/03/19	0.684	12.7553	6.82	0.0	6.82	19.5753	-18.891299999999998	2870.0	0.0	-18.891299999999998	0.0	0.0	0.0	0.0	18.891299999999998	0.0	0.0	4728.499999999999	0.0	-18.891299999999998	-18.891299999999998	4109.0	0.0	0.0
