日期	合计来水	需水量	其他生态需水	水位生态需水	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量
2026/03/03	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/04	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/05	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/06	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/07	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/08	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/09	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/10	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/11	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/12	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/13	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/14	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/15	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/16	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/17	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/18	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/19	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/20	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
2026/03/21	108.018	101.658	6.36	0.0	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0
