日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	姚江沿线大工业用水区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	海曙平原区	绍虞平原区	舟山大陆用水区	虞北平原上河区	虞北平原中河区	蜀山平原区	鄞州调水区	余姚平原马渚中河区
2026/03/03	2.526	2.526	2.526	2.526	2.526	2.953	2.526	2.526	2.526	2.526	2.526	2.526	2.953	2.526	2.526	2.526	2.953	2.526	2.526
2026/03/04	1.463	1.463	1.463	1.463	1.463	2.777	1.463	1.463	1.463	1.463	1.463	1.463	2.777	1.463	1.463	1.463	2.777	1.463	1.463
2026/03/05	1.254	1.254	1.254	1.254	1.254	2.25	1.254	1.254	1.254	1.254	1.254	1.254	2.25	1.254	1.254	1.254	2.25	1.254	1.254
2026/03/06	1.09	1.09	1.09	1.09	1.09	1.716	1.09	1.09	1.09	1.09	1.09	1.09	1.716	1.09	1.09	1.09	1.716	1.09	1.09
2026/03/07	0.959	0.959	0.959	0.959	0.959	1.358	0.959	0.959	0.959	0.959	0.959	0.959	1.358	0.959	0.959	0.959	1.358	0.959	0.959
2026/03/08	0.866	0.866	0.866	0.866	0.866	1.261	0.866	0.866	0.866	0.866	0.866	0.866	1.261	0.866	0.866	0.866	1.261	0.866	0.866
2026/03/09	0.791	0.791	0.791	0.791	0.791	1.056	0.791	0.791	0.791	0.791	0.791	0.791	1.056	0.791	0.791	0.791	1.056	0.791	0.791
2026/03/10	0.738	0.738	0.738	0.738	0.738	1.135	0.738	0.738	0.738	0.738	0.738	0.738	1.135	0.738	0.738	0.738	1.135	0.738	0.738
2026/03/11	0.778	0.778	0.778	0.778	0.778	1.675	0.778	0.778	0.778	0.778	0.778	0.778	1.675	0.778	0.778	0.778	1.675	0.778	0.778
2026/03/12	0.823	0.823	0.823	0.823	0.823	1.902	0.823	0.823	0.823	0.823	0.823	0.823	1.902	0.823	0.823	0.823	1.902	0.823	0.823
2026/03/13	0.83	0.83	0.83	0.83	0.83	1.676	0.83	0.83	0.83	0.83	0.83	0.83	1.676	0.83	0.83	0.83	1.676	0.83	0.83
2026/03/14	0.816	0.816	0.816	0.816	0.816	1.484	0.816	0.816	0.816	0.816	0.816	0.816	1.484	0.816	0.816	0.816	1.484	0.816	0.816
2026/03/15	0.827	0.827	0.827	0.827	0.827	1.689	0.827	0.827	0.827	0.827	0.827	0.827	1.689	0.827	0.827	0.827	1.689	0.827	0.827
2026/03/16	0.809	0.809	0.809	0.809	0.809	1.464	0.809	0.809	0.809	0.809	0.809	0.809	1.464	0.809	0.809	0.809	1.464	0.809	0.809
2026/03/17	0.775	0.775	0.775	0.775	0.775	1.156	0.775	0.775	0.775	0.775	0.775	0.775	1.156	0.775	0.775	0.775	1.156	0.775	0.775
2026/03/18	0.731	0.731	0.731	0.731	0.731	0.878	0.731	0.731	0.731	0.731	0.731	0.731	0.878	0.731	0.731	0.731	0.878	0.731	0.731
2026/03/19	0.684	0.684	0.684	0.684	0.684	0.775	0.684	0.684	0.684	0.684	0.684	0.684	0.775	0.684	0.684	0.684	0.775	0.684	0.684
2026/03/20	1.159	1.159	1.159	1.159	1.159	0.789	1.159	1.159	1.159	1.159	1.159	1.159	0.789	1.159	1.159	1.159	0.789	1.159	1.159
2026/03/21	3.359	3.359	3.359	3.359	3.359	3.276	3.359	3.359	3.359	3.359	3.359	3.359	3.276	3.359	3.359	3.359	3.276	3.359	3.359
2026/03/22	1.727	1.727	1.727	1.727	1.727	3.425	1.727	1.727	1.727	1.727	1.727	1.727	3.425	1.727	1.727	1.727	3.425	1.727	1.727
2026/03/23	1.213	1.213	1.213	1.213	1.213	2.877	1.213	1.213	1.213	1.213	1.213	1.213	2.877	1.213	1.213	1.213	2.877	1.213	1.213
2026/03/24	3.487	3.487	3.487	3.487	3.487	4.686	3.487	3.487	3.487	3.487	3.487	3.487	4.686	3.487	3.487	3.487	4.686	3.487	3.487
2026/03/25	1.823	1.823	1.823	1.823	1.823	4.48	1.823	1.823	1.823	1.823	1.823	1.823	4.48	1.823	1.823	1.823	4.48	1.823	1.823
2026/03/26	3.981	3.981	3.981	3.981	3.981	6.745	3.981	3.981	3.981	3.981	3.981	3.981	6.745	3.981	3.981	3.981	6.745	3.981	3.981
2026/03/27	5.858	5.858	5.858	5.858	5.858	10.171	5.858	5.858	5.858	5.858	5.858	5.858	10.171	5.858	5.858	5.858	10.171	5.858	5.858
2026/03/28	3.588	3.588	3.588	3.588	3.588	7.694	3.588	3.588	3.588	3.588	3.588	3.588	7.694	3.588	3.588	3.588	7.694	3.588	3.588
2026/03/29	4.368	4.368	4.368	4.368	4.368	7.144	4.368	4.368	4.368	4.368	4.368	4.368	7.144	4.368	4.368	4.368	7.144	4.368	4.368
2026/03/30	5.227	5.227	5.227	5.227	5.227	7.422	5.227	5.227	5.227	5.227	5.227	5.227	7.422	5.227	5.227	5.227	7.422	5.227	5.227
2026/03/31	2.718	2.718	2.718	2.718	2.718	5.361	2.718	2.718	2.718	2.718	2.718	2.718	5.361	2.718	2.718	2.718	5.361	2.718	2.718
2026/04/01	1.484	1.484	1.484	1.484	1.484	4.158	1.484	1.484	1.484	1.484	1.484	1.484	4.158	1.484	1.484	1.484	4.158	1.484	1.484
2026/04/02	1.21	1.21	1.21	1.21	1.21	3.092	1.21	1.21	1.21	1.21	1.21	1.21	3.092	1.21	1.21	1.21	3.092	1.21	1.21
2026/04/03	1.097	1.097	1.097	1.097	1.097	2.254	1.097	1.097	1.097	1.097	1.097	1.097	2.254	1.097	1.097	1.097	2.254	1.097	1.097
