日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	姚江沿线大工业用水区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	海曙平原区	绍虞平原区	舟山大陆用水区	虞北平原上河区	虞北平原中河区	蜀山平原区	鄞州调水区	余姚平原马渚中河区
2026/03/03	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/04	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/05	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/06	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/07	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/08	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/09	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/10	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/11	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/12	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/13	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/14	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/15	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/16	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/17	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/18	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/19	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/20	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/21	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/22	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/23	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/24	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/25	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/26	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/27	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/28	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/29	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/30	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/03/31	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/04/01	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/04/02	5.41	6.45	7.09	6.73	5.58	29.82	0	12.64	18.98	21.83	5.48	0	15.38	0	7.73	0.62	2.71	0	1.23
2026/04/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
