日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	姚江沿线大工业用水区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	海曙平原区	绍虞平原区	舟山大陆用水区	虞北平原上河区	虞北平原中河区	蜀山平原区	鄞州调水区	余姚平原马渚中河区
2026/03/03	4.22	9.59	6.97	4.62	4.05	43.95	0	17.92	15.91	14.01	7.65	0	67.47	0	43.38	1.84	9.63	0	1.29
2026/03/04	0.0	0.0	0.0	0.0	0.0	6.76	0	0.0	0.0	0.0	0.0	0	10.38	0	0.0	0.0	1.48	0	0.0
2026/03/05	13.76	31.3	22.75	15.1	13.21	116.08	0	58.5	51.95	45.73	24.98	0	178.19	0	141.64	5.99	25.44	0	4.22
2026/03/06	0.37	0.85	0.61	0.41	0.36	3.38	0	1.58	1.4	1.24	0.68	0	5.19	0	3.83	0.16	0.74	0	0.11
2026/03/07	0.25	0.56	0.41	0.27	0.24	20.29	0	1.05	0.94	0.82	0.45	0	31.14	0	2.55	0.11	4.45	0	0.08
2026/03/08	2.36	5.36	3.89	2.58	2.26	52.97	0	10.01	8.89	7.83	4.28	0	81.31	0	24.24	1.03	11.61	0	0.72
2026/03/09	1.12	2.54	1.84	1.22	1.07	6.76	0	4.74	4.21	3.71	2.02	0	10.38	0	11.48	0.49	1.48	0	0.34
2026/03/10	2.36	5.36	3.89	2.58	2.26	75.16	0	10.01	8.89	7.83	4.28	0	111.23	0	24.24	1.03	14.58	0	0.72
2026/03/11	36.29	41.4	37.5	28.81	25.76	237.84	0	64.71	62.75	60.23	41.16	0	322.81	0	160.03	8.17	32.82	0	7.58
2026/03/12	22.72	21.11	20.84	16.75	15.06	90.41	0	30.03	30.6	30.64	22.87	0	125.45	0	75.21	4.22	13.73	0	4.33
2026/03/13	0.62	1.41	1.02	0.68	0.59	4.51	0	2.64	2.34	2.06	1.12	0	6.92	0	6.38	0.27	0.99	0	0.19
2026/03/14	0.74	1.69	1.23	0.82	0.71	22.54	0	3.16	2.81	2.47	1.35	0	34.6	0	7.66	0.32	4.94	0	0.23
2026/03/15	20.38	19.32	18.91	15.13	13.6	118.49	0	27.78	28.15	28.06	20.75	0	163.04	0	69.47	3.86	17.36	0	3.92
2026/03/16	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0
2026/03/17	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0
2026/03/18	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0
2026/03/19	0.0	0.0	0.0	0.0	0.0	14.65	0	0.0	0.0	0.0	0.0	0	22.49	0	0.0	0.0	3.21	0	0.0
2026/03/20	109.89	87.73	92.96	77.18	69.7	20.29	0	114.01	122.08	127.14	102.01	0	31.14	0	289.24	17.74	4.45	0	19.72
2026/03/21	98.99	79.4	83.94	69.62	62.87	429.75	0	103.51	110.65	115.07	92.12	0	579.69	0	262.48	16.05	57.67	0	17.8
2026/03/22	0.12	0.28	0.21	0.14	0.12	0.0	0	0.53	0.47	0.41	0.23	0	0.0	0	1.28	0.05	0.0	0	0.04
2026/03/23	1.74	3.95	2.87	1.9	1.67	0.0	0	7.38	6.55	5.77	3.15	0	0.0	0	17.86	0.76	0.0	0	0.53
2026/03/24	86.54	69.88	73.64	60.99	55.07	301.03	0	91.52	97.58	101.29	80.81	0	407.39	0	231.91	14.12	41.0	0	15.6
2026/03/25	0.12	0.28	0.21	0.14	0.12	5.63	0	0.53	0.47	0.41	0.23	0	8.65	0	1.28	0.05	1.23	0	0.04
2026/03/26	81.87	66.31	69.78	57.75	52.14	326.78	0	87.02	92.68	96.12	76.57	0	441.85	0	220.44	13.39	44.33	0	14.77
2026/03/27	95.1	76.42	80.72	66.93	60.43	296.35	0	99.76	106.56	110.77	88.58	0	401.13	0	252.93	15.44	40.39	0	17.11
2026/03/28	2.48	5.64	4.1	2.72	2.38	16.91	0	10.54	9.36	8.24	4.5	0	25.95	0	25.52	1.08	3.7	0	0.76
2026/03/29	49.96	41.92	43.38	35.63	32.14	144.23	0	56.28	59.19	60.8	47.6	0	197.5	0	142.09	8.44	20.7	0	9.14
2026/03/30	56.96	47.28	49.17	40.49	36.53	165.3	0	63.02	66.54	68.55	53.96	0	225.7	0	159.29	9.53	23.42	0	10.38
2026/03/31	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0
2026/04/01	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0
2026/04/02	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0
2026/04/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
