日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03	4.22	0.0	2.526	0.0	2.526	5.41	0.63	0.0651	5.4751	0.63	6.1051	-3.5791000000000004	550.0	0.0	-3.5791000000000004	0.0	0.0	0.0	0.0	3.5791000000000004	0.0	0.0	610.0	0.0	-3.5791000000000004	-3.5791000000000004	550.0	0.0	0.0	0.0	2.526
2026/03/04	0.0	0.0	1.463	0.0	1.463	5.41	0.63	0.0651	5.4751	0.63	6.1051	-4.6421	550.0	0.0	-4.6421	0.0	0.0	0.0	0.0	4.6421	0.0	0.0	610.0	0.0	-4.6421	-4.6421	550.0	0.0	0.0	0.0	1.463
2026/03/05	13.76	0.0	1.254	0.0	1.254	5.41	0.63	0.0651	5.4751	0.63	6.1051	-4.851100000000001	550.0	0.0	-4.851100000000001	0.0	0.0	0.0	0.0	4.851100000000001	0.0	0.0	610.0	0.0	-4.851100000000001	-4.851100000000001	550.0	0.0	0.0	0.0	1.254
2026/03/06	0.37	0.0	1.09	0.0	1.09	5.41	0.63	0.0651	5.4751	0.63	6.1051	-5.0151	550.0	0.0	-5.0151	0.0	0.0	0.0	0.0	5.0151	0.0	0.0	610.0	0.0	-5.0151	-5.0151	550.0	0.0	0.0	0.0	1.09
2026/03/07	0.25	0.0	0.959	0.0	0.959	5.41	0.63	0.0651	5.4751	0.63	6.1051	-5.146100000000001	550.0	0.0	-5.146100000000001	0.0	0.0	0.0	0.0	5.146100000000001	0.0	0.0	610.0	0.0	-5.146100000000001	-5.146100000000001	550.0	0.0	0.0	0.0	0.959
2026/03/08	2.36	0.0	0.866	0.0	0.866	5.41	0.63	0.0651	5.4751	0.63	6.1051	-5.2391000000000005	550.0	0.0	-5.2391000000000005	0.0	0.0	0.0	0.0	5.2391000000000005	0.0	0.0	610.0	0.0	-5.2391000000000005	-5.2391000000000005	550.0	0.0	0.0	0.0	0.866
2026/03/09	1.12	0.0	0.791	0.0	0.791	5.41	0.63	0.0651	5.4751	0.63	6.1051	-5.3141	550.0	0.0	-5.3141	0.0	0.0	0.0	0.0	5.3141	0.0	0.0	610.0	0.0	-5.3141	-5.3141	550.0	0.0	0.0	0.0	0.791
2026/03/10	2.36	0.0	0.738	0.0	0.738	5.41	0.63	0.0651	5.4751	0.63	6.1051	-5.367100000000001	550.0	0.0	-5.367100000000001	0.0	0.0	0.0	0.0	5.367100000000001	0.0	0.0	610.0	0.0	-5.367100000000001	-5.367100000000001	550.0	0.0	0.0	0.0	0.738
2026/03/11	36.29	0.0	0.778	0.0	0.778	5.41	0.63	0.0651	5.4751	0.63	6.1051	-5.3271	550.0	0.0	-5.3271	0.0	0.0	0.0	0.0	5.3271	0.0	0.0	610.0	0.0	-5.3271	-5.3271	550.0	0.0	0.0	0.0	0.778
2026/03/12	22.72	0.0	0.823	0.0	0.823	5.41	0.63	0.0651	5.4751	0.63	6.1051	-5.2821	550.0	0.0	-5.2821	0.0	0.0	0.0	0.0	5.2821	0.0	0.0	610.0	0.0	-5.2821	-5.2821	550.0	0.0	0.0	0.0	0.823
2026/03/13	0.62	0.0	0.83	0.0	0.83	5.41	0.63	0.0651	5.4751	0.63	6.1051	-5.2751	550.0	0.0	-5.2751	0.0	0.0	0.0	0.0	5.2751	0.0	0.0	610.0	0.0	-5.2751	-5.2751	550.0	0.0	0.0	0.0	0.83
2026/03/14	0.74	0.0	0.816	0.0	0.816	5.41	0.63	0.0651	5.4751	0.63	6.1051	-5.2891	550.0	0.0	-5.2891	0.0	0.0	0.0	0.0	5.2891	0.0	0.0	610.0	0.0	-5.2891	-5.2891	550.0	0.0	0.0	0.0	0.816
