日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03	0	8.964	2.526	0.0	11.49	0	11.49	0.0	0.0	11.49	11.49	0.0	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	0.0	0.0	0.0	0.0	0.0	1945.666666666667	0.0	0.0	0.0	1384.4246575342463	0.0	346.5753424657534	0.0	11.49
2026/03/04	0	10.027	1.463	0.0	11.490000000000002	0	11.49	0.0	0.0	11.49	11.49	1.7763568394002505e-15	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	0.0	0.0	0.0	0.0	0.0	1945.666666666667	0.0	1.7763568394002505e-15	1.7763568394002505e-15	1384.4246575342463	0.0	346.5753424657534	0.0	11.490000000000002
2026/03/05	0	10.236	1.254	0.0	11.49	0	11.49	0.0	0.0	11.49	11.49	0.0	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	0.0	0.0	0.0	0.0	0.0	1945.666666666667	0.0	0.0	0.0	1384.4246575342463	0.0	346.5753424657534	0.0	11.49
2026/03/06	0	10.4	1.09	0.0	11.49	0	11.49	0.0	0.0	11.49	11.49	0.0	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	0.0	0.0	0.0	0.0	0.0	1945.666666666667	0.0	0.0	0.0	1384.4246575342463	0.0	346.5753424657534	0.0	11.49
2026/03/07	0	10.531	0.959	0.0	11.49	0	11.49	0.0	0.0	11.49	11.49	0.0	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	0.0	0.0	0.0	0.0	0.0	1945.666666666667	0.0	0.0	0.0	1384.4246575342463	0.0	346.5753424657534	0.0	11.49
2026/03/08	0	10.624	0.866	0.0	11.49	0	11.49	0.0	0.0	11.49	11.49	0.0	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	0.0	0.0	0.0	0.0	0.0	1945.666666666667	0.0	0.0	0.0	1384.4246575342463	0.0	346.5753424657534	0.0	11.49
2026/03/09	0	10.699	0.791	0.0	11.49	0	11.49	0.0	0.0	11.49	11.49	0.0	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	0.0	0.0	0.0	0.0	0.0	1945.666666666667	0.0	0.0	0.0	1384.4246575342463	0.0	346.5753424657534	0.0	11.49
2026/03/10	0	10.752	0.738	0.0	11.49	0	11.49	0.0	0.0	11.49	11.49	0.0	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	0.0	0.0	0.0	0.0	0.0	1945.666666666667	0.0	0.0	0.0	1384.4246575342463	0.0	346.5753424657534	0.0	11.49
2026/03/11	0	10.712	0.778	0.0	11.49	0	11.49	0.0	0.0	11.49	11.49	0.0	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	0.0	0.0	0.0	0.0	0.0	1945.666666666667	0.0	0.0	0.0	1384.4246575342463	0.0	346.5753424657534	0.0	11.49
2026/03/12	0	10.667	0.823	0.0	11.49	0	11.49	0.0	0.0	11.49	11.49	0.0	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	346.5753424657534	0.0	0.0	0.0	0.0	0.0	1945.666666666667	0.0	0.0	0.0	1384.4246575342463	0.0	346.5753424657534	0.0	11.49
