日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03	7.65	0.0	2.526	0.0	2.526	5.48	1.66	59.5128	64.9928	1.66	66.6528	-64.1268	1158.0	205.6910569105691	141.5642569105691	205.6910569105691	205.6910569105691	0.0	0.0	64.1268	0.0	0.0	1391.0	0.0	-64.1268	-64.1268	952.3089430894308	0.0	205.6910569105691	0.0	2.526
2026/03/04	0.0	0.0	1.463	0.0	1.463	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.1898	1158.0	205.6910569105691	140.5012569105691	205.6910569105691	205.6910569105691	0.0	0.0	65.1898	0.0	0.0	1391.0	0.0	-65.1898	-65.1898	952.3089430894308	0.0	205.6910569105691	0.0	1.463
2026/03/05	24.98	0.0	1.254	0.0	1.254	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.3988	1158.0	205.6910569105691	140.2922569105691	205.6910569105691	205.6910569105691	0.0	0.0	65.3988	0.0	0.0	1391.0	0.0	-65.3988	-65.3988	952.3089430894308	0.0	205.6910569105691	0.0	1.254
2026/03/06	0.68	0.0	1.09	0.0	1.09	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.5628	1158.0	205.6910569105691	140.12825691056912	205.6910569105691	205.6910569105691	0.0	0.0	65.5628	0.0	0.0	1391.0	0.0	-65.5628	-65.5628	952.3089430894308	0.0	205.6910569105691	0.0	1.09
2026/03/07	0.45	0.0	0.959	0.0	0.959	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.6938	1158.0	205.6910569105691	139.9972569105691	205.6910569105691	205.6910569105691	0.0	0.0	65.6938	0.0	0.0	1391.0	0.0	-65.6938	-65.6938	952.3089430894308	0.0	205.6910569105691	0.0	0.959
2026/03/08	4.28	0.0	0.866	0.0	0.866	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.7868	1158.0	205.6910569105691	139.9042569105691	205.6910569105691	205.6910569105691	0.0	0.0	65.7868	0.0	0.0	1391.0	0.0	-65.7868	-65.7868	952.3089430894308	0.0	205.6910569105691	0.0	0.866
2026/03/09	2.02	0.0	0.791	0.0	0.791	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.8618	1158.0	205.6910569105691	139.8292569105691	205.6910569105691	205.6910569105691	0.0	0.0	65.8618	0.0	0.0	1391.0	0.0	-65.8618	-65.8618	952.3089430894308	0.0	205.6910569105691	0.0	0.791
2026/03/10	4.28	0.0	0.738	0.0	0.738	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.9148	1158.0	205.6910569105691	139.7762569105691	205.6910569105691	205.6910569105691	0.0	0.0	65.9148	0.0	0.0	1391.0	0.0	-65.9148	-65.9148	952.3089430894308	0.0	205.6910569105691	0.0	0.738
2026/03/11	41.16	0.0	0.778	0.0	0.778	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.8748	1158.0	205.6910569105691	139.8162569105691	205.6910569105691	205.6910569105691	0.0	0.0	65.8748	0.0	0.0	1391.0	0.0	-65.8748	-65.8748	952.3089430894308	0.0	205.6910569105691	0.0	0.778
2026/03/12	22.87	0.0	0.823	0.0	0.823	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.8298	1158.0	205.6910569105691	139.8612569105691	205.6910569105691	205.6910569105691	0.0	0.0	65.8298	0.0	0.0	1391.0	0.0	-65.8298	-65.8298	952.3089430894308	0.0	205.6910569105691	0.0	0.823
2026/03/13	1.12	0.0	0.83	0.0	0.83	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.8228	1158.0	205.6910569105691	139.8682569105691	205.6910569105691	205.6910569105691	0.0	0.0	65.8228	0.0	0.0	1391.0	0.0	-65.8228	-65.8228	952.3089430894308	0.0	205.6910569105691	0.0	0.83
2026/03/14	1.35	0.0	0.816	0.0	0.816	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.8368	1158.0	205.6910569105691	139.85425691056912	205.6910569105691	205.6910569105691	0.0	0.0	65.8368	0.0	0.0	1391.0	0.0	-65.8368	-65.8368	952.3089430894308	0.0	205.6910569105691	0.0	0.816
2026/03/15	20.75	0.0	0.827	0.0	0.827	5.48	1.66	59.5128	64.9928	1.66	66.6528	-65.8258	1158.0	205.6910569105691	139.8652569105691	205.6910569105691	205.6910569105691	0.0	0.0	65.8258	0.0	0.0	1391.0	0.0	-65.8258	-65.8258	952.3089430894308	0.0	205.6910569105691	0.0	0.827
