日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03	67.47	105.065	2.953	0.0	108.018	15.38	6.36	86.278	101.658	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0	0.0	108.018
2026/03/04	10.38	105.241	2.777	0.0	108.018	15.38	6.36	86.278	101.658	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0	0.0	108.018
2026/03/05	178.19	105.768	2.25	0.0	108.018	15.38	6.36	86.278	101.658	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0	0.0	108.018
2026/03/06	5.19	106.302	1.716	0.0	108.018	15.38	6.36	86.278	101.658	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0	0.0	108.018
2026/03/07	31.14	106.66	1.358	0.0	108.018	15.38	6.36	86.278	101.658	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0	0.0	108.018
2026/03/08	81.31	106.757	1.261	0.0	108.018	15.38	6.36	86.278	101.658	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0	0.0	108.018
2026/03/09	10.38	106.962	1.056	0.0	108.018	15.38	6.36	86.278	101.658	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0	0.0	108.018
2026/03/10	111.23	106.883	1.135	0.0	108.018	15.38	6.36	86.278	101.658	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0	0.0	108.018
2026/03/11	322.81	106.343	1.675	0.0	108.018	15.38	6.36	86.278	101.658	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0	0.0	108.018
2026/03/12	125.45	106.116	1.902	0.0	108.018	15.38	6.36	86.278	101.658	6.36	108.018	0.0	27900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30180.0	0.0	0.0	0.0	27900.0	0.0	0.0	0.0	108.018
