日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03	1.84	2.0	2.526	0.0	4.526	0.62	0.57	0.011	0.631	0.57	1.201	3.3249999999999997	635.0	0.0	3.3249999999999997	3.3249999999999997	3.3249999999999997	0.0	0.0	0.0	0.0	0.0	702.3333333333333	0.0	3.3249999999999997	3.3249999999999997	631.675	0.0	3.3249999999999997	0.0	4.526
2026/03/04	0.0	2.0	1.463	0.0	3.463	0.62	0.57	0.011	0.631	0.57	1.201	2.262	635.0	3.3249999999999997	5.587	5.587	5.587	0.0	0.0	0.0	0.0	0.0	702.3333333333333	0.0	2.262	2.262	629.413	0.0	5.587	0.0	3.463
2026/03/05	5.99	2.0	1.254	0.0	3.254	0.62	0.57	0.011	0.631	0.57	1.201	2.053	635.0	5.587	7.64	7.64	7.64	0.0	0.0	0.0	0.0	0.0	702.3333333333333	0.0	2.053	2.053	627.36	0.0	7.64	0.0	3.254
2026/03/06	0.16	2.0	1.09	0.0	3.09	0.62	0.57	0.011	0.631	0.57	1.201	1.889	635.0	7.64	9.529	9.529	9.529	0.0	0.0	0.0	0.0	0.0	702.3333333333333	0.0	1.889	1.889	625.471	0.0	9.529	0.0	3.09
2026/03/07	0.11	2.0	0.959	0.0	2.959	0.62	0.57	0.011	0.631	0.57	1.201	1.758	635.0	9.529	11.287	11.287	11.287	0.0	0.0	0.0	0.0	0.0	702.3333333333333	0.0	1.758	1.758	623.713	0.0	11.287	0.0	2.959
2026/03/08	1.03	2.0	0.866	0.0	2.866	0.62	0.57	0.011	0.631	0.57	1.201	1.665	635.0	11.287	12.951999999999998	12.951999999999998	12.951999999999998	0.0	0.0	0.0	0.0	0.0	702.3333333333333	0.0	1.665	1.665	622.048	0.0	12.951999999999998	0.0	2.866
2026/03/09	0.49	2.0	0.791	0.0	2.791	0.62	0.57	0.011	0.631	0.57	1.201	1.59	635.0	12.951999999999998	14.541999999999998	14.541999999999998	14.541999999999998	0.0	0.0	0.0	0.0	0.0	702.3333333333333	0.0	1.59	1.59	620.458	0.0	14.541999999999998	0.0	2.791
2026/03/10	1.03	2.0	0.738	0.0	2.738	0.62	0.57	0.011	0.631	0.57	1.201	1.537	635.0	14.541999999999998	16.078999999999997	16.078999999999997	16.078999999999997	0.0	0.0	0.0	0.0	0.0	702.3333333333333	0.0	1.537	1.537	618.921	0.0	16.078999999999997	0.0	2.738
2026/03/11	8.17	2.0	0.778	0.0	2.778	0.62	0.57	0.011	0.631	0.57	1.201	1.577	635.0	16.078999999999997	17.656	17.656	17.656	0.0	0.0	0.0	0.0	0.0	702.3333333333333	0.0	1.577	1.577	617.344	0.0	17.656	0.0	2.778
2026/03/12	4.22	2.0	0.823	0.0	2.823	0.62	0.57	0.011	0.631	0.57	1.201	1.622	635.0	17.656	19.278	19.278	19.278	0.0	0.0	0.0	0.0	0.0	702.3333333333333	0.0	1.622	1.622	615.722	0.0	19.278	0.0	2.823
