日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03	4.62	0.0	2.526	4.407	6.933	6.73	2.91	1.3781	8.1081	2.91	11.0181	-4.085100000000001	3006.0	757.3426573426573	753.2575573426573	757.3426573426573	757.3426573426573	0.0	0.0	4.085100000000001	0.0	0.0	3497.0	0.0	-4.085100000000001	-4.085100000000001	2248.6573426573427	0.0	757.3426573426573	0.0	6.933
2026/03/04	0.0	0.0	1.463	4.407	5.87	6.73	2.91	1.3781	8.1081	2.91	11.0181	-5.1481	3006.0	757.3426573426573	752.1945573426573	757.3426573426573	757.3426573426573	0.0	0.0	5.1481	0.0	0.0	3497.0	0.0	-5.1481	-5.1481	2248.6573426573427	0.0	757.3426573426573	0.0	5.87
2026/03/05	15.1	0.0	1.254	4.407	5.661	6.73	2.91	1.3781	8.1081	2.91	11.0181	-5.357100000000001	3006.0	757.3426573426573	751.9855573426573	757.3426573426573	757.3426573426573	0.0	0.0	5.357100000000001	0.0	0.0	3497.0	0.0	-5.357100000000001	-5.357100000000001	2248.6573426573427	0.0	757.3426573426573	0.0	5.661
2026/03/06	0.41	0.0	1.09	4.407	5.497	6.73	2.91	1.3781	8.1081	2.91	11.0181	-5.521100000000001	3006.0	757.3426573426573	751.8215573426572	757.3426573426573	757.3426573426573	0.0	0.0	5.521100000000001	0.0	0.0	3497.0	0.0	-5.521100000000001	-5.521100000000001	2248.6573426573427	0.0	757.3426573426573	0.0	5.497
2026/03/07	0.27	0.0	0.959	4.407	5.366	6.73	2.91	1.3781	8.1081	2.91	11.0181	-5.652100000000001	3006.0	757.3426573426573	751.6905573426573	757.3426573426573	757.3426573426573	0.0	0.0	5.652100000000001	0.0	0.0	3497.0	0.0	-5.652100000000001	-5.652100000000001	2248.6573426573427	0.0	757.3426573426573	0.0	5.366
2026/03/08	2.58	0.0	0.866	4.407	5.273	6.73	2.91	1.3781	8.1081	2.91	11.0181	-5.745100000000001	3006.0	757.3426573426573	751.5975573426573	757.3426573426573	757.3426573426573	0.0	0.0	5.745100000000001	0.0	0.0	3497.0	0.0	-5.745100000000001	-5.745100000000001	2248.6573426573427	0.0	757.3426573426573	0.0	5.273
2026/03/09	1.22	0.0	0.791	4.407	5.198	6.73	2.91	1.3781	8.1081	2.91	11.0181	-5.8201	3006.0	757.3426573426573	751.5225573426573	757.3426573426573	757.3426573426573	0.0	0.0	5.8201	0.0	0.0	3497.0	0.0	-5.8201	-5.8201	2248.6573426573427	0.0	757.3426573426573	0.0	5.198
2026/03/10	2.58	0.0	0.738	4.407	5.145	6.73	2.91	1.3781	8.1081	2.91	11.0181	-5.873100000000001	3006.0	757.3426573426573	751.4695573426573	757.3426573426573	757.3426573426573	0.0	0.0	5.873100000000001	0.0	0.0	3497.0	0.0	-5.873100000000001	-5.873100000000001	2248.6573426573427	0.0	757.3426573426573	0.0	5.145
2026/03/11	28.81	0.0	0.778	4.407	5.1850000000000005	6.73	2.91	1.3781	8.1081	2.91	11.0181	-5.8331	3006.0	757.3426573426573	751.5095573426573	757.3426573426573	757.3426573426573	0.0	0.0	5.8331	0.0	0.0	3497.0	0.0	-5.8331	-5.8331	2248.6573426573427	0.0	757.3426573426573	0.0	5.1850000000000005
2026/03/12	16.75	0.0	0.823	4.407	5.23	6.73	2.91	1.3781	8.1081	2.91	11.0181	-5.7881	3006.0	757.3426573426573	751.5545573426573	757.3426573426573	757.3426573426573	0.0	0.0	5.7881	0.0	0.0	3497.0	0.0	-5.7881	-5.7881	2248.6573426573427	0.0	757.3426573426573	0.0	5.23
