日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	绍虞平原区	虞北平原上河区	虞北平原中河区	蜀山平原区	余姚平原马渚中河区
2025/06/15	156.05	7.21	121.12	51.26	62.27	16.28	1.52	5.32	11.77	94.16	239.53	117.32	23.92	0.77	32.65
2025/06/16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/06/17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/06/18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/06/19	0.00	0.00	0.00	0.00	0.00	5.75	0.00	0.00	0.00	0.00	84.66	0.00	0.00	0.27	0.00
2025/06/20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/06/21	64.83	3.00	50.32	21.30	25.87	0.00	0.63	2.21	4.89	39.12	0.00	48.74	9.94	0.00	13.56
2025/06/22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/06/23	0.00	0.00	0.00	0.00	0.00	5.18	0.00	0.00	0.00	0.00	76.16	0.00	0.00	0.25	0.00
2025/06/24	0.00	0.00	0.00	0.00	0.00	0.70	0.00	0.00	0.00	0.00	10.27	0.00	0.00	0.03	0.00
2025/06/25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/06/26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/06/27	64.01	2.96	49.68	21.03	25.54	2.87	0.62	2.18	4.83	38.62	42.20	48.12	9.81	0.14	13.39
2025/06/28	0.00	0.00	0.00	0.00	0.00	2.77	0.00	0.00	0.00	0.00	40.81	0.00	0.00	0.13	0.00
2025/06/29	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	10.18	0.00	0.00	0.03	0.00
2025/06/30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/07/01	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00	8.32	0.00	0.00	0.03	0.00
2025/07/02	0.00	0.00	0.00	0.00	0.00	2.77	0.00	0.00	0.00	0.00	40.81	0.00	0.00	0.13	0.00
2025/07/03	62.94	2.91	48.85	20.67	25.11	2.77	0.61	2.14	4.75	37.98	40.73	47.32	9.65	0.13	13.17
2025/07/04	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	10.18	0.00	0.00	0.03	0.00
2025/07/05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/07/06	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	10.18	0.00	0.00	0.03	0.00
2025/07/07	0.00	0.00	0.00	0.00	0.00	2.77	0.00	0.00	0.00	0.00	40.73	0.00	0.00	0.13	0.00
2025/07/08	0.00	0.00	0.00	0.00	0.00	2.08	0.00	0.00	0.00	0.00	30.54	0.00	0.00	0.10	0.00
2025/07/09	43.98	2.03	34.14	14.45	17.55	0.00	0.43	1.50	3.32	26.54	0.00	33.07	6.74	0.00	9.20
2025/07/10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/07/11	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	10.18	0.00	0.00	0.03	0.00
