日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	绍虞平原区	虞北平原上河区	虞北平原中河区	蜀山平原区	余姚平原马渚中河区
2025/06/15	-26.88	-26.88	-26.89	-26.89	-26.89	-28.05	-26.89	-26.89	-26.89	-26.88	-28.05	-26.89	-26.88	-28.05	-26.88
2025/06/16	28.11	28.12	28.12	28.11	28.11	26.95	28.12	28.11	28.11	28.11	26.95	28.11	28.12	26.96	28.12
2025/06/17	24.18	24.18	24.18	24.18	24.18	21.84	24.18	24.18	24.18	24.18	21.84	24.18	24.18	21.84	24.18
2025/06/18	20.25	20.25	20.25	20.25	20.25	16.71	20.25	20.25	20.25	20.25	16.71	20.25	20.25	16.71	20.25
2025/06/19	16.24	16.24	16.24	16.24	16.24	11.46	16.24	16.24	16.24	16.24	11.46	16.24	16.24	11.46	16.24
2025/06/20	12.29	12.29	12.29	12.29	12.29	26.85	12.29	12.29	12.29	12.29	26.85	12.29	12.29	26.85	12.29
2025/06/21	8.34	8.34	8.34	8.34	8.34	21.70	8.34	8.34	8.34	8.34	21.70	8.34	8.34	21.70	8.34
2025/06/22	28.05	28.05	28.05	28.05	28.05	16.57	28.05	28.05	28.05	28.05	16.57	28.05	28.05	16.57	28.05
2025/06/23	24.13	24.13	24.13	24.13	24.13	11.46	24.13	24.13	24.13	24.13	11.46	24.13	24.13	11.46	24.13
2025/06/24	20.21	20.21	20.22	20.22	20.22	24.85	20.22	20.22	20.22	20.22	24.85	20.22	20.22	24.85	20.22
2025/06/25	16.32	16.32	16.32	16.32	16.32	22.28	16.32	16.32	16.32	16.32	22.28	16.32	16.32	22.28	16.32
2025/06/26	12.43	12.43	12.43	12.43	12.43	17.23	12.43	12.43	12.43	12.43	17.23	12.43	12.43	17.23	12.43
2025/06/27	8.56	8.56	8.56	8.56	8.56	12.21	8.56	8.56	8.56	8.56	12.21	8.56	8.56	12.21	8.56
2025/06/28	28.05	28.05	28.05	28.05	28.05	17.44	28.05	28.05	28.05	28.05	17.44	28.05	28.05	17.44	28.05
2025/06/29	24.20	24.20	24.20	24.20	24.20	22.36	24.20	24.20	24.20	24.20	22.36	24.20	24.20	22.36	24.20
2025/06/30	20.50	20.50	20.50	20.50	20.50	20.08	20.50	20.50	20.50	20.50	20.08	20.50	20.50	20.08	20.50
2025/07/01	16.68	16.68	16.68	16.68	16.68	15.14	16.68	16.68	16.68	16.68	15.14	16.68	16.68	15.14	16.68
2025/07/02	12.86	12.86	12.86	12.86	12.86	12.22	12.86	12.86	12.86	12.86	12.22	12.86	12.86	12.22	12.86
2025/07/03	9.04	9.04	9.04	9.04	9.04	17.18	9.04	9.04	9.04	9.04	17.18	9.04	9.04	17.18	9.04
2025/07/04	28.18	28.18	28.18	28.18	28.18	22.12	28.18	28.18	28.18	28.18	22.12	28.18	28.18	22.12	28.18
2025/07/05	24.36	24.36	24.36	24.36	24.36	19.65	24.36	24.36	24.36	24.36	19.65	24.36	24.36	19.65	24.36
2025/07/06	20.54	20.54	20.54	20.54	20.54	14.71	20.54	20.54	20.54	20.54	14.71	20.54	20.54	14.71	20.54
2025/07/07	16.72	16.72	16.72	16.72	16.72	12.24	16.72	16.72	16.72	16.72	12.24	16.72	16.72	12.24	16.72
2025/07/08	12.43	12.43	12.43	12.43	12.43	16.66	12.43	12.43	12.43	12.43	16.66	12.43	12.43	16.66	12.43
2025/07/09	8.60	8.60	8.60	8.60	8.60	19.38	8.60	8.60	8.60	8.60	19.38	8.60	8.60	19.38	8.60
2025/07/10	21.05	21.05	21.05	21.05	21.05	13.19	21.05	21.05	21.05	21.05	13.19	21.05	21.05	13.19	21.05
2025/07/11	15.85	15.85	15.85	15.85	15.85	7.80	15.85	15.85	15.85	15.85	7.80	15.85	15.85	7.80	15.85
2025/07/12	11.31	11.31	11.31	11.31	11.31	5.72	11.31	11.31	11.31	11.31	5.72	11.31	11.31	5.72	11.31
2025/07/13	7.55	7.55	7.55	7.55	7.55	9.45	7.55	7.55	7.55	7.55	9.45	7.55	7.55	9.45	7.55
2025/07/14	4.32	4.32	4.32	4.32	4.32	4.46	4.32	4.32	4.32	4.32	4.46	4.32	4.32	4.46	4.32
2025/07/15	6.09	6.09	6.09	6.09	6.09	5.05	6.09	6.09	6.09	6.09	5.05	6.09	6.09	5.05	6.09
2025/07/16	11.14	11.14	11.14	11.14	11.14	7.65	11.14	11.14	11.14	11.14	7.65	11.14	11.14	7.65	11.14
2025/07/17	11.57	11.57	11.57	11.57	11.57	9.47	11.57	11.57	11.57	11.57	9.47	11.57	11.57	9.47	11.57
2025/07/18	13.58	13.58	13.58	13.58	13.58	11.24	13.58	13.58	13.58	13.58	11.24	13.58	13.58	11.24	13.58
2025/07/19	15.69	15.69	15.69	15.69	15.69	13.04	15.69	15.69	15.69	15.69	13.04	15.69	15.69	13.04	15.69
2025/07/20	17.65	17.65	17.65	17.65	17.65	17.04	17.65	17.65	17.65	17.65	17.04	17.65	17.65	17.04	17.65
2025/07/21	19.58	19.58	19.58	19.58	19.58	20.63	19.58	19.58	19.58	19.58	20.63	19.58	19.58	20.63	19.58
2025/07/22	21.29	21.29	21.29	21.29	21.29	23.98	21.29	21.29	21.29	21.29	23.98	21.29	21.29	23.98	21.29
2025/07/23	22.60	22.60	22.60	22.60	22.60	26.67	22.60	22.60	22.60	22.60	26.67	22.60	22.60	26.67	22.60
2025/07/24	23.85	23.85	23.85	23.85	23.85	29.70	23.85	23.85	23.85	23.85	29.70	23.85	23.85	29.70	23.85
2025/07/25	22.85	22.85	22.85	22.85	22.85	27.65	22.85	22.85	22.85	22.85	27.65	22.85	22.85	27.65	22.85
2025/07/26	21.85	21.85	21.85	21.85	21.85	25.60	21.85	21.85	21.85	21.85	25.60	21.85	21.85	25.60	21.85
2025/07/27	20.85	20.85	20.85	20.85	20.85	23.55	20.85	20.85	20.85	20.85	23.55	20.85	20.85	23.55	20.85
2025/07/28	19.82	19.82	19.82	19.82	19.82	23.78	19.82	19.82	19.82	19.82	23.78	19.82	19.82	23.78	19.82
2025/07/29	18.77	18.77	18.77	18.77	18.77	23.97	18.77	18.77	18.77	18.77	23.97	18.77	18.77	23.97	18.77
2025/07/30	17.69	17.69	17.69	17.69	17.69	22.06	17.69	17.69	17.69	17.69	22.06	17.69	17.69	22.06	17.69
