日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	绍虞平原区	虞北平原上河区	虞北平原中河区	蜀山平原区	余姚平原马渚中河区
2025/06/15	-25.65	-25.65	-25.65	-25.65	-25.65	-26.05	-25.65	-25.65	-25.65	-25.65	-26.05	-25.65	-25.65	-26.05	-25.65
2025/06/16	-26.30	-26.30	-26.30	-26.30	-26.30	-27.10	-26.30	-26.30	-26.30	-26.30	-27.10	-26.30	-26.30	-27.10	-26.30
2025/06/17	-26.95	-26.95	-26.95	-26.95	-26.95	-28.15	-26.95	-26.95	-26.95	-26.95	-28.15	-26.95	-26.95	-28.15	-26.95
2025/06/18	-27.60	-27.60	-27.60	-27.60	-27.60	-29.20	-27.60	-27.60	-27.60	-27.60	-29.20	-27.60	-27.60	-29.20	-27.60
2025/06/19	-28.25	-28.25	-28.25	-28.25	-28.25	-30.25	-28.25	-28.25	-28.25	-28.25	-30.25	-28.25	-28.25	-30.25	-28.25
2025/06/20	-28.90	-28.90	-28.90	-28.90	-28.90	-31.30	-28.90	-28.90	-28.90	-28.90	-31.30	-28.90	-28.90	-31.30	-28.90
2025/06/21	-29.55	-29.55	-29.55	-29.55	-29.55	-32.35	-29.55	-29.55	-29.55	-29.55	-32.35	-29.55	-29.55	-32.35	-29.55
2025/06/22	-30.20	-30.20	-30.20	-30.20	-30.20	-33.40	-30.20	-30.20	-30.20	-30.20	-33.40	-30.20	-30.20	-33.40	-30.20
2025/06/23	-30.85	-30.85	-30.85	-30.85	-30.85	-34.45	-30.85	-30.85	-30.85	-30.85	-34.45	-30.85	-30.85	-34.45	-30.85
2025/06/24	-31.50	-31.50	-31.50	-31.50	-31.50	-35.50	-31.50	-31.50	-31.50	-31.50	-35.50	-31.50	-31.50	-35.50	-31.50
2025/06/25	-32.15	-32.15	-32.15	-32.15	-32.15	-36.55	-32.15	-32.15	-32.15	-32.15	-36.55	-32.15	-32.15	-36.55	-32.15
2025/06/26	-32.80	-32.80	-32.80	-32.80	-32.80	-37.60	-32.80	-32.80	-32.80	-32.80	-37.60	-32.80	-32.80	-37.60	-32.80
2025/06/27	-33.45	-33.45	-33.45	-33.45	-33.45	-38.65	-33.45	-33.45	-33.45	-33.45	-38.65	-33.45	-33.45	-38.65	-33.45
2025/06/28	-34.10	-34.10	-34.10	-34.10	-34.10	-39.70	-34.10	-34.10	-34.10	-34.10	-39.70	-34.10	-34.10	-39.70	-34.10
2025/06/29	-34.75	-34.75	-34.75	-34.75	-34.75	-40.75	-34.75	-34.75	-34.75	-34.75	-40.75	-34.75	-34.75	-40.75	-34.75
2025/06/30	-35.40	-35.40	-35.40	-35.40	-35.40	-41.80	-35.40	-35.40	-35.40	-35.40	-41.80	-35.40	-35.40	-41.80	-35.40
2025/07/01	-36.05	-36.05	-36.05	-36.05	-36.05	-42.85	-36.05	-36.05	-36.05	-36.05	-42.85	-36.05	-36.05	-42.85	-36.05
2025/07/02	-36.70	-36.70	-36.70	-36.70	-36.70	-43.90	-36.70	-36.70	-36.70	-36.70	-43.90	-36.70	-36.70	-43.90	-36.70
2025/07/03	-37.35	-37.35	-37.35	-37.35	-37.35	-44.95	-37.35	-37.35	-37.35	-37.35	-44.95	-37.35	-37.35	-44.95	-37.35
2025/07/04	-38.00	-38.00	-38.00	-38.00	-38.00	-46.00	-38.00	-38.00	-38.00	-38.00	-46.00	-38.00	-38.00	-46.00	-38.00
2025/07/05	-38.65	-38.65	-38.65	-38.65	-38.65	-26.05	-38.65	-38.65	-38.65	-38.65	-26.05	-38.65	-38.65	-26.05	-38.65
2025/07/06	-39.30	-39.30	-39.30	-39.30	-39.30	-27.10	-39.30	-39.30	-39.30	-39.30	-27.10	-39.30	-39.30	-27.10	-39.30
2025/07/07	-32.02	-32.02	-32.02	-32.02	-32.02	-21.44	-32.02	-32.02	-32.02	-32.02	-21.44	-32.02	-32.02	-21.44	-32.02
2025/07/08	-24.94	-24.94	-24.94	-24.94	-24.94	-15.98	-24.94	-24.94	-24.94	-24.94	-15.98	-24.94	-24.94	-15.98	-24.94
2025/07/09	-18.06	-18.06	-18.06	-18.06	-18.06	-10.72	-18.06	-18.06	-18.06	-18.06	-10.72	-18.06	-18.06	-10.72	-18.06
2025/07/10	-11.38	-11.38	-11.38	-11.38	-11.38	-5.66	-11.38	-11.38	-11.38	-11.38	-5.66	-11.38	-11.38	-5.66	-11.38
