# ============================================================
# 文件名称: in_dry_crop_area.txt
# 文件作用: 旱地作物种植面积
# 数据说明: 各灌区旱地作物种植面积和保证率配置（手动维护）
# 单位说明: 面积(km²)；保证率(50/75/90)
# 数据来源: 用户配置
# ============================================================
平原名称	灌溉保证率	小麦	油菜	蔬菜	瓜果	豆类	单季稻	双季稻
丰惠平原区	90	4.32	0.0	1.0	0.5	0.0	38.019	27.414
余姚平原上河区	90	3.3	0.0	0.8	0.4	0.0	30.015	1.267
余姚平原下河区	90	3.41	0.0	0.8	0.4	0.0	22.611	21.277
余姚平原姚江上游区	90	8.83	0.0	2.0	1.0	0.0	31.349	9.005
余姚平原姚江下游区	90	5.51	0.0	1.2	0.6	0.0	25.946	10.939
南沙平原区	90	21.98	0.0	5.0	2.5	0.0	118.526	2.801
姚江沿线大工业用水区	90	0.0	0.0	0.0	0.0	0.0	0.0	0.0
慈溪平原西河区	90	93.36	0.0	20.0	10.0	0.0	22.011	0.267
慈溪平原中河区	90	84.59	0.0	18.0	9.0	0.0	33.95	0.934
慈溪平原东河区	90	73.32	0.0	15.0	8.0	0.0	42.888	2.068
江北镇海平原区	90	2.89	0.0	0.6	0.3	0.0	31.616	16.542
海曙平原区	90	0.0	0.0	0.0	0.0	0.0	0.0	0.0
绍虞平原区	90	35.91	0.0	8.0	4.0	0.0	99.05	41.221
舟山大陆用水区	90	0.0	0.0	0.0	0.0	0.0	0.0	0.0
虞北平原上河区	90	48.78	0.0	10.0	5.0	0.0	42.888	20.61
虞北平原中河区	90	1.28	0.0	0.3	0.1	0.0	2.468	4.202
蜀山平原区	90	5.97	0.0	1.2	0.6	0.0	5.469	0.133
鄞州调水区	90	0.0	0.0	0.0	0.0	0.0	0.0	0.0
余姚平原马渚中河区	90	0.748	0.039	0.2	0.1	0.0	4.202	5.736
