日期	平原产水	其他外供	河网供水	水库供水	合计来水
2026/03/03	4.05	0.0	2.526	0.95	3.476
2026/03/04	0.0	0.0	1.463	0.95	2.4130000000000003
2026/03/05	13.21	0.0	1.254	0.95	2.2039999999999997
2026/03/06	0.36	0.0	1.09	0.95	2.04
2026/03/07	0.24	0.0	0.959	0.95	1.9089999999999998
2026/03/08	2.26	0.0	0.866	0.95	1.8159999999999998
2026/03/09	1.07	0.0	0.791	0.95	1.741
2026/03/10	2.26	0.0	0.738	0.95	1.688
2026/03/11	25.76	0.0	0.778	0.95	1.728
2026/03/12	15.06	0.0	0.823	0.95	1.773
2026/03/13	0.59	0.0	0.83	0.95	1.7799999999999998
2026/03/14	0.71	0.0	0.816	0.95	1.766
2026/03/15	13.6	0.0	0.827	0.95	1.777
2026/03/16	0.0	0.0	0.809	0.95	1.759
2026/03/17	0.0	0.0	0.775	0.95	1.725
2026/03/18	0.0	0.0	0.731	0.95	1.681
2026/03/19	0.0	0.0	0.684	0.95	1.634
2026/03/20	69.7	0.0	1.159	0.95	2.109
2026/03/21	62.87	0.0	3.359	0.95	4.309
2026/03/22	0.12	0.0	1.727	0.95	2.677
2026/03/23	1.67	0.0	1.213	0.95	2.1630000000000003
2026/03/24	55.07	0.0	3.487	0.95	4.437
2026/03/25	0.12	0.0	1.823	0.95	2.7729999999999997
2026/03/26	52.14	0.0	3.981	0.95	4.931
2026/03/27	60.43	0.0	5.858	0.95	6.808
2026/03/28	2.38	0.0	3.588	0.95	4.538
2026/03/29	32.14	0.0	4.368	0.95	5.3180000000000005
2026/03/30	36.53	0.0	5.227	0.95	6.1770000000000005
2026/03/31	0.0	0.0	2.718	0.95	3.668
2026/04/01	0.0	0.0	1.484	0.95	2.434
2026/04/02	0.0	0.0	1.21	0.95	2.16
2026/04/03	0.0	0.0	1.097	0.95	2.0469999999999997
