日期	平原产水	其他外供	河网供水	水库供水	合计来水
2026/03/03	0	8.964	2.526	0.0	11.49
2026/03/04	0	10.027000000000001	1.463	0.0	11.490000000000002
2026/03/05	0	10.236	1.254	0.0	11.49
2026/03/06	0	10.4	1.09	0.0	11.49
2026/03/07	0	10.531	0.959	0.0	11.49
2026/03/08	0	10.624	0.866	0.0	11.49
2026/03/09	0	10.699	0.791	0.0	11.49
2026/03/10	0	10.752	0.738	0.0	11.49
2026/03/11	0	10.712	0.778	0.0	11.49
2026/03/12	0	10.667	0.823	0.0	11.49
2026/03/13	0	10.66	0.83	0.0	11.49
2026/03/14	0	10.674	0.816	0.0	11.49
2026/03/15	0	10.663	0.827	0.0	11.49
2026/03/16	0	10.681000000000001	0.809	0.0	11.49
2026/03/17	0	10.715	0.775	0.0	11.49
2026/03/18	0	10.759	0.731	0.0	11.49
2026/03/19	0	10.806000000000001	0.684	0.0	11.49
2026/03/20	0	10.331	1.159	0.0	11.49
2026/03/21	0	8.131	3.359	0.0	11.49
2026/03/22	0	9.763	1.727	0.0	11.49
2026/03/23	0	10.277000000000001	1.213	0.0	11.490000000000002
2026/03/24	0	8.003	3.487	0.0	11.49
2026/03/25	0	9.667	1.823	0.0	11.49
2026/03/26	0	7.509	3.981	0.0	11.49
2026/03/27	0	5.632000000000001	5.858	0.0	11.49
2026/03/28	0	7.902	3.588	0.0	11.49
2026/03/29	0	7.122	4.368	0.0	11.49
2026/03/30	0	6.263	5.227	0.0	11.49
2026/03/31	0	8.772	2.718	0.0	11.49
2026/04/01	0	10.006	1.484	0.0	11.49
2026/04/02	0	10.280000000000001	1.21	0.0	11.490000000000002
2026/04/03	0	10.393	1.097	0.0	11.49
