日期	平原产水	其他外供	河网供水	水库供水	合计来水
2026/03/03	67.47	105.065	2.953	0.0	108.018
2026/03/04	10.38	105.241	2.777	0.0	108.018
2026/03/05	178.19	105.768	2.25	0.0	108.018
2026/03/06	5.19	106.302	1.716	0.0	108.018
2026/03/07	31.14	106.66	1.358	0.0	108.018
2026/03/08	81.31	106.757	1.261	0.0	108.018
2026/03/09	10.38	106.962	1.056	0.0	108.018
2026/03/10	111.23	106.883	1.135	0.0	108.018
2026/03/11	322.81	106.343	1.675	0.0	108.018
2026/03/12	125.45	106.116	1.902	0.0	108.018
2026/03/13	6.92	106.342	1.676	0.0	108.018
2026/03/14	34.6	106.534	1.484	0.0	108.018
2026/03/15	163.04	106.32900000000001	1.689	0.0	108.018
2026/03/16	0.0	106.554	1.464	0.0	108.018
2026/03/17	0.0	106.862	1.156	0.0	108.018
2026/03/18	0.0	107.14	0.878	0.0	108.018
2026/03/19	22.49	107.243	0.775	0.0	108.018
2026/03/20	31.14	107.229	0.789	0.0	108.018
2026/03/21	579.69	104.742	3.276	0.0	108.018
2026/03/22	0.0	104.593	3.425	0.0	108.018
2026/03/23	0.0	105.141	2.877	0.0	108.018
2026/03/24	407.39	103.332	4.686	0.0	108.018
2026/03/25	8.65	103.538	4.48	0.0	108.018
2026/03/26	441.85	101.273	6.745	0.0	108.018
2026/03/27	401.13	97.84700000000001	10.171	0.0	108.018
2026/03/28	25.95	100.324	7.694	0.0	108.018
2026/03/29	197.5	100.874	7.144	0.0	108.018
2026/03/30	225.7	100.596	7.422	0.0	108.018
2026/03/31	0.0	102.657	5.361	0.0	108.018
2026/04/01	0.0	105.6	4.158	0.0	109.758
2026/04/02	0.0	106.666	3.092	0.0	109.758
2026/04/03	0.0	92.124	2.254	0.0	94.378
