日期	平原产水	其他外供	河网供水	水库供水	合计来水
2026/03/03	43.38	10.0	2.526	0.0	12.526
2026/03/04	0.0	10.0	1.463	0.0	11.463000000000001
2026/03/05	141.64	10.0	1.254	0.0	11.254
2026/03/06	3.83	10.0	1.09	0.0	11.09
2026/03/07	2.55	10.0	0.959	0.0	10.959
2026/03/08	24.24	10.0	0.866	0.0	10.866
2026/03/09	11.48	10.0	0.791	0.0	10.791
2026/03/10	24.24	10.0	0.738	0.0	10.738
2026/03/11	160.03	10.0	0.778	0.0	10.778
2026/03/12	75.21	10.0	0.823	0.0	10.823
2026/03/13	6.38	10.0	0.83	0.0	10.83
2026/03/14	7.66	10.0	0.816	0.0	10.816
2026/03/15	69.47	10.0	0.827	0.0	10.827
2026/03/16	0.0	10.0	0.809	0.0	10.809
2026/03/17	0.0	10.0	0.775	0.0	10.775
2026/03/18	0.0	10.0	0.731	0.0	10.731
2026/03/19	0.0	10.0	0.684	0.0	10.684
2026/03/20	289.24	10.0	1.159	0.0	11.159
2026/03/21	262.48	10.0	3.359	0.0	13.359
2026/03/22	1.28	10.0	1.727	0.0	11.727
2026/03/23	17.86	10.0	1.213	0.0	11.213000000000001
2026/03/24	231.91	10.0	3.487	0.0	13.487
2026/03/25	1.28	10.0	1.823	0.0	11.823
2026/03/26	220.44	10.0	3.981	0.0	13.981
2026/03/27	252.93	10.0	5.858	0.0	15.858
2026/03/28	25.52	10.0	3.588	0.0	13.588000000000001
2026/03/29	142.09	10.0	4.368	0.0	14.368
2026/03/30	159.29	10.0	5.227	0.0	15.227
2026/03/31	0.0	10.0	2.718	0.0	12.718
2026/04/01	0.0	10.0	1.484	0.0	11.484
2026/04/02	0.0	10.0	1.21	0.0	11.21
2026/04/03	0.0	10.0	1.097	0.0	11.097
