日期	农业需水	其他生态需水	非农需水	需水量
2026/03/03	6.73	2.91	1.3781	8.1081
2026/03/04	6.73	2.91	1.3781	8.1081
2026/03/05	6.73	2.91	1.3781	8.1081
2026/03/06	6.73	2.91	1.3781	8.1081
2026/03/07	6.73	2.91	1.3781	8.1081
2026/03/08	6.73	2.91	1.3781	8.1081
2026/03/09	6.73	2.91	1.3781	8.1081
2026/03/10	6.73	2.91	1.3781	8.1081
2026/03/11	6.73	2.91	1.3781	8.1081
2026/03/12	6.73	2.91	1.3781	8.1081
2026/03/13	6.73	2.91	1.3781	8.1081
2026/03/14	6.73	2.91	1.3781	8.1081
2026/03/15	6.73	2.91	1.3781	8.1081
2026/03/16	6.73	2.91	1.3781	8.1081
2026/03/17	6.73	2.91	1.3781	8.1081
2026/03/18	6.73	2.91	1.3781	8.1081
2026/03/19	6.73	2.91	1.3781	8.1081
2026/03/20	6.73	2.91	1.3781	8.1081
2026/03/21	6.73	2.91	1.3781	8.1081
2026/03/22	6.73	2.91	1.3781	8.1081
2026/03/23	6.73	2.91	1.3781	8.1081
2026/03/24	6.73	2.91	1.3781	8.1081
2026/03/25	6.73	2.91	1.3781	8.1081
2026/03/26	6.73	2.91	1.3781	8.1081
2026/03/27	6.73	2.91	1.3781	8.1081
2026/03/28	6.73	2.91	1.3781	8.1081
2026/03/29	6.73	2.91	1.3781	8.1081
2026/03/30	6.73	2.91	1.3781	8.1081
2026/03/31	6.73	2.91	1.3781	8.1081
2026/04/01	6.73	4.1	1.3781	8.1081
2026/04/02	6.73	4.1	1.3781	8.1081
2026/04/03	0.0	4.1	1.3781	1.3781
