日期	农业需水	其他生态需水	非农需水	需水量
2026/03/03	1.23	0.37	0.0	1.23
2026/03/04	1.23	0.37	0.0	1.23
2026/03/05	1.23	0.37	0.0	1.23
2026/03/06	1.23	0.37	0.0	1.23
2026/03/07	1.23	0.37	0.0	1.23
2026/03/08	1.23	0.37	0.0	1.23
2026/03/09	1.23	0.37	0.0	1.23
2026/03/10	1.23	0.37	0.0	1.23
2026/03/11	1.23	0.37	0.0	1.23
2026/03/12	1.23	0.37	0.0	1.23
2026/03/13	1.23	0.37	0.0	1.23
2026/03/14	1.23	0.37	0.0	1.23
2026/03/15	1.23	0.37	0.0	1.23
2026/03/16	1.23	0.37	0.0	1.23
2026/03/17	1.23	0.37	0.0	1.23
2026/03/18	1.23	0.37	0.0	1.23
2026/03/19	1.23	0.37	0.0	1.23
2026/03/20	1.23	0.37	0.0	1.23
2026/03/21	1.23	0.37	0.0	1.23
2026/03/22	1.23	0.37	0.0	1.23
2026/03/23	1.23	0.37	0.0	1.23
2026/03/24	1.23	0.37	0.0	1.23
2026/03/25	1.23	0.37	0.0	1.23
2026/03/26	1.23	0.37	0.0	1.23
2026/03/27	1.23	0.37	0.0	1.23
2026/03/28	1.23	0.37	0.0	1.23
2026/03/29	1.23	0.37	0.0	1.23
2026/03/30	1.23	0.37	0.0	1.23
2026/03/31	1.23	0.37	0.0	1.23
2026/04/01	1.23	0.52	0.0	1.23
2026/04/02	1.23	0.52	0.0	1.23
2026/04/03	0.0	0.52	0.0	0.0
