日期	农业需水	其他生态需水	非农需水	需水量
2026/03/03	15.38	6.36	86.278	101.658
2026/03/04	15.38	6.36	86.278	101.658
2026/03/05	15.38	6.36	86.278	101.658
2026/03/06	15.38	6.36	86.278	101.658
2026/03/07	15.38	6.36	86.278	101.658
2026/03/08	15.38	6.36	86.278	101.658
2026/03/09	15.38	6.36	86.278	101.658
2026/03/10	15.38	6.36	86.278	101.658
2026/03/11	15.38	6.36	86.278	101.658
2026/03/12	15.38	6.36	86.278	101.658
2026/03/13	15.38	6.36	86.278	101.658
2026/03/14	15.38	6.36	86.278	101.658
2026/03/15	15.38	6.36	86.278	101.658
2026/03/16	15.38	6.36	86.278	101.658
2026/03/17	15.38	6.36	86.278	101.658
2026/03/18	15.38	6.36	86.278	101.658
2026/03/19	15.38	6.36	86.278	101.658
2026/03/20	15.38	6.36	86.278	101.658
2026/03/21	15.38	6.36	86.278	101.658
2026/03/22	15.38	6.36	86.278	101.658
2026/03/23	15.38	6.36	86.278	101.658
2026/03/24	15.38	6.36	86.278	101.658
2026/03/25	15.38	6.36	86.278	101.658
2026/03/26	15.38	6.36	86.278	101.658
2026/03/27	15.38	6.36	86.278	101.658
2026/03/28	15.38	6.36	86.278	101.658
2026/03/29	15.38	6.36	86.278	101.658
2026/03/30	15.38	6.36	86.278	101.658
2026/03/31	15.38	6.36	86.278	101.658
2026/04/01	15.38	8.1	86.278	101.658
2026/04/02	15.38	8.1	86.278	101.658
2026/04/03	0.0	8.1	86.278	86.278
