日期	合计来水	需水量	其他生态需水	水位生态需水	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量
2026/03/03	2.526	5.4751	0.63	0.0	0.63	6.1051	-3.5791000000000004	550.0	0.0	-3.5791000000000004	0.0	0.0	0.0	0.0	3.5791000000000004	0.0	0.0	610.0	0.0	-3.5791000000000004	-3.5791000000000004	550.0	0.0	0.0
2026/03/04	1.463	5.4751	0.63	0.0	0.63	6.1051	-4.6421	550.0	0.0	-4.6421	0.0	0.0	0.0	0.0	4.6421	0.0	0.0	610.0	0.0	-4.6421	-4.6421	550.0	0.0	0.0
2026/03/05	1.254	5.4751	0.63	0.0	0.63	6.1051	-4.851100000000001	550.0	0.0	-4.851100000000001	0.0	0.0	0.0	0.0	4.851100000000001	0.0	0.0	610.0	0.0	-4.851100000000001	-4.851100000000001	550.0	0.0	0.0
2026/03/06	1.09	5.4751	0.63	0.0	0.63	6.1051	-5.0151	550.0	0.0	-5.0151	0.0	0.0	0.0	0.0	5.0151	0.0	0.0	610.0	0.0	-5.0151	-5.0151	550.0	0.0	0.0
2026/03/07	0.959	5.4751	0.63	0.0	0.63	6.1051	-5.146100000000001	550.0	0.0	-5.146100000000001	0.0	0.0	0.0	0.0	5.146100000000001	0.0	0.0	610.0	0.0	-5.146100000000001	-5.146100000000001	550.0	0.0	0.0
2026/03/08	0.866	5.4751	0.63	0.0	0.63	6.1051	-5.2391000000000005	550.0	0.0	-5.2391000000000005	0.0	0.0	0.0	0.0	5.2391000000000005	0.0	0.0	610.0	0.0	-5.2391000000000005	-5.2391000000000005	550.0	0.0	0.0
2026/03/09	0.791	5.4751	0.63	0.0	0.63	6.1051	-5.3141	550.0	0.0	-5.3141	0.0	0.0	0.0	0.0	5.3141	0.0	0.0	610.0	0.0	-5.3141	-5.3141	550.0	0.0	0.0
2026/03/10	0.738	5.4751	0.63	0.0	0.63	6.1051	-5.367100000000001	550.0	0.0	-5.367100000000001	0.0	0.0	0.0	0.0	5.367100000000001	0.0	0.0	610.0	0.0	-5.367100000000001	-5.367100000000001	550.0	0.0	0.0
2026/03/11	0.778	5.4751	0.63	0.0	0.63	6.1051	-5.3271	550.0	0.0	-5.3271	0.0	0.0	0.0	0.0	5.3271	0.0	0.0	610.0	0.0	-5.3271	-5.3271	550.0	0.0	0.0
2026/03/12	0.823	5.4751	0.63	0.0	0.63	6.1051	-5.2821	550.0	0.0	-5.2821	0.0	0.0	0.0	0.0	5.2821	0.0	0.0	610.0	0.0	-5.2821	-5.2821	550.0	0.0	0.0
