日期	合计来水	需水量	其他生态需水	水位生态需水	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量
2026/03/03	2.526	8.2451	4.45	0.0	4.45	12.6951	-10.1691	852.0	0.0	-10.1691	0.0	0.0	0.0	0.0	10.1691	0.0	0.0	946.0	0.0	-10.1691	-10.1691	852.0	0.0	0.0
2026/03/04	1.463	8.2451	4.45	0.0	4.45	12.6951	-11.232099999999999	852.0	0.0	-11.232099999999999	0.0	0.0	0.0	0.0	11.232099999999999	0.0	0.0	946.0	0.0	-11.232099999999999	-11.232099999999999	852.0	0.0	0.0
2026/03/05	1.254	8.2451	4.45	0.0	4.45	12.6951	-11.4411	852.0	0.0	-11.4411	0.0	0.0	0.0	0.0	11.4411	0.0	0.0	946.0	0.0	-11.4411	-11.4411	852.0	0.0	0.0
2026/03/06	1.09	8.2451	4.45	0.0	4.45	12.6951	-11.6051	852.0	0.0	-11.6051	0.0	0.0	0.0	0.0	11.6051	0.0	0.0	946.0	0.0	-11.6051	-11.6051	852.0	0.0	0.0
2026/03/07	0.959	8.2451	4.45	0.0	4.45	12.6951	-11.7361	852.0	0.0	-11.7361	0.0	0.0	0.0	0.0	11.7361	0.0	0.0	946.0	0.0	-11.7361	-11.7361	852.0	0.0	0.0
2026/03/08	0.866	8.2451	4.45	0.0	4.45	12.6951	-11.8291	852.0	0.0	-11.8291	0.0	0.0	0.0	0.0	11.8291	0.0	0.0	946.0	0.0	-11.8291	-11.8291	852.0	0.0	0.0
2026/03/09	0.791	8.2451	4.45	0.0	4.45	12.6951	-11.9041	852.0	0.0	-11.9041	0.0	0.0	0.0	0.0	11.9041	0.0	0.0	946.0	0.0	-11.9041	-11.9041	852.0	0.0	0.0
2026/03/10	0.738	8.2451	4.45	0.0	4.45	12.6951	-11.9571	852.0	0.0	-11.9571	0.0	0.0	0.0	0.0	11.9571	0.0	0.0	946.0	0.0	-11.9571	-11.9571	852.0	0.0	0.0
2026/03/11	0.778	8.2451	4.45	0.0	4.45	12.6951	-11.9171	852.0	0.0	-11.9171	0.0	0.0	0.0	0.0	11.9171	0.0	0.0	946.0	0.0	-11.9171	-11.9171	852.0	0.0	0.0
2026/03/12	0.823	8.2451	4.45	0.0	4.45	12.6951	-11.8721	852.0	0.0	-11.8721	0.0	0.0	0.0	0.0	11.8721	0.0	0.0	946.0	0.0	-11.8721	-11.8721	852.0	0.0	0.0
2026/03/13	0.83	8.2451	4.45	0.0	4.45	12.6951	-11.8651	852.0	0.0	-11.8651	0.0	0.0	0.0	0.0	11.8651	0.0	0.0	946.0	0.0	-11.8651	-11.8651	852.0	0.0	0.0
2026/03/14	0.816	8.2451	4.45	0.0	4.45	12.6951	-11.8791	852.0	0.0	-11.8791	0.0	0.0	0.0	0.0	11.8791	0.0	0.0	946.0	0.0	-11.8791	-11.8791	852.0	0.0	0.0
2026/03/15	0.827	8.2451	4.45	0.0	4.45	12.6951	-11.8681	852.0	0.0	-11.8681	0.0	0.0	0.0	0.0	11.8681	0.0	0.0	946.0	0.0	-11.8681	-11.8681	852.0	0.0	0.0
2026/03/16	0.809	8.2451	4.45	0.0	4.45	12.6951	-11.8861	852.0	0.0	-11.8861	0.0	0.0	0.0	0.0	11.8861	0.0	0.0	946.0	0.0	-11.8861	-11.8861	852.0	0.0	0.0
2026/03/17	0.775	8.2451	4.45	0.0	4.45	12.6951	-11.9201	852.0	0.0	-11.9201	0.0	0.0	0.0	0.0	11.9201	0.0	0.0	946.0	0.0	-11.9201	-11.9201	852.0	0.0	0.0
2026/03/18	0.731	8.2451	4.45	0.0	4.45	12.6951	-11.9641	852.0	0.0	-11.9641	0.0	0.0	0.0	0.0	11.9641	0.0	0.0	946.0	0.0	-11.9641	-11.9641	852.0	0.0	0.0
2026/03/19	0.684	8.2451	4.45	0.0	4.45	12.6951	-12.0111	852.0	0.0	-12.0111	0.0	0.0	0.0	0.0	12.0111	0.0	0.0	946.0	0.0	-12.0111	-12.0111	852.0	0.0	0.0
2026/03/20	1.159	8.2451	4.45	0.0	4.45	12.6951	-11.5361	852.0	0.0	-11.5361	0.0	0.0	0.0	0.0	11.5361	0.0	0.0	946.0	0.0	-11.5361	-11.5361	852.0	0.0	0.0
