日期	合计来水	需水量	其他生态需水	水位生态需水	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量
2026/03/03	2.526	22.2883	3.5	0.0	3.5	25.7883	-23.2623	3944.0	464.16184971098266	440.8995497109827	464.16184971098266	464.16184971098266	0.0	0.0	23.2623	0.0	0.0	4698.0	0.0	-23.2623	-23.2623	3479.8381502890174	0.0	464.16184971098266
2026/03/04	1.463	22.2883	3.5	0.0	3.5	25.7883	-24.3253	3944.0	464.16184971098266	439.8365497109827	464.16184971098266	464.16184971098266	0.0	0.0	24.3253	0.0	0.0	4698.0	0.0	-24.3253	-24.3253	3479.8381502890174	0.0	464.16184971098266
2026/03/05	1.254	22.2883	3.5	0.0	3.5	25.7883	-24.534299999999998	3944.0	464.16184971098266	439.6275497109827	464.16184971098266	464.16184971098266	0.0	0.0	24.534299999999998	0.0	0.0	4698.0	0.0	-24.534299999999998	-24.534299999999998	3479.8381502890174	0.0	464.16184971098266
2026/03/06	1.09	22.2883	3.5	0.0	3.5	25.7883	-24.6983	3944.0	464.16184971098266	439.46354971098265	464.16184971098266	464.16184971098266	0.0	0.0	24.6983	0.0	0.0	4698.0	0.0	-24.6983	-24.6983	3479.8381502890174	0.0	464.16184971098266
2026/03/07	0.959	22.2883	3.5	0.0	3.5	25.7883	-24.8293	3944.0	464.16184971098266	439.3325497109827	464.16184971098266	464.16184971098266	0.0	0.0	24.8293	0.0	0.0	4698.0	0.0	-24.8293	-24.8293	3479.8381502890174	0.0	464.16184971098266
2026/03/08	0.866	22.2883	3.5	0.0	3.5	25.7883	-24.9223	3944.0	464.16184971098266	439.23954971098266	464.16184971098266	464.16184971098266	0.0	0.0	24.9223	0.0	0.0	4698.0	0.0	-24.9223	-24.9223	3479.8381502890174	0.0	464.16184971098266
2026/03/09	0.791	22.2883	3.5	0.0	3.5	25.7883	-24.9973	3944.0	464.16184971098266	439.16454971098267	464.16184971098266	464.16184971098266	0.0	0.0	24.9973	0.0	0.0	4698.0	0.0	-24.9973	-24.9973	3479.8381502890174	0.0	464.16184971098266
2026/03/10	0.738	22.2883	3.5	0.0	3.5	25.7883	-25.0503	3944.0	464.16184971098266	439.1115497109827	464.16184971098266	464.16184971098266	0.0	0.0	25.0503	0.0	0.0	4698.0	0.0	-25.0503	-25.0503	3479.8381502890174	0.0	464.16184971098266
2026/03/11	0.778	22.2883	3.5	0.0	3.5	25.7883	-25.0103	3944.0	464.16184971098266	439.15154971098264	464.16184971098266	464.16184971098266	0.0	0.0	25.0103	0.0	0.0	4698.0	0.0	-25.0103	-25.0103	3479.8381502890174	0.0	464.16184971098266
2026/03/12	0.823	22.2883	3.5	0.0	3.5	25.7883	-24.9653	3944.0	464.16184971098266	439.19654971098265	464.16184971098266	464.16184971098266	0.0	0.0	24.9653	0.0	0.0	4698.0	0.0	-24.9653	-24.9653	3479.8381502890174	0.0	464.16184971098266
2026/03/13	0.83	22.2883	3.5	0.0	3.5	25.7883	-24.9583	3944.0	464.16184971098266	439.20354971098266	464.16184971098266	464.16184971098266	0.0	0.0	24.9583	0.0	0.0	4698.0	0.0	-24.9583	-24.9583	3479.8381502890174	0.0	464.16184971098266
2026/03/14	0.816	22.2883	3.5	0.0	3.5	25.7883	-24.9723	3944.0	464.16184971098266	439.18954971098265	464.16184971098266	464.16184971098266	0.0	0.0	24.9723	0.0	0.0	4698.0	0.0	-24.9723	-24.9723	3479.8381502890174	0.0	464.16184971098266
2026/03/15	0.827	22.2883	3.5	0.0	3.5	25.7883	-24.9613	3944.0	464.16184971098266	439.20054971098267	464.16184971098266	464.16184971098266	0.0	0.0	24.9613	0.0	0.0	4698.0	0.0	-24.9613	-24.9613	3479.8381502890174	0.0	464.16184971098266
2026/03/16	0.809	22.2883	3.5	0.0	3.5	25.7883	-24.9793	3944.0	464.16184971098266	439.18254971098264	464.16184971098266	464.16184971098266	0.0	0.0	24.9793	0.0	0.0	4698.0	0.0	-24.9793	-24.9793	3479.8381502890174	0.0	464.16184971098266
2026/03/17	0.775	22.2883	3.5	0.0	3.5	25.7883	-25.0133	3944.0	464.16184971098266	439.14854971098265	464.16184971098266	464.16184971098266	0.0	0.0	25.0133	0.0	0.0	4698.0	0.0	-25.0133	-25.0133	3479.8381502890174	0.0	464.16184971098266
2026/03/18	0.731	22.2883	3.5	0.0	3.5	25.7883	-25.057299999999998	3944.0	464.16184971098266	439.10454971098267	464.16184971098266	464.16184971098266	0.0	0.0	25.057299999999998	0.0	0.0	4698.0	0.0	-25.057299999999998	-25.057299999999998	3479.8381502890174	0.0	464.16184971098266
2026/03/19	0.684	22.2883	3.5	0.0	3.5	25.7883	-25.1043	3944.0	464.16184971098266	439.05754971098264	464.16184971098266	464.16184971098266	0.0	0.0	25.1043	0.0	0.0	4698.0	0.0	-25.1043	-25.1043	3479.8381502890174	0.0	464.16184971098266
2026/03/20	1.159	22.2883	3.5	0.0	3.5	25.7883	-24.6293	3944.0	464.16184971098266	439.53254971098266	464.16184971098266	464.16184971098266	0.0	0.0	24.6293	0.0	0.0	4698.0	0.0	-24.6293	-24.6293	3479.8381502890174	0.0	464.16184971098266
2026/03/21	3.359	22.2883	3.5	0.0	3.5	25.7883	-22.429299999999998	3944.0	464.16184971098266	441.73254971098265	464.16184971098266	464.16184971098266	0.0	0.0	22.429299999999998	0.0	0.0	4698.0	0.0	-22.429299999999998	-22.429299999999998	3479.8381502890174	0.0	464.16184971098266
