日期	合计来水	需水量	其他生态需水	水位生态需水	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量
2026/03/03	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	0.0
2026/03/04	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	0.0
2026/03/05	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	0.0
2026/03/06	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	0.0
2026/03/07	6.1236000000000015	4.8436	1.28	0.0	1.28	6.123600000000001	8.881784197001252e-16	2450.0	0.0	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	8.881784197001252e-16	8.881784197001252e-16	2450.0	0.0	8.881784197001252e-16
2026/03/08	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	8.881784197001252e-16
2026/03/09	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	8.881784197001252e-16
2026/03/10	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	8.881784197001252e-16
2026/03/11	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	8.881784197001252e-16
2026/03/12	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	8.881784197001252e-16
2026/03/13	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	8.881784197001252e-16
2026/03/14	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	8.881784197001252e-16
2026/03/15	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	8.881784197001252e-16	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	8.881784197001252e-16
2026/03/16	6.1236000000000015	4.8436	1.28	0.0	1.28	6.123600000000001	8.881784197001252e-16	2450.0	8.881784197001252e-16	1.7763568394002505e-15	1.7763568394002505e-15	1.7763568394002505e-15	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	8.881784197001252e-16	8.881784197001252e-16	2450.0	0.0	1.7763568394002505e-15
2026/03/17	6.123600000000001	4.8436	1.28	0.0	1.28	6.123600000000001	0.0	2450.0	1.7763568394002505e-15	1.7763568394002505e-15	1.7763568394002505e-15	1.7763568394002505e-15	0.0	0.0	0.0	0.0	0.0	2683.333333333333	0.0	0.0	0.0	2450.0	0.0	1.7763568394002505e-15
